interview__key,r_members__id,lbr13,Ibr13_1,Ibr13_2,Ibr13_3,Ibr13_4,Ibr13_5,Ibr13_6,Ibr13_8,Ibr13_9,years_exp_crp,Ibr13_10,Ibr13_11,Ibr13_12,Ibr13_13,years_exp_liv,onfarm_main_use__1,onfarm_main_use__2,onfarm_main_use__3,onfarm_main_use__4,onfarm_main_use__5,onfarm_main_use__6,onfarm_main_use__7,onfarm_main_use__96,onfarm_main_use_oth
"51-61-36-83",2,"Yes",3,2,6,8,2,2,6,8,42,6,2,7,5,40,0,0,0,2,1,0,0,0,""
"51-61-36-83",3,"Yes",3,0,6,8,3,0,6,8,2,0,0,,,0,0,1,2,3,0,0,0,0,""
"26-90-05-49",1,"Yes",7,5,6,5,7,5,6,5,30,0,0,,,0,0,1,2,0,0,0,0,3,"savings for agriculture  in next session"
"66-97-67-27",1,"Yes",5,0,6,4,5,3,6,6,25,5,5,7,3,15,0,0,1,0,0,0,0,0,""
"66-97-67-27",2,"Yes",0,0,,,5,3,6,4,20,5,5,7,2,15,0,0,2,1,0,0,0,0,""
"66-97-67-27",3,"Yes",5,0,6,3,5,3,6,4,2,5,5,7,3,2,0,0,0,0,0,0,0,1,"He buys clothes"
"78-48-49-89",1,"Yes",0,0,,,4,0,6,6,15,5,5,7,3,4,0,2,1,0,0,0,0,0,""
"78-48-49-89",2,"Yes",0,0,,,5,1,6,6,20,5,5,7,2,1,0,1,0,0,0,0,0,0,""
"98-05-66-83",1,"Yes",5,4,6,6,6,3,6,6,38,7,5,5,7,15,0,1,2,3,0,0,0,0,""
"98-05-66-83",2,"Yes",7,4,6,6,7,4,6,5,33,7,5,5,7,15,0,1,2,3,0,0,0,0,""
"78-17-71-31",1,"Yes",4,4,6,4,3,4,6,6,28,0,0,,,0,0,1,2,3,0,0,0,0,""
"78-17-71-31",2,"Yes",0,0,,,6,5,4,6,45,0,15,6,2,10,0,1,2,3,0,4,0,0,""
"35-97-55-04",1,"Yes",4,3,3,4,7,3,7,4,52,7,5,7,8,51,0,1,0,0,0,0,0,2,"buying clothes"
"35-97-55-04",2,"Yes",4,3,3,4,7,3,7,4,41,7,5,7,7,5,0,1,0,0,0,0,0,0,""
"01-00-08-00",1,"Yes",3,1,6,6,3,1,6,6,30,5,5,7,1,10,0,1,0,2,0,3,0,0,""
"23-16-40-98",1,"Yes",2,1,5,8,5,3,5,8,40,4,3,5,4,40,0,3,1,2,0,0,0,0,""
"23-16-40-98",2,"Yes",7,3,6,8,5,4,6,8,30,4,5,6,4,30,5,3,1,2,4,0,0,0,""
"23-16-40-98",3,"Yes",4,3,6,8,5,4,6,8,5,0,0,,,4,0,2,1,0,0,0,0,0,""
"33-60-15-24",1,"Yes",0,0,,,6,2,6,5,60,0,0,,,0,1,0,0,0,0,0,0,0,""
"83-29-00-04",1,"Yes",3,1,1,4,4,2,7,4,5,7,5,7,1,5,1,2,0,3,4,0,0,0,""
"83-29-00-04",2,"Yes",3,1,5,6,5,2,7,6,15,7,5,7,8,20,1,2,0,3,4,0,0,0,""
"39-46-43-34",1,"Yes",0,0,,,5,2,6,5,43,0,0,,,0,0,1,0,0,0,0,0,0,""
"39-46-43-34",2,"Yes",0,0,,,5,1,1,6,3,0,0,,,0,0,1,0,0,0,0,0,0,""
"83-88-85-49",1,"Yes",0,0,,,7,4,4,4,18,7,5,7,1,18,0,0,1,0,0,0,0,2,"buying agricultural inputs"
"86-33-34-77",1,"Yes",0,0,,,4,2,5,7,30,5,1,7,.5,10,0,1,0,0,0,0,0,2,"hiring farm labours and buying agricultural inputs"
"85-40-54-06",1,"Yes",0,0,,,5,1,6,8,55,0,0,,,0,0,1,0,0,0,0,0,2,"buying agrucultural inputs"
"85-40-54-06",2,"Yes",0,0,,,5,1,6,8,20,0,0,,,0,0,1,0,0,0,0,0,2,"buying agrucultural inputs"
"99-20-43-65",1,"Yes",0,0,,,4,5,6,4,41,6,5,7,3,38,0,1,3,2,0,0,0,0,""
"84-47-44-08",1,"Yes",3,3,6,4,3,3,6,4,17,0,0,,,17,0,0,2,1,0,0,0,0,""
"84-47-44-08",8,"Yes",7,5,6,8,7,5,6,8,7,7,5,7,7,7,0,1,0,0,0,0,0,0,""
"95-71-45-18",2,"Yes",6,5,6,4,5,5,6,6,23,5,5,6,2,23,0,2,1,3,0,0,0,0,""
"95-71-45-18",8,"Yes",6,5,6,5,5,5,6,7,7,7,5,2,2,2,0,2,1,3,0,0,0,0,""
"43-23-29-59",1,"Yes",7,3,7,10,0,0,,,42,7,5,7,1,3,0,0,1,0,0,0,0,2,"purchase agricultural inputs"
"65-07-52-31",1,"Yes",5,5,6,8,5,5,6,8,40,7,5,7,5,30,0,1,0,0,0,0,0,0,""
"65-07-52-31",2,"Yes",5,5,6,8,5,5,6,8,40,7,5,7,5,35,0,1,0,0,0,0,0,0,""
"24-72-94-40",1,"Yes",0,0,,,5,4,6,5,25,5,5,5,3,15,0,1,2,0,3,0,0,0,""
"24-72-94-40",2,"Yes",0,0,,,5,5,6,4,19,5,5,7,2,7,0,2,4,3,1,0,0,0,""
"27-52-71-52",1,"Yes",7,5,3,1,7,5,3,1,13,7,5,7,1,18,1,2,4,3,5,6,0,0,""
"27-52-71-52",2,"Yes",5,3,6,4,7,5,6,4,5,7,5,7,2,5,4,1,2,3,0,0,0,0,""
"27-52-71-52",5,"Yes",7,5,6,4,7,5,6,4,1,7,5,6,8,1,0,0,0,0,0,0,0,1,"employed"
"21-67-72-81",1,"Yes",7,5,6,12,7,3,6,12,25,7,5,2,2,25,0,1,2,3,0,0,0,0,""
"21-67-72-81",2,"Yes",4,3,5,8,6,4,6,8,20,7,5,7,3,20,0,1,2,3,0,0,0,0,""
"21-67-72-81",3,"Yes",5,5,6,10,5,5,6,10,4,0,0,,,0,0,0,0,0,0,0,0,1,"he dont have any livestock"
"40-08-15-69",1,"Yes",0,0,,,5,1,1,4,47,0,0,,,0,0,1,0,0,0,0,0,0,""
"40-08-15-69",2,"Yes",0,0,,,5,1,6,4,30,0,0,,,0,0,1,0,0,0,0,0,0,""
"40-09-03-46",1,"Yes",6,2,6,6,6,2,6,6,50,0,0,,,0,0,1,0,2,0,0,0,0,""
"88-78-79-65",1,"No",,,,,,,,,,,,,,,,,,,,,,,""
"72-36-26-24",1,"Yes",0,0,,,5,0,6,6,30,5,5,7,2,10,0,1,0,0,0,0,0,0,""
"07-13-49-69",1,"Yes",3,1,5,8,3,1,5,8,30,5,5,7,2,2,0,1,2,4,0,3,0,0,""
"07-13-49-69",2,"Yes",0,0,,,5,1,5,8,28,0,0,,,0,0,1,0,0,0,0,0,0,""
"02-58-47-09",1,"Yes",0,5,4,8,7,0,2,8,35,7,5,7,1,35,0,1,2,3,0,0,0,0,""
"02-58-47-09",2,"Yes",0,5,4,8,7,5,2,8,30,7,5,7,1,30,0,1,3,2,0,0,0,0,""
"22-68-37-41",1,"Yes",0,0,,,3,3,6,8,20,5,4,7,2,3,0,2,1,3,0,0,0,0,""
"22-68-37-41",2,"Yes",4,5,0,,0,5,6,8,17,0,0,,,0,0,1,2,3,0,0,0,0,""
"75-57-77-41",1,"Yes",0,0,,,6,4,6,4,56,0,0,,,0,0,1,2,3,0,0,0,0,""
"04-02-68-66",2,"Yes",0,0,,,6,4,6,6,18,6,4,7,1,18,0,0,0,0,0,0,0,1,"they don't sell"
"02-25-96-16",2,"Yes",0,0,,,6,2,7,5,20,5,0,7,2,20,0,1,0,2,0,0,0,0,""
"02-25-96-16",6,"Yes",5,3,2,2,6,0,5,6,3,0,0,,,0,0,1,0,0,2,0,0,0,""
"48-71-75-24",1,"Yes",0,0,,,7,5,3,9,23,7,5,7,3,7,2,0,1,0,0,0,0,0,""
"48-71-75-24",2,"Yes",0,0,,,3,2,1,2,20,7,5,7,1,20,0,2,1,0,0,0,0,0,""
"81-80-02-23",1,"Yes",0,0,,,3,4,2,6,8,0,0,,,0,0,1,2,3,4,0,0,0,""
"81-80-02-23",2,"Yes",7,5,6,7,7,5,6,7,5,0,0,,,0,1,2,3,4,0,0,0,0,""
"42-14-73-23",1,"Yes",5,0,3,6,7,0,6,6,34,7,5,7,1,34,4,1,2,3,0,0,0,0,""
"42-14-73-23",2,"Yes",0,0,,,7,5,6,8,15,7,5,7,1,15,0,1,3,2,0,0,0,0,""
"42-14-73-23",3,"Yes",0,0,,,7,5,7,8,2,7,5,7,6,2,0,1,0,0,0,0,0,0,""
"42-14-73-23",4,"Yes",0,0,,,7,5,6,8,5,0,0,,,0,0,1,2,3,0,0,0,0,""
"76-93-41-01",1,"Yes",0,0,,,7,5,6,6,25,0,0,,,0,0,1,2,3,0,0,0,0,""
"95-12-78-81",3,"Yes",0,0,,,7,5,6,5,45,7,5,7,11,30,2,1,0,3,0,0,0,0,""
"95-12-78-81",6,"Yes",0,4,7,5,0,0,,,17,0,0,,,0,0,1,0,2,0,0,0,0,""
"95-12-78-81",7,"Yes",0,0,,,4,0,6,8,6,0,0,,,0,3,1,0,2,0,0,0,0,""
"95-12-78-81",8,"Yes",0,0,,,4,0,6,5,3,0,0,,,0,0,1,0,0,0,0,0,0,""
"20-49-21-26",2,"Yes",0,0,,,6,3,6,6,42,0,0,,,12,0,1,2,3,0,0,0,0,""
"20-49-21-26",3,"Yes",0,0,,,6,3,6,3,1,0,0,,,0,0,0,0,0,0,0,0,1,"She has not received any money yet"
"93-19-03-86",1,"Yes",7,2,7,6,0,0,,,35,0,0,,,0,1,2,0,0,0,0,0,0,""
"83-16-53-05",1,"Yes",0,0,,,4,2,6,1,30,1,2,7,2,5,0,1,0,0,0,0,0,0,""
"83-16-53-05",2,"No",,,,,,,,,,,,,,,,,,,,,,,""
"96-79-62-23",1,"Yes",5,5,6,8,5,5,6,8,22,5,5,7,2,4,0,1,2,0,0,0,0,0,""
"96-79-62-23",2,"Yes",5,0,5,6,5,0,5,6,20,5,5,7,1,4,0,1,0,0,0,0,0,0,""
"45-89-04-52",1,"Yes",5,3,3,6,3,2,4,5,12,0,0,,,0,1,2,0,0,0,0,0,0,""
"45-89-04-52",2,"Yes",0,0,,,4,1,3,6,3,6,5,7,1,2,0,1,0,0,0,0,0,0,""
"12-50-51-44",1,"Yes",0,0,,,5,0,6,6,10,5,5,7,2,5,0,1,0,0,2,0,0,0,""
"12-50-51-44",2,"Yes",0,0,,,5,0,6,6,5,5,5,7,4,2,0,0,0,0,1,0,0,0,""
"64-36-21-26",1,"Yes",3,0,5,5,4,3,5,5,20,0,0,,,0,0,1,0,0,2,0,0,0,""
"64-36-21-26",2,"Yes",3,0,5,5,4,3,5,5,20,0,0,,,0,0,1,0,0,0,0,0,0,""
"78-84-99-05",1,"Yes",4,1,6,7,4,1,6,7,5,0,0,,,2,2,1,0,0,0,0,0,0,""
"78-84-99-05",2,"Yes",4,0,6,6,4,0,6,6,2,0,0,,,3,2,1,0,0,0,0,0,0,""
"37-66-37-12",1,"Yes",0,0,,,3,0,4,4,50,7,5,7,1,10,0,1,0,0,0,0,0,0,""
"52-54-55-08",1,"Yes",5,1,6,7,5,1,6,7,29,6,5,7,2,3,0,1,0,0,0,0,0,0,""
"52-54-55-08",2,"No",,,,,,,,,,,,,,,,,,,,,,,""
"32-13-89-08",2,"Yes",0,0,,,6,5,6,2,14,4,0,7,1,4,0,1,2,3,0,0,0,0,""
"85-25-22-09",1,"Yes",0,0,,,5,0,6,6,30,5,5,7,2,10,0,0,1,0,0,0,0,0,""
"85-25-22-09",2,"Yes",0,0,,,5,0,6,4,30,5,5,7,1,5,0,1,0,0,0,0,0,0,""
"72-82-24-11",1,"Yes",0,0,,,5,0,6,7,40,5,5,7,2,20,0,1,0,0,2,0,0,0,""
"72-82-24-11",2,"Yes",0,0,,,5,0,6,4,25,5,5,7,1,20,0,1,2,0,3,0,0,0,""
"72-82-24-11",3,"No",,,,,,,,,,,,,,,,,,,,,,,""
"36-18-65-12",1,"Yes",0,0,,,6,0,7,6,10,0,0,,,0,0,1,0,0,0,0,0,0,""
"36-18-65-12",2,"Yes",0,0,,,6,0,6,7,7,0,0,,,0,0,1,0,0,0,0,0,0,""
"42-45-66-86",1,"Yes",0,0,,,7,5,4,5,52,6,5,7,1,52,0,1,3,2,0,0,0,0,""
"44-14-86-31",1,"Yes",0,0,,,7,5,6,6,5,0,2,7,2,3,0,1,0,0,0,0,0,0,""
"44-14-86-31",2,"Yes",0,0,,,7,5,6,10,17,0,2,7,2,3,0,1,3,2,0,0,0,0,""
"84-19-29-35",1,"Yes",0,0,,,7,2,7,5,49,7,5,7,.17,43,0,1,0,0,2,0,0,3,"buying clothes"
"84-19-29-35",2,"Yes",0,0,,,7,2,4,5,47,7,5,7,.3,43,0,1,0,0,0,0,0,0,""
"39-19-67-67",1,"Yes",7,5,6,8,7,5,6,8,40,7,5,7,8,40,0,2,1,3,4,5,0,0,""
"39-19-67-67",2,"Yes",7,5,6,8,7,5,6,8,30,7,5,7,10,30,0,3,1,2,4,5,0,0,""
"39-19-67-67",3,"Yes",3,2,2,6,3,2,2,6,3,2,2,3,6,3,0,0,1,0,0,0,0,0,""
"43-82-97-85",1,"Yes",5,0,6,6,5,5,3,5,30,5,5,7,3,6,0,2,0,0,1,0,0,0,""
"43-82-97-85",2,"No",,,,,,,,,,,,,,,,,,,,,,,""
"91-14-48-53",1,"Yes",0,3,7,6,6,2,6,6,10,7,5,7,1,6,0,1,0,0,0,0,0,0,""
"91-14-48-53",2,"Yes",0,3,6,7,6,4,6,8,10,7,5,7,1,6,0,1,2,0,0,0,0,0,""
"91-14-48-53",3,"Yes",2,4,7,7,0,0,,,1,0,0,,,0,0,0,0,0,0,0,0,1,"buying cloth"
"20-26-28-94",1,"Yes",0,0,,,5,2,6,8,25,5,5,7,2,3,0,1,0,0,0,0,0,0,""
"20-26-28-94",2,"Yes",0,0,,,5,1,6,7,23,5,5,7,2,5,0,1,0,0,0,0,0,0,""
"20-26-28-94",3,"Yes",0,0,,,5,2,6,7,5,0,0,,,3,0,1,0,0,0,0,0,0,""
"20-26-28-94",4,"Yes",0,0,,,5,2,6,8,3,0,0,,,0,0,1,0,0,0,0,0,0,""
"23-89-23-81",1,"Yes",7,5,6,8,7,5,6,8,40,7,5,2,2,40,0,1,0,2,0,0,0,0,""
"23-89-23-81",2,"Yes",7,5,6,8,7,5,6,8,40,7,5,7,10,40,0,1,2,3,0,0,0,0,""
"23-89-23-81",4,"Yes",7,3,4,8,6,3,6,8,10,7,5,7,8,10,0,2,0,1,0,0,0,0,""
"23-89-23-81",5,"Yes",7,5,6,10,5,5,6,10,4,7,5,3,2,4,0,2,0,0,1,0,0,0,""
"52-40-25-11",1,"Yes",5,5,6,7,3,3,6,7,20,7,5,7,7,3,0,1,0,0,0,0,0,0,""
"52-40-25-11",2,"Yes",0,0,,,2,1,3,5,7,7,5,7,7,3,0,1,0,0,0,0,0,0,""
"58-44-00-29",1,"Yes",7,5,5,6,7,5,5,6,40,7,5,7,1,40,0,2,1,0,0,0,0,0,""
"58-44-00-29",2,"Yes",0,0,,,7,5,7,7,40,7,5,7,1,40,2,0,1,3,0,0,0,0,""
"58-44-00-29",3,"Yes",7,5,7,9,7,5,7,8,20,0,0,,,0,1,0,0,2,0,0,0,0,""
"94-81-60-01",1,"Yes",4,0,3,6,6,2,6,6,35,7,5,7,.5,35,3,1,0,2,0,0,0,0,""
"00-76-76-29",1,"Yes",4,4,3,5,5,4,2,5,4,7,5,7,2,2,0,2,1,0,0,0,0,0,""
"00-76-76-29",2,"Yes",4,4,2,6,5,3,2,6,9,0,0,,,0,1,0,0,0,0,0,0,0,""
"30-24-92-73",1,"Yes",0,0,,,6,5,6,10,30,7,5,7,1,20,0,1,0,2,0,0,0,0,""
"30-24-92-73",2,"Yes",0,0,,,7,5,6,10,25,7,5,6,2,14,0,1,0,2,0,0,0,0,""
"30-24-92-73",3,"Yes",0,0,,,7,3,6,4,2,0,0,,,0,0,1,0,0,0,0,0,0,""
"30-24-92-73",4,"Yes",0,0,,,7,5,4,8,2,0,0,,,0,0,1,0,2,0,0,0,0,""
"23-53-41-46",1,"Yes",0,0,,,6,3,6,6,55,7,5,7,.5,40,0,0,0,0,0,0,0,1,"farming only food crops"
"62-55-13-64",1,"Yes",5,5,3,4,5,5,4,4,20,5,5,7,2,10,0,0,1,0,0,0,2,0,""
"62-55-13-64",2,"Yes",5,5,6,5,5,5,6,5,20,5,5,7,4,20,0,2,0,0,1,0,0,0,""
"42-85-64-91",1,"Yes",7,5,7,12,7,5,7,12,13,7,5,7,2,3,0,2,1,3,4,0,0,0,""
"42-85-64-91",2,"Yes",7,5,7,8,7,5,7,8,10,7,5,7,2,2,2,3,0,4,1,0,0,0,""
"90-50-65-07",1,"No",,,,,,,,,,,,,,,,,,,,,,,""
"90-50-65-07",2,"Yes",2,1,3,4,1,1,4,6,20,7,5,7,1,10,0,3,1,2,0,0,0,0,""
"54-70-24-21",1,"Yes",7,5,6,9,6,0,6,9,20,0,0,,,0,0,2,1,3,4,0,0,0,""
"54-70-24-21",2,"Yes",6,5,6,9,6,0,6,9,10,7,5,7,1,10,0,1,3,2,4,0,0,0,""
"38-66-21-90",1,"Yes",5,1,6,7,5,1,6,7,7,5,1,7,1,5,1,2,0,0,0,0,0,0,""
"32-53-90-85",1,"Yes",0,0,,,5,5,7,5,39,0,0,,,3,0,1,3,2,0,0,0,0,""
"32-53-90-85",2,"Yes",0,0,,,5,5,5,5,27,6,5,7,2,10,0,1,0,0,0,0,0,0,""
"67-43-43-96",1,"Yes",7,5,6,6,6,3,6,6,27,0,0,,,0,4,3,1,2,5,0,0,0,""
"67-43-43-96",2,"Yes",6,5,6,7,6,3,6,7,21,0,0,,,0,0,0,0,0,0,0,0,1,"none"
"67-43-43-96",3,"Yes",7,5,6,6,7,3,6,6,1,0,0,,,0,0,1,3,2,0,0,0,0,""
"30-12-86-30",1,"Yes",0,0,,,6,5,5,6,15,6,5,2,1,1,3,1,2,4,0,0,0,0,""
"30-12-86-30",2,"Yes",0,0,,,6,5,3,6,10,7,5,6,1,1,0,1,2,0,0,0,0,0,""
"18-64-04-51",1,"Yes",0,0,,,7,5,6,5,20,7,0,0,,5,1,0,0,0,0,0,0,0,""
"18-64-04-51",2,"Yes",0,0,,,7,5,6,8,20,7,5,7,5,2,0,0,0,0,0,0,0,1,"sell is done by household head And doesn't specify the use of the money"
"18-64-04-51",3,"Yes",0,0,,,7,5,6,7,5,0,0,,,0,0,1,0,0,0,0,0,0,""
"18-64-04-51",4,"Yes",4,4,6,4,0,0,,,1,0,0,,,0,1,0,0,0,0,0,0,2,"purchase of agricultural inputs"
"44-00-42-23",1,"Yes",0,0,,,7,3,4,10,35,0,0,,,3,0,1,2,3,0,0,0,0,""
"44-00-42-23",2,"Yes",0,0,,,7,5,6,10,45,0,0,,,3,0,1,0,0,0,0,0,0,""
"49-30-59-44",1,"Yes",4,3,3,5,5,4,3,4,12,7,5,7,2,5,0,2,1,0,0,0,0,0,""
"49-30-59-44",2,"Yes",7,5,3,5,7,5,4,5,5,7,5,7,1,5,0,1,2,3,0,0,0,0,""
"08-14-33-80",1,"Yes",0,0,,,7,3,5,6,30,0,0,,,0,0,1,0,0,0,0,0,0,""
"08-14-33-80",2,"Yes",0,0,,,7,3,5,5,16,0,0,,,0,0,1,0,0,0,0,0,0,""
"03-68-26-31",1,"Yes",5,4,2,2,5,4,2,2,50,0,0,,,40,0,1,0,0,0,0,0,0,""
"76-88-86-20",1,"Yes",7,5,6,5,7,5,6,5,40,0,0,,,0,4,1,2,3,0,0,0,0,""
"76-88-86-20",2,"Yes",5,5,4,7,7,5,4,7,15,7,5,7,2,5,0,1,2,3,0,0,0,0,""
"41-48-09-97",1,"Yes",0,0,,,7,3,3,9,20,7,0,4,.25,4,0,1,2,3,0,4,0,0,""
"41-48-09-97",2,"Yes",6,0,6,7,6,5,6,8,24,0,0,,,4,0,2,1,3,0,4,0,0,""
"21-76-07-53",1,"Yes",5,3,5,8,5,3,6,6,25,2,2,7,2,3,0,1,0,0,0,0,0,0,""
"21-76-07-53",2,"Yes",5,2,5,3,2,0,2,2,1,0,0,,,0,0,1,0,0,0,0,0,0,""
"01-41-01-54",1,"Yes",5,5,4,7,7,4,6,5,40,7,5,7,2,16,0,2,1,0,0,0,0,0,""
"01-41-01-54",2,"Yes",4,4,4,7,6,4,5,5,32,7,5,7,2,16,0,2,1,0,0,0,0,0,""
"13-11-49-85",1,"Yes",5,5,6,5,5,5,6,5,30,5,5,2,2,34,0,2,3,0,1,0,0,0,""
"13-11-49-85",2,"Yes",5,5,6,4,5,5,6,5,30,5,5,6,3,20,0,1,2,0,3,0,0,4,"Buying my necessities and my children's like clothes"
"13-11-49-85",3,"No",,,,,,,,,,,,,,,,,,,,,,,""
"13-11-49-85",4,"Yes",5,5,6,5,5,5,6,5,2,5,5,6,4,2,0,0,0,0,1,0,0,2,"Buying my own necessities"
"72-37-75-96",1,"Yes",0,0,,,5,1,6,7,50,5,5,7,1,6,0,1,2,3,0,0,0,0,""
"72-37-75-96",2,"Yes",0,0,,,5,1,6,7,45,5,5,7,1,6,0,1,2,3,0,0,0,0,""
"71-85-96-60",1,"Yes",0,0,,,7,3,2,3,50,0,0,,,50,0,1,0,0,0,0,0,0,""
"71-85-96-60",2,"Yes",4,3,3,5,4,3,3,5,5,0,0,,,0,0,1,0,0,0,0,0,0,""
"92-03-64-77",1,"Yes",4,4,3,6,5,2,3,6,6,7,5,0,,3,0,2,0,0,1,0,0,0,""
"92-03-64-77",2,"Yes",4,4,3,6,6,3,3,6,6,7,5,7,2,3,0,2,0,0,1,0,0,0,""
"33-40-16-02",1,"Yes",0,0,,,5,1,6,8,29,0,0,,,0,0,1,0,0,0,0,0,0,""
"33-40-16-02",2,"Yes",0,0,,,5,1,6,7,20,0,0,,,0,0,1,0,0,0,0,0,0,""
"55-06-75-57",1,"Yes",5,2,5,6,5,2,5,6,32,7,5,7,1,10,0,2,1,3,0,0,0,0,""
"55-06-75-57",2,"Yes",5,2,5,6,5,2,5,6,10,0,0,,,10,0,1,2,3,0,0,0,0,""
"01-05-06-43",1,"Yes",7,5,6,4,7,5,6,4,50,7,5,7,3,5,0,1,0,0,0,0,0,0,""
"01-05-06-43",2,"Yes",7,5,6,5,7,5,6,5,30,7,5,7,1,6,0,1,0,0,0,0,0,0,""
"12-46-80-99",1,"Yes",7,5,6,6,7,5,6,6,15,0,0,,,0,0,1,2,3,0,0,0,0,""
"12-46-80-99",2,"Yes",7,5,6,6,7,5,6,6,15,0,0,,,0,0,1,2,3,4,0,0,0,""
"34-76-42-19",1,"Yes",0,0,,,5,1,5,8,25,0,0,,,0,0,1,0,0,0,0,0,0,""
"34-76-42-19",2,"Yes",0,0,,,4,1,6,6,12,0,0,,,0,0,1,0,0,0,0,0,0,""
"62-44-56-00",1,"Yes",5,5,6,9,5,5,6,9,30,5,5,6,1,2,0,1,3,0,2,0,0,0,""
"62-44-56-00",2,"Yes",5,5,6,8,5,5,6,8,27,5,5,6,4,2,0,1,0,0,2,0,0,0,""
