interview__key,r_invasive_spices__id,pest_severe,pest_rate,most_effective__1,most_effective__2,most_effective__3,most_effective__4,most_effective__5,most_effective__6,most_effective__7,most_effective__8,most_effective__9,most_effective__10,most_effective__11,most_effective__12,most_effective__13,most_effective__14,most_effective__15,most_effective__96,most_effective_oth,why_not_control__1,why_not_control__2,why_not_control__3,why_not_control__4,why_not_control__5,why_not_control__6,why_not_control__7,why_not_control__8,why_not_control__96,why_not_control_oth,who_control,days_control_pest,prp_problem__1,prp_problem__2,prp_problem__3,prp_problem__4,prp_problem__5,prp_problem__6,prp_problem__7,prp_problem__8,prp_problem__9,prp_problem__10,prp_problem__11,prp_problem__12,prp_problem__13,prp_problem__14,prp_problem__96,prp_problem_oth
"63-89-80-49","Others ➡️ Specify","Moderate infestation - moderate number of pests present","High (50-75% plants damaged)","Yes","No",,,"No","No","No","No","No","No","No","No","No","No","No","No",,1,2,0,0,0,0,0,0,0,"",,"Only few days at the beginning of cropping season (less than a month)","Yes",,,"No","No","No","No","No","No","No","No","No","No","No","No",
"97-84-26-58","Fall army worm","Severe infestation - large number of pests present","High (50-75% plants damaged)","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No",,1,0,0,0,0,0,0,0,0,"",,"Every month of the cropping season","Yes","No","No","No","No","No","No","No","No",,"No","No","No","No","No",
"97-84-26-58","Pathenium","Extremely infestation - overwhelming number of pests present","Very high (&gt;75% plants damaged)","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No",,0,0,1,0,0,0,0,0,0,"",,"1-2 months (beginning and few times in the middle of cropping season)","Yes","No","No","No","No","No","No","No",,"No","No","No","No","No","No",
"44-14-26-56","Fall army worm","Severe infestation - large number of pests present","High (50-75% plants damaged)","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No",,1,0,0,0,0,0,0,0,0,"",,"1-2 months (beginning and few times in the middle of cropping season)","No","No","No","No","No","No","No","No","No","Yes","No","No",,"No","No",
"44-14-26-56","Pathenium","Severe infestation - large number of pests present","Average (25-50% plants damaged)","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No",,1,0,0,0,0,0,0,0,0,"",,"1-2 months (beginning and few times in the middle of cropping season)","No","No","No","No","No","No","Yes","No",,"No","No","No","No","No","No",
"01-78-65-09","Pathenium","Severe infestation - large number of pests present","High (50-75% plants damaged)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,1,0,0,0,0,0,0,0,0,"",,"Only few days at the beginning of cropping season (less than a month)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No",
"77-02-48-37","Fall army worm","Moderate infestation - moderate number of pests present","Average (25-50% plants damaged)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,1,2,0,0,0,0,0,0,0,"",,"Only few days at the beginning of cropping season (less than a month)","Yes","No",,"No","No","No",,"No","No","No","No","No","No","No","No",
"77-02-48-37","Others ➡️ Specify","Moderate infestation - moderate number of pests present","Average (25-50% plants damaged)","Yes","No","No",,"No","No","No","No","No","No","No","No","No","No","No","No",,1,2,0,0,0,0,0,0,0,"",,"Others, specify","Yes",,"No","No","No","No","No","No","No","No","No","No","No","No","No",
"46-96-59-64","Fall army worm","Extremely infestation - overwhelming number of pests present","High (50-75% plants damaged)","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No",,1,2,3,0,0,0,0,0,0,"",,"1-2 months (beginning and few times in the middle of cropping season)","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No",
"46-96-59-64","Pathenium","Moderate infestation - moderate number of pests present","Low (&lt;25% plants damaged)","No","No","No","No","Yes","No","No","No","No","No","No",,,"No","No","No",,1,2,3,0,0,0,0,0,0,"",,"Only few days at the beginning of cropping season (less than a month)","Yes","No","No","No","No","No","No","No",,,"No","No","No","No","No",
"01-51-99-07","Fall army worm","Moderate infestation - moderate number of pests present","Average (25-50% plants damaged)","No","No","No",,"No","Yes","No","No","No","No","No","No","No","No","No","No",,1,0,0,0,0,0,0,0,0,"",,"1-2 months (beginning and few times in the middle of cropping season)","No","No","No","No","No","No","No","No","No","Yes","No","No",,"No","No",
"01-51-99-07","Prosopis","Severe infestation - large number of pests present","High (50-75% plants damaged)","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No",,1,2,0,0,0,0,0,3,0,"",,"Every month of the cropping season","No","Yes",,"No","No","No","No","No",,"No","No","No","No","No","No",
"39-75-97-43","Pathenium","Not severe infestation - a small number of pests present","Low (&lt;25% plants damaged)","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No",,1,0,0,0,0,0,0,0,0,"",,"Every month of the cropping season","Yes",,"No","No","No","No","No","No",,"No","No","No","No","No","No",
"39-75-97-43","Prosopis","Moderate infestation - moderate number of pests present","Low (&lt;25% plants damaged)","No","No","No","No","No","Yes","No","No","No","No","No","No",,"No","No","No",,1,0,0,0,0,0,0,0,0,"",,"Others, specify","No","Yes","No","No","No","No","No","No","No","No","No","No",,"No","No",
"11-52-82-38","Fall army worm","Severe infestation - large number of pests present","High (50-75% plants damaged)","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No",,0,1,0,0,0,0,0,0,0,"",,"1-2 months (beginning and few times in the middle of cropping season)","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No",
"11-52-82-38","Prosopis","Severe infestation - large number of pests present","High (50-75% plants damaged)","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No",,1,0,0,0,0,0,0,0,0,"",,"Every month of the cropping season","No","No","Yes","No",,"No","No","No","No","No","No","No","No","No","No",
"19-06-13-08","Prosopis","Moderate infestation - moderate number of pests present","Low (&lt;25% plants damaged)","No","No","No","No","No","No","No","No","No","No","Yes","No",,"No","No","No",,0,0,0,2,0,0,0,1,0,"",,"Only few days at the beginning of cropping season (less than a month)","No","No","No","No","No","No","No","No","No","No","No",,"Yes","No","No",
"74-04-26-51","Fall army worm","Moderate infestation - moderate number of pests present","Average (25-50% plants damaged)","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No",,0,1,0,0,0,0,0,0,0,"",,"1-2 months (beginning and few times in the middle of cropping season)","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No",
"74-04-26-51","Prosopis","Extremely infestation - overwhelming number of pests present","High (50-75% plants damaged)","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No",,0,1,0,0,0,0,0,0,0,"",,"1-2 months (beginning and few times in the middle of cropping season)","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No",
"37-83-74-10","Pathenium","Severe infestation - large number of pests present","High (50-75% plants damaged)","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No",,0,1,0,0,0,0,0,0,0,"",,"Only few days at the beginning of cropping season (less than a month)","Yes","No","No",,"No","No","No","No","No","No","No","No","No","No","No",
"37-83-74-10","Prosopis","Severe infestation - large number of pests present","Average (25-50% plants damaged)","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No",,0,0,0,0,0,0,1,0,0,"",,"Only few days at the beginning of cropping season (less than a month)","Yes",,"No","No","No","No","No","No","No","No","No","No","No","No","No",
"39-40-38-02","Prosopis","Extremely infestation - overwhelming number of pests present","Very high (&gt;75% plants damaged)","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No",,0,0,0,0,0,0,0,1,0,"",,"1-2 months (beginning and few times in the middle of cropping season)","Yes","No",,"No",,"No","No","No","No","No","No","No","No","No","No",
"14-71-87-39","Prosopis","Moderate infestation - moderate number of pests present","Low (&lt;25% plants damaged)","No","No","No","No","No","No","No","No","No","No","Yes","No",,"No","No","No",,0,0,0,0,0,0,1,0,0,"",,"Others, specify","No",,,"No","No","No","No","No","No","Yes","No","No","No","No","No",
"14-71-87-39","Others ➡️ Specify","Not severe infestation - a small number of pests present","Low (&lt;25% plants damaged)","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No",,0,0,0,0,0,0,1,0,0,"",,"Others, specify","No","Yes","No","No","No","No","No","No",,"No","No","No",,"No","No",
"86-00-55-84","Fall army worm","Moderate infestation - moderate number of pests present","Average (25-50% plants damaged)","No","No","No","No","No","Yes","No","No","No","No",,"No","No","No","No","No",,0,1,0,0,0,0,2,0,0,"",,"Others, specify","No","Yes","No","No","No","No","No","No","No",,"No","No","No","No","No",
"86-00-55-84","Pathenium","Moderate infestation - moderate number of pests present","Average (25-50% plants damaged)","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No",,1,2,0,0,0,0,0,3,0,"",,"Every month of the cropping season","No","Yes","No","No","No","No","No",,"No",,"No","No","No","No","No",
"86-00-55-84","Prosopis","Moderate infestation - moderate number of pests present","High (50-75% plants damaged)","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No",,1,0,0,0,0,0,0,0,0,"",,"Every month of the cropping season","No","Yes",,"No","No","No","No","No",,"No","No","No","No","No","No",
"76-73-19-09","Prosopis","Severe infestation - large number of pests present","High (50-75% plants damaged)","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No",,1,0,0,0,0,0,0,0,0,"",,"1-2 months (beginning and few times in the middle of cropping season)","No","No","Yes","No",,"No","No","No","No","No","No","No","No","No","No",
"17-23-66-97","Pathenium","Not severe infestation - a small number of pests present","Low (&lt;25% plants damaged)","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No",,0,1,0,0,0,0,0,0,0,"",,"1-2 months (beginning and few times in the middle of cropping season)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No",
"71-45-81-79","Fall army worm","Extremely infestation - overwhelming number of pests present","High (50-75% plants damaged)","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No",,2,1,3,0,0,0,0,0,0,"",,"1-2 months (beginning and few times in the middle of cropping season)","No","Yes","No","No","No","No","No","No","No",,"No","No","No","No","No",
"71-45-81-79","Pathenium","Severe infestation - large number of pests present","Average (25-50% plants damaged)","No","No","No","No","Yes",,"No","No","No","No","No",,"No","No","No","No",,1,2,0,0,0,0,0,0,0,"",,"1-2 months (beginning and few times in the middle of cropping season)","Yes","No","No","No","No","No","No","No",,"No","No","No","No","No","No",
"53-00-83-03","Prosopis","Severe infestation - large number of pests present","High (50-75% plants damaged)","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No",,0,0,0,1,0,0,0,0,0,"",,"Every month of the cropping season","Yes","No","No","No","No","No","No",,"No","No","No","No",,"No","No",
"70-80-16-39","Fall army worm","Severe infestation - large number of pests present","Average (25-50% plants damaged)","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No",,0,1,0,0,0,0,0,0,0,"",,"1-2 months (beginning and few times in the middle of cropping season)","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No",
"70-80-16-39","Pathenium","Moderate infestation - moderate number of pests present","Low (&lt;25% plants damaged)","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No",,0,1,0,0,0,0,0,0,0,"",,"Every month of the cropping season",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No",
"70-80-16-39","Prosopis","Extremely infestation - overwhelming number of pests present","Very high (&gt;75% plants damaged)","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No",,0,1,0,0,0,0,0,0,0,"",,"Every month of the cropping season","No",,"Yes","No","No","No",,"No","No","No","No","No","No","No","No",
"11-00-74-85","Fall army worm","Extremely infestation - overwhelming number of pests present","Very high (&gt;75% plants damaged)","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No",,0,1,0,0,0,0,0,0,0,"",,"Others, specify","Yes","No","No","No","No","No","No","No","No",,"No","No","No","No","No",
"11-00-74-85","Pathenium","Not severe infestation - a small number of pests present","Low (&lt;25% plants damaged)","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No",,0,1,0,0,0,0,0,0,0,"",,"Others, specify","Yes",,"No","No","No","No","No","No","No","No","No","No","No","No","No",
"11-00-74-85","Prosopis","Extremely infestation - overwhelming number of pests present","Very high (&gt;75% plants damaged)","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No",,0,1,0,0,0,0,0,0,0,"",,"Others, specify","Yes",,,"No","No","No","No","No","No","No","No","No","No","No","No",
"16-44-32-23","Pathenium","Severe infestation - large number of pests present","High (50-75% plants damaged)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,0,1,0,0,0,0,0,0,0,"",,"Only few days at the beginning of cropping season (less than a month)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No",
"16-44-32-23","Prosopis","Extremely infestation - overwhelming number of pests present","Very high (&gt;75% plants damaged)","No","No","No","No","No","No","No","No","No","No","Yes","No","No",,"No","No",,1,0,0,2,0,0,0,0,0,"",,"1-2 months (beginning and few times in the middle of cropping season)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No",
"49-09-04-04","Prosopis","Moderate infestation - moderate number of pests present","Low (&lt;25% plants damaged)","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No",,0,0,0,0,0,0,0,0,1,"fear of fire spreading",,"Others, specify","No","Yes",,"No","No","No","No","No","No","No","No","No",,"No","No",
"49-09-04-04","Others ➡️ Specify","Not severe infestation - a small number of pests present","Low (&lt;25% plants damaged)","No","No","No","No","No",,"No","No","No","No","Yes","No",,"No","No","No",,0,2,0,0,0,0,1,0,0,"",,"Every month of the cropping season","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No",
"33-01-13-01","Prosopis","Extremely infestation - overwhelming number of pests present","Very high (&gt;75% plants damaged)","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No",,0,0,0,0,0,0,0,0,1,"practices uprooting",,"1-2 months (beginning and few times in the middle of cropping season)","No","No",,"No",,"No","No","No","No","No","No","No","No","No","Yes",
"79-39-40-36","Pathenium","Severe infestation - large number of pests present","High (50-75% plants damaged)","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No",,0,1,0,0,0,0,0,2,0,"",,"Only few days at the beginning of cropping season (less than a month)",,"No","No","No","No","No","No","No","No","No","No","No","Yes","No","No",
"79-39-40-36","Prosopis","Extremely infestation - overwhelming number of pests present","High (50-75% plants damaged)","No","No","No","No","No","No","No","No","No","No","Yes","No","No",,"No","No",,1,0,0,0,0,0,2,0,0,"",,"Every month of the cropping season","No","Yes","No","No","No","No","No","No","No","No","No","No",,"No","No",
"65-53-51-27","Fall army worm","Extremely infestation - overwhelming number of pests present","High (50-75% plants damaged)","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No",,0,1,0,0,0,0,0,0,0,"",,"1-2 months (beginning and few times in the middle of cropping season)","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No",
"65-53-51-27","Pathenium","Moderate infestation - moderate number of pests present","Low (&lt;25% plants damaged)","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No",,0,1,0,0,0,0,0,0,0,"",,"Only few days at the beginning of cropping season (less than a month)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No",
"65-53-51-27","Prosopis","Extremely infestation - overwhelming number of pests present","Very high (&gt;75% plants damaged)","No","No","No","No","No","No","No",,"No","No","Yes","No","No","No","No","No",,2,1,0,0,0,0,0,0,0,"",,"Every month of the cropping season",,,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",
"64-11-62-56","Fall army worm","Severe infestation - large number of pests present","High (50-75% plants damaged)","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No",,1,0,0,0,0,0,0,0,0,"",,"1-2 months (beginning and few times in the middle of cropping season)","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No",
"64-11-62-56","Pathenium","Moderate infestation - moderate number of pests present","Average (25-50% plants damaged)","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No",,1,0,0,0,0,0,0,0,0,"",,"Only few days at the beginning of cropping season (less than a month)","Yes","No","No","No","No","No","No","No","No",,"No","No","No","No","No",
"64-11-62-56","Prosopis","Severe infestation - large number of pests present","High (50-75% plants damaged)","No","No","No","No","No","No","No","No","No","No",,,"Yes","No","No","No",,1,0,0,0,0,0,0,0,0,"",,"Every month of the cropping season",,"Yes",,"No","No","No","No","No","No","No","No","No","No","No","No",
"79-53-04-50","Fall army worm","Extremely infestation - overwhelming number of pests present","High (50-75% plants damaged)","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No",,0,1,0,0,0,0,0,0,0,"",,"1-2 months (beginning and few times in the middle of cropping season)","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No",
"79-53-04-50","Pathenium","Moderate infestation - moderate number of pests present","Low (&lt;25% plants damaged)","No","No","No","No","No","Yes","No","No","No","No",,"No",,"No","No","No",,0,1,0,0,0,0,0,0,0,"",,"Every month of the cropping season",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No",
"79-53-04-50","Prosopis","Extremely infestation - overwhelming number of pests present","High (50-75% plants damaged)","No","No","No","No","No","No","No","No","No","No","Yes",,,"No","No","No",,0,1,0,0,0,0,0,0,0,"",,"Every month of the cropping season","No","Yes",,"No","No","No","No",,"No","No","No","No","No","No","No",
"14-13-86-20","Fall army worm","Not severe infestation - a small number of pests present","Low (&lt;25% plants damaged)","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No",,1,0,0,0,0,0,0,0,0,"",,"Others, specify","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No",
"14-13-86-20","Prosopis","Extremely infestation - overwhelming number of pests present","Very high (&gt;75% plants damaged)","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No",,0,1,0,0,0,0,0,0,0,"",,"1-2 months (beginning and few times in the middle of cropping season)","Yes",,"No","No","No","No","No","No","No","No","No","No","No","No","No",
"19-99-67-92","Fall army worm","Moderate infestation - moderate number of pests present","Average (25-50% plants damaged)","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No",,1,0,0,0,0,0,0,0,0,"",,"1-2 months (beginning and few times in the middle of cropping season)","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No",
"19-99-67-92","Pathenium","Severe infestation - large number of pests present","Low (&lt;25% plants damaged)","No","No","No","No","No",,"No","No","No","No",,"No","Yes","No","No","No",,1,0,0,0,0,0,0,0,0,"",,"Every month of the cropping season","No","Yes","No","No","No","No","No","No","No",,"No","No","No","No","No",
"19-99-67-92","Prosopis","Extremely infestation - overwhelming number of pests present","Very high (&gt;75% plants damaged)","No","No","No","No","No","No","No",,"No","No","No","No","Yes","No","No","No",,1,0,0,0,0,0,0,0,0,"",,"Every month of the cropping season","No","Yes",,"No","No","No","No",,"No","No","No","No","No","No","No",
"65-80-65-49","Fall army worm","Extremely infestation - overwhelming number of pests present","High (50-75% plants damaged)","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No",,0,1,0,0,0,0,0,0,0,"",,"1-2 months (beginning and few times in the middle of cropping season)","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No",
"65-80-65-49","Pathenium","Not severe infestation - a small number of pests present","Low (&lt;25% plants damaged)","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No",,0,1,0,0,0,0,0,0,0,"",,"Every month of the cropping season","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No",
"65-80-65-49","Prosopis","Extremely infestation - overwhelming number of pests present","High (50-75% plants damaged)","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No",,1,0,0,0,0,0,0,0,0,"",,"Every month of the cropping season","No","Yes",,"No","No","No","No","No","No","No","No","No","No","No","No",
"08-76-57-31","Fall army worm","Extremely infestation - overwhelming number of pests present","Very high (&gt;75% plants damaged)","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No",,0,1,0,0,0,0,0,0,0,"",,"1-2 months (beginning and few times in the middle of cropping season)","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No",
"08-76-57-31","Pathenium","Moderate infestation - moderate number of pests present","Low (&lt;25% plants damaged)","No","No","No","No","No","Yes","No","No","No","No","No","No",,"No","No","No",,0,1,0,0,0,0,0,0,0,"",,"Every month of the cropping season","Yes",,"No","No","No","No","No","No","No","No","No","No","No","No","No",
"08-76-57-31","Prosopis","Extremely infestation - overwhelming number of pests present","High (50-75% plants damaged)","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No",,2,1,0,0,0,0,0,0,0,"",,"Every month of the cropping season","Yes",,,"No","No","No","No","No","No","No","No","No","No","No","No",
"02-57-88-54","Fall army worm","Severe infestation - large number of pests present","High (50-75% plants damaged)","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,1,2,3,0,0,0,0,0,0,"",,"Only few days at the beginning of cropping season (less than a month)","Yes","No",,"No","No","No","No","No",,"No","No","No","No","No","No",
"02-57-88-54","Pathenium","Severe infestation - large number of pests present","Very high (&gt;75% plants damaged)","Yes","No",,,"No","No","No","No","No","No","No","No","No","No","No","No",,1,2,3,0,0,0,0,0,0,"",,"Only few days at the beginning of cropping season (less than a month)","Yes","No",,"No","No","No","No","No","No","No","No","No","No","No","No",
"02-57-88-54","Others ➡️ Specify","Severe infestation - large number of pests present","High (50-75% plants damaged)","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No",,1,2,0,0,0,0,0,0,0,"",,"Only few days at the beginning of cropping season (less than a month)","Yes","No","No","No",,"No","No","No","No","No","No","No","No","No","No",
"36-87-83-91","Fall army worm","Extremely infestation - overwhelming number of pests present","High (50-75% plants damaged)","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No",,1,3,2,0,0,0,0,0,0,"",,"1-2 months (beginning and few times in the middle of cropping season)","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No",
"36-87-83-91","Pathenium","Extremely infestation - overwhelming number of pests present","High (50-75% plants damaged)","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No",,1,2,3,0,0,0,0,0,0,"",,"Only few days at the beginning of cropping season (less than a month)","Yes","No","No","No","No","No","No","No",,"No","No","No",,"No","No",
"99-46-97-26","Fall army worm","Extremely infestation - overwhelming number of pests present","Very high (&gt;75% plants damaged)","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No",,0,1,0,0,0,0,0,0,0,"",,"1-2 months (beginning and few times in the middle of cropping season)","No","No","No","No","No","No","No","No","No","Yes","No","No",,"No","No",
"99-46-97-26","Prosopis","Extremely infestation - overwhelming number of pests present","Very high (&gt;75% plants damaged)","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No",,0,1,0,0,0,0,0,0,0,"",,"1-2 months (beginning and few times in the middle of cropping season)",,"Yes",,"No","No","No","No","No","No","No","No","No","No","No","No",
"76-21-46-00","Fall army worm","Extremely infestation - overwhelming number of pests present","Very high (&gt;75% plants damaged)","No","No","No","No",,"Yes","No","No","No","No","No","No","No","No","No","No",,0,1,0,0,0,0,0,0,0,"",,"Every month of the cropping season","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No",
"76-21-46-00","Prosopis","Severe infestation - large number of pests present","High (50-75% plants damaged)","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No",,0,1,0,0,0,0,0,0,0,"",,"Every month of the cropping season","Yes","No","No","No","No","No","No","No",,"No","No","No","No","No","No",
"63-02-11-31","Fall army worm","Extremely infestation - overwhelming number of pests present","Very high (&gt;75% plants damaged)","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No",,0,1,0,0,0,0,0,0,0,"",,"1-2 months (beginning and few times in the middle of cropping season)","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No",
"63-02-11-31","Prosopis","Extremely infestation - overwhelming number of pests present","Very high (&gt;75% plants damaged)","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No",,0,1,0,0,0,0,0,0,0,"",,"1-2 months (beginning and few times in the middle of cropping season)","No","Yes","No","No","No","No","No","No","No","No","No","No",,"No","No",
