interview__key,r_invasive_spices__id,eco_mgmt,eco_mgmt_rank,cost_management,how_effective
"65-53-51-27",3,"Sand and Ash",1,0,"Slightly effective"
"64-11-62-56",1,"Use of Pesticides or Chemical Agents",1,2000,"Highly effective"
"64-11-62-56",2,"Use of Pesticides or Chemical Agents",1,1000,"Highly effective"
"64-11-62-56",3,"Sand and Ash",1,5000,"Moderately effective"
"79-53-04-50",1,"Use of Pesticides or Chemical Agents",1,1700,"Slightly effective"
"79-53-04-50",2,"Use of Pesticides or Chemical Agents",3,0,"Highly effective"
"79-53-04-50",2,"Sand and Ash",2,1000,"Moderately effective"
"79-53-04-50",2,"Burning",1,1000,"Moderately effective"
"79-53-04-50",3,"Sand and Ash",2,0,"Moderately effective"
"79-53-04-50",3,"Cutting the Trees",1,3000,"Slightly effective"
"79-53-04-50",3,"Burning",3,500,"Moderately effective"
"14-13-86-20",1,"Do Nothing",1,0,"Not at all effective"
"14-13-86-20",3,"Sand and Ash",2,0,"Slightly effective"
"14-13-86-20",3,"Burning",1,0,"Slightly effective"
"19-99-67-92",1,"Use of Pesticides or Chemical Agents",1,6000,"Moderately effective"
"19-99-67-92",2,"Use of Pesticides or Chemical Agents",2,6000,"Highly effective"
"19-99-67-92",2,"Sand and Ash",3,1500,"Slightly effective"
"19-99-67-92",2,"Burning",1,15000,"Slightly effective"
"19-99-67-92",3,"Sand and Ash",1,6000,"Slightly effective"
"65-80-65-49",1,"Use of Pesticides or Chemical Agents",1,900,"Slightly effective"
"65-80-65-49",2,"Burning",2,0,"Slightly effective"
"65-80-65-49",2,"Do Nothing",1,0,"Slightly effective"
"65-80-65-49",3,"Sand and Ash",1,0,"Slightly effective"
"08-76-57-31",1,"Use of Pesticides or Chemical Agents",1,1100,"Moderately effective"
"08-76-57-31",2,"Use of Pesticides or Chemical Agents",1,2000,"Slightly effective"
"08-76-57-31",2,"Burning",2,0,"Slightly effective"
"08-76-57-31",2,"Others, Specify",3,1500,"Slightly effective"
"08-76-57-31",3,"Sand and Ash",1,3000,"Slightly effective"
"02-57-88-54",1,"Intercropping",2,200,"Slightly effective"
"02-57-88-54",1,"Crop Rotation",3,0,"Moderately effective"
"02-57-88-54",1,"Intensive Cultivation",1,500,"Slightly effective"
"02-57-88-54",2,"Use of Natural Enemies/ Sugars and Soups that Attracts Natural Enemies",1,500,"Moderately effective"
"02-57-88-54",2,"Intercropping",2,500,"Slightly effective"
"02-57-88-54",2,"Crop Rotation",3,300,"Slightly effective"
"02-57-88-54",4,"Use of Natural Enemies/ Sugars and Soups that Attracts Natural Enemies",1,,
"02-57-88-54",4,"Early Planting, Resistant Varieties",2,,
"36-87-83-91",1,"Intensive Cultivation",2,0,"Slightly effective"
"36-87-83-91",1,"Handpicking and Crushing Egg Masses/ Catterpillars",1,0,"Moderately effective"
"36-87-83-91",2,"Weeding",1,0,"Not at all effective"
"36-87-83-91",2,"Cutting the Trees",2,0,"Not at all effective"
"36-87-83-91",2,"Burning",3,0,"Not at all effective"
"99-46-97-26",1,"Use of Pesticides or Chemical Agents",1,4000,"Slightly effective"
"99-46-97-26",3,"Burning",1,3000,"Slightly effective"
"76-21-46-00",1,"Use of Pesticides or Chemical Agents",1,1100,"Slightly effective"
"76-21-46-00",3,"Burning",1,600,"Slightly effective"
"63-02-11-31",1,"Use of Pesticides or Chemical Agents",1,2000,"Slightly effective"
"63-02-11-31",3,"Burning",1,0,"Slightly effective"
"45-95-07-81",1,"Handpicking and Crushing Egg Masses/ Catterpillars",1,5,"Slightly effective"
"45-95-07-81",2,"Weeding",2,2,"Moderately effective"
"45-95-07-81",2,"Burning",1,2,"Moderately effective"
"15-84-79-29",2,"Weeding",2,0,"Moderately effective"
"15-84-79-29",2,"Cutting the Trees",1,0,"Moderately effective"
"52-10-39-37",1,"Do Nothing",1,0,"Not at all effective"
"52-10-39-37",2,"Early Planting, Resistant Varieties",1,0,"Slightly effective"
"52-10-39-37",2,"Weeding",2,500,"Moderately effective"
"52-10-39-37",3,"Do Nothing",1,0,"Not at all effective"
"52-10-39-37",4,"Do Nothing",1,,
"57-47-06-86",1,"Early Planting, Resistant Varieties",1,200,"Highly effective"
"57-47-06-86",1,"Weeding",2,500,"Moderately effective"
"57-47-06-86",2,"Early Planting, Resistant Varieties",1,0,"Moderately effective"
"57-47-06-86",2,"Weeding",2,0,"Slightly effective"
"57-47-06-86",3,"Sand and Ash",1,0,"Not at all effective"
"70-03-65-67",1,"Weeding",2,2000,"Slightly effective"
"70-03-65-67",1,"Handpicking and Crushing Egg Masses/ Catterpillars",1,0,"Moderately effective"
"70-03-65-67",2,"Do Nothing",1,0,"Not at all effective"
"48-58-26-00",1,"Intensive Cultivation",1,2500,"Moderately effective"
"48-58-26-00",2,"Weeding",1,2000,"Moderately effective"
"48-58-26-00",2,"Burning",2,1500,"Moderately effective"
"48-53-15-07",2,"Do Nothing",1,0,"Not at all effective"
"48-53-15-07",3,"Do Nothing",1,0,"Not at all effective"
"44-97-24-07",1,"Use of Pesticides or Chemical Agents",1,3000,"Highly effective"
"44-97-24-07",2,"Use of Pesticides or Chemical Agents",1,0,"Moderately effective"
"44-97-24-07",2,"Burning",2,0,"Moderately effective"
"44-97-24-07",2,"Uprooting Seedlings and Trees",3,0,"Moderately effective"
"44-97-24-07",3,"Weeding",2,0,"Highly effective"
"44-97-24-07",3,"Burning",1,0,"Highly effective"
"44-97-24-07",3,"Uprooting Seedlings and Trees",3,0,"Slightly effective"
"63-58-57-56",1,"Use of Natural Enemies/ Sugars and Soups that Attracts Natural Enemies",1,0,"Moderately effective"
"63-58-57-56",1,"Intensive Cultivation",2,0,"Moderately effective"
"63-58-57-56",2,"Weeding",1,0,"Moderately effective"
"63-58-57-56",2,"Cutting the Trees",2,0,"Moderately effective"
"63-58-57-56",2,"Burning",3,0,"Moderately effective"
"50-43-62-27",2,"Do Nothing",1,0,"Not at all effective"
"80-45-95-05",2,"Early Planting, Resistant Varieties",1,0,"Slightly effective"
"80-45-95-05",2,"Weeding",3,0,"Slightly effective"
"80-45-95-05",2,"Crop Diversification",2,0,"Not at all effective"
"63-29-07-40",1,"Use of Natural Enemies/ Sugars and Soups that Attracts Natural Enemies",1,0,"Moderately effective"
"63-29-07-40",1,"Early Planting, Resistant Varieties",2,0,"Moderately effective"
"63-29-07-40",2,"Use of Natural Enemies/ Sugars and Soups that Attracts Natural Enemies",1,0,"Slightly effective"
"63-29-07-40",2,"Sand and Ash",2,0,"Slightly effective"
"63-29-07-40",4,"Use of Natural Enemies/ Sugars and Soups that Attracts Natural Enemies",1,,
"54-48-29-18",1,"Use of Natural Enemies/ Sugars and Soups that Attracts Natural Enemies",1,500,"Moderately effective"
"54-48-29-18",2,"Use of Natural Enemies/ Sugars and Soups that Attracts Natural Enemies",1,200,"Slightly effective"
"54-48-29-18",4,"Use of Natural Enemies/ Sugars and Soups that Attracts Natural Enemies",1,,
"45-36-57-50",2,"Do Nothing",1,0,"Not at all effective"
"49-75-44-53",2,"Do Nothing",1,0,"Not at all effective"
"35-67-10-08",1,"Sand and Ash",1,0,"Slightly effective"
"35-67-10-08",1,"Uprooting Seedlings and Trees",2,0,"Moderately effective"
"35-67-10-08",2,"Cutting the Trees",1,0,"Slightly effective"
"35-67-10-08",2,"Uprooting Seedlings and Trees",2,0,"Moderately effective"
"35-67-10-08",4,"Use of Natural Enemies/ Sugars and Soups that Attracts Natural Enemies",1,,
"12-79-91-83",2,"Use of Natural Enemies/ Sugars and Soups that Attracts Natural Enemies",1,0,"Slightly effective"
"12-79-91-83",2,"Early Planting, Resistant Varieties",2,2000,"Moderately effective"
"12-79-91-83",2,"Weeding",3,1000,"Slightly effective"
"19-90-00-01",2,"Do Nothing",1,0,"Not at all effective"
"29-86-40-08",2,"Do Nothing",1,0,"Not at all effective"
"10-69-61-22",1,"Handpicking and Crushing Egg Masses/ Catterpillars",1,0,"Slightly effective"
"10-69-61-22",2,"Weeding",1,0,"Slightly effective"
"73-57-30-20",2,"Cutting the Trees",1,0,"Moderately effective"
"98-91-04-48",2,"Burning",1,0,"Moderately effective"
"98-91-04-48",3,"Burning",1,0,"Slightly effective"
"74-01-41-82",1,"Handpicking and Crushing Egg Masses/ Catterpillars",1,0,"Slightly effective"
"74-01-41-82",2,"Weeding",1,0,"Moderately effective"
"30-00-59-90",1,"Handpicking and Crushing Egg Masses/ Catterpillars",1,0,"Slightly effective"
"30-00-59-90",2,"Weeding",1,0,"Moderately effective"
"66-77-39-39",2,"Do Nothing",1,0,"Not at all effective"
"35-78-11-70",1,"Use of Pesticides or Chemical Agents",1,0,"Highly effective"
"35-78-11-70",2,"Sand and Ash",1,0,"Highly effective"
"35-78-11-70",3,"Sand and Ash",1,0,"Moderately effective"
"35-78-11-70",3,"Burning",2,0,"Highly effective"
"75-25-98-04",1,"Do Nothing",1,0,"Not at all effective"
"75-25-98-04",2,"Burning",1,0,"Slightly effective"
"75-25-98-04",3,"Uprooting Seedlings and Trees",1,0,"Slightly effective"
"09-00-12-98",1,"Use of Pesticides or Chemical Agents",1,1600,"Moderately effective"
"09-00-12-98",1,"Others, Specify",2,0,"Slightly effective"
"09-00-12-98",2,"Weeding",1,0,"Moderately effective"
"09-00-12-98",2,"Use of Pesticides or Chemical Agents",2,5500,"Moderately effective"
"09-00-12-98",2,"Burning",3,0,"Moderately effective"
"09-00-12-98",3,"Burning",1,0,"Moderately effective"
"13-38-59-03",1,"Intercropping",2,0,"Slightly effective"
"13-38-59-03",1,"Use of Pesticides or Chemical Agents",1,900,"Moderately effective"
"13-38-59-03",2,"Burning",1,0,"Slightly effective"
"13-38-59-03",3,"Sand and Ash",2,1500,"Slightly effective"
"13-38-59-03",3,"Burning",1,5000,"Slightly effective"
"26-77-14-31",1,"Use of Pesticides or Chemical Agents",1,1500,"Moderately effective"
"26-77-14-31",2,"Weeding",2,0,"Moderately effective"
"26-77-14-31",2,"Burning",1,0,"Moderately effective"
"26-77-14-31",3,"Burning",1,0,"Slightly effective"
"04-52-21-75",1,"Use of Pesticides or Chemical Agents",1,4000,"Highly effective"
"04-52-21-75",2,"Sand and Ash",2,160,"Moderately effective"
"04-52-21-75",2,"Burning",1,0,"Moderately effective"
"04-52-21-75",3,"Sand and Ash",1,2000,"Moderately effective"
"04-52-21-75",3,"Burning",2,5000,"Moderately effective"
"04-52-21-75",3,"Uprooting Seedlings and Trees",3,0,"Slightly effective"
"49-10-89-14",1,"Use of Pesticides or Chemical Agents",1,2500,"Moderately effective"
"49-10-89-14",1,"Handpicking and Crushing Egg Masses/ Catterpillars",2,0,"Slightly effective"
"49-10-89-14",2,"Weeding",1,0,"Moderately effective"
"49-10-89-14",2,"Crop Diversification",2,3000,"Moderately effective"
"49-10-89-14",2,"Burning",3,2000,"Slightly effective"
"49-10-89-14",3,"Sand and Ash",1,1500,"Slightly effective"
"49-10-89-14",3,"Cutting the Trees",3,0,"Slightly effective"
"49-10-89-14",3,"Burning",2,2000,"Moderately effective"
"15-13-85-83",1,"Use of Pesticides or Chemical Agents",1,1600,"Moderately effective"
"15-13-85-83",2,"Weeding",2,1000,"Moderately effective"
"15-13-85-83",2,"Use of Pesticides or Chemical Agents",1,2000,"Moderately effective"
"15-13-85-83",2,"Burning",3,1000,"Moderately effective"
"15-13-85-83",3,"Sand and Ash",2,300,"Slightly effective"
"15-13-85-83",3,"Burning",1,1000,"Highly effective"
"81-99-34-25",2,"Do Nothing",1,0,"Not at all effective"
"81-99-34-25",3,"Uprooting Seedlings and Trees",1,0,"Slightly effective"
"81-99-34-25",4,"Use of Pesticides or Chemical Agents",1,,
"96-35-08-20",1,"Use of Pesticides or Chemical Agents",1,800,"Moderately effective"
"96-35-08-20",1,"Handpicking and Crushing Egg Masses/ Catterpillars",2,0,"Slightly effective"
"96-35-08-20",2,"Weeding",3,0,"Moderately effective"
"96-35-08-20",2,"Use of Pesticides or Chemical Agents",2,1500,"Slightly effective"
"96-35-08-20",2,"Burning",1,0,"Moderately effective"
"96-35-08-20",3,"Burning",1,0,"Slightly effective"
"78-02-12-77",1,"Use of Pesticides or Chemical Agents",1,700,"Moderately effective"
"78-02-12-77",2,"Sand and Ash",1,0,"Moderately effective"
"78-02-12-77",2,"Burning",2,0,"Moderately effective"
"78-02-12-77",3,"Sand and Ash",1,18000,"Slightly effective"
"78-02-12-77",3,"Burning",2,0,"Moderately effective"
"66-37-18-93",1,"Use of Pesticides or Chemical Agents",1,1200,"Highly effective"
"66-37-18-93",2,"Weeding",1,2000,"Highly effective"
"66-37-18-93",2,"Use of Pesticides or Chemical Agents",2,2400,"Highly effective"
"66-37-18-93",3,"Weeding",3,1000,"Slightly effective"
"66-37-18-93",3,"Sand and Ash",2,1000,"Slightly effective"
"66-37-18-93",3,"Burning",1,2000,"Highly effective"
"77-89-79-33",1,"Use of Pesticides or Chemical Agents",1,3000,"Slightly effective"
"77-89-79-33",2,"Burning",1,2000,"Slightly effective"
"77-89-79-33",3,"Sand and Ash",2,3000,"Slightly effective"
"77-89-79-33",3,"Burning",1,4000,"Slightly effective"
"09-97-47-73",1,"Use of Pesticides or Chemical Agents",1,3000,"Slightly effective"
"09-97-47-73",3,"Burning",1,5000,"Slightly effective"
"62-45-31-86",1,"Weeding",1,0,"Not at all effective"
"96-13-78-99",1,"Handpicking and Crushing Egg Masses/ Catterpillars",1,0,"Not at all effective"
"96-13-78-99",1,"Others, Specify",2,60,"Not at all effective"
"25-35-15-07",2,"Do Nothing",1,0,"Moderately effective"
"10-80-25-79",2,"Cutting the Trees",1,0,"Not at all effective"
"46-89-14-96",2,"Crop Diversification",1,0,"Moderately effective"
"80-24-04-77",2,"Do Nothing",1,0,"Not at all effective"
"26-82-89-21",1,"Handpicking and Crushing Egg Masses/ Catterpillars",1,0,"Not at all effective"
"22-43-50-27",2,"Crop Diversification",1,0,"Slightly effective"
"41-41-55-55",2,"Crop Diversification",1,0,"Slightly effective"
"26-69-32-41",1,"Do Nothing",1,0,"Not at all effective"
"26-69-32-41",2,"Sand and Ash",1,0,"Slightly effective"
"68-81-12-32",1,"Do Nothing",1,0,"Not at all effective"
"68-81-12-32",2,"Do Nothing",1,0,"Not at all effective"
"46-49-14-82",1,"Do Nothing",1,0,"Not at all effective"
"46-49-14-82",2,"Sand and Ash",1,0,"Moderately effective"
"92-16-89-27",1,"Do Nothing",1,0,"Not at all effective"
"92-16-89-27",3,"Burning",1,0,"Slightly effective"
"01-28-41-84",1,"Do Nothing",1,0,"Not at all effective"
"01-28-41-84",3,"Sand and Ash",2,0,"Not at all effective"
"01-28-41-84",3,"Burning",1,0,"Not at all effective"
"23-46-40-42",1,"Use of Pesticides or Chemical Agents",1,800,"Moderately effective"
"23-46-40-42",3,"Sand and Ash",1,1200,"Slightly effective"
"23-46-40-42",3,"Burning",2,1500,"Slightly effective"
"93-71-36-41",3,"Sand and Ash",1,0,"Moderately effective"
"07-56-93-09",1,"Handpicking and Crushing Egg Masses/ Catterpillars",1,0,"Not at all effective"
"07-56-93-09",2,"Weeding",1,0,"Not at all effective"
"40-07-12-46",3,"Sand and Ash",1,0,"Moderately effective"
"40-07-12-46",4,"Sand and Ash",1,,
"68-88-48-96",1,"Use of Pesticides or Chemical Agents",1,3600,"Moderately effective"
"68-88-48-96",3,"Sand and Ash",1,0,"Moderately effective"
"68-88-48-96",3,"Burning",2,0,"Moderately effective"
"86-70-18-69",1,"Use of Pesticides or Chemical Agents",1,1600,"Moderately effective"
"86-70-18-69",3,"Sand and Ash",1,0,"Moderately effective"
"86-70-18-69",3,"Burning",2,0,"Moderately effective"
"82-09-53-31",1,"Weeding",1,0,"Not at all effective"
"82-09-53-31",1,"Sand and Ash",2,0,"Slightly effective"
"82-09-53-31",1,"Cutting the Trees",3,0,"Slightly effective"
"82-09-53-31",2,"Early Planting, Resistant Varieties",1,0,"Slightly effective"
"82-09-53-31",2,"Weeding",2,0,"Slightly effective"
"10-84-11-85",2,"Do Nothing",1,0,"Not at all effective"
"93-36-47-93",2,"Do Nothing",1,0,"Not at all effective"
"40-02-31-47",1,"Do Nothing",1,0,"Not at all effective"
"35-25-14-79",1,"Sand and Ash",1,0,"Slightly effective"
"96-32-88-00",3,"Burning",1,0,"Highly effective"
"30-07-79-13",2,"Burning",1,0,"Slightly effective"
"05-61-96-62",1,"Use of Pesticides or Chemical Agents",1,1200,"Moderately effective"
"05-61-96-62",3,"Sand and Ash",2,750,"Slightly effective"
"05-61-96-62",3,"Burning",1,2000,"Highly effective"
"37-32-16-74",1,"Do Nothing",1,0,"Not at all effective"
"37-32-16-74",2,"Sand and Ash",1,0,"Moderately effective"
"06-96-64-70",3,"Burning",1,0,"Moderately effective"
"06-96-64-70",3,"Uprooting Seedlings and Trees",2,0,"Moderately effective"
"74-21-41-84",1,"Do Nothing",1,0,"Not at all effective"
"74-21-41-84",2,"Sand and Ash",1,0,"Moderately effective"
"82-96-41-85",1,"Use of Pesticides or Chemical Agents",1,2000,"Moderately effective"
"82-96-41-85",2,"Weeding",1,5000,"Highly effective"
"82-96-41-85",2,"Sand and Ash",2,500,"Moderately effective"
"82-96-41-85",2,"Burning",3,0,"Slightly effective"
"82-96-41-85",3,"Sand and Ash",2,3000,"Slightly effective"
"82-96-41-85",3,"Burning",1,50000,"Highly effective"
"58-44-33-27",3,"Sand and Ash",1,0,"Moderately effective"
"88-25-56-87",3,"Burning",1,0,"Highly effective"
"88-25-56-87",3,"Uprooting Seedlings and Trees",2,0,"Moderately effective"
"86-98-25-96",1,"Use of Pesticides or Chemical Agents",1,600,"Moderately effective"
"86-98-25-96",2,"Weeding",1,1200,"Moderately effective"
"86-98-25-96",3,"Burning",1,500,"Highly effective"
"09-54-26-75",3,"Sand and Ash",1,0,"Not at all effective"
"41-61-78-73",2,"Burning",1,0,"Slightly effective"
"90-86-53-30",2,"Sand and Ash",2,0,"Not at all effective"
"90-86-53-30",2,"Cutting the Trees",1,0,"Not at all effective"
"90-86-53-30",3,"Use of Natural Enemies/ Sugars and Soups that Attracts Natural Enemies",1,0,"Not at all effective"
"90-86-53-30",3,"Cutting the Trees",2,0,"Not at all effective"
"16-75-57-30",2,"Use of Natural Enemies/ Sugars and Soups that Attracts Natural Enemies",1,0,"Slightly effective"
"16-75-57-30",2,"Weeding",2,0,"Not at all effective"
"60-19-22-98",2,"Weeding",1,0,"Not at all effective"
"60-19-22-98",2,"Sand and Ash",2,0,"Not at all effective"
"97-29-58-98",3,"Sand and Ash",1,0,"Moderately effective"
"51-48-94-50",1,"Use of Pesticides or Chemical Agents",1,3000,"Moderately effective"
"51-48-94-50",3,"Burning",2,0,"Slightly effective"
"51-48-94-50",3,"Uprooting Seedlings and Trees",1,0,"Slightly effective"
"97-20-59-08",1,"Use of Pesticides or Chemical Agents",1,800,"Moderately effective"
"97-20-59-08",2,"Use of Pesticides or Chemical Agents",1,1300,"Moderately effective"
"97-20-59-08",3,"Burning",1,1000,"Highly effective"
"21-43-02-41",3,"Uprooting Seedlings and Trees",1,0,"Moderately effective"
"82-77-24-98",1,"Use of Pesticides or Chemical Agents",1,3000,"Highly effective"
"82-77-24-98",2,"Weeding",1,0,"Highly effective"
"82-77-24-98",2,"Burning",2,0,"Highly effective"
"82-77-24-98",3,"Burning",2,0,"Highly effective"
"82-77-24-98",3,"Uprooting Seedlings and Trees",1,0,"Highly effective"
"68-99-96-16",3,"Burning",2,0,"Highly effective"
"68-99-96-16",3,"Uprooting Seedlings and Trees",1,0,"Moderately effective"
"47-95-59-62",1,"Handpicking and Crushing Egg Masses/ Catterpillars",2,0,"Slightly effective"
"47-95-59-62",1,"Do Nothing",1,0,"Slightly effective"
"47-95-59-62",2,"Sand and Ash",1,0,"Moderately effective"
"86-57-96-89",1,"Sand and Ash",1,0,"Moderately effective"
"86-57-96-89",1,"Cutting the Trees",2,0,"Moderately effective"
"68-47-81-44",3,"Burning",1,0,"Moderately effective"
"36-96-75-03",3,"Burning",1,5000,"Slightly effective"
"08-94-02-07",1,"Use of Pesticides or Chemical Agents",1,8000,"Moderately effective"
"08-94-02-07",3,"Burning",1,0,"Slightly effective"
"37-79-35-25",1,"Sand and Ash",1,0,"Slightly effective"
"71-65-92-38",2,"Do Nothing",1,0,"Not at all effective"
"64-78-16-16",1,"Do Nothing",1,0,"Not at all effective"
"64-78-16-16",2,"Sand and Ash",1,0,"Moderately effective"
"21-44-80-94",4,"Do Nothing",1,,
"09-64-46-58",1,"Use of Pesticides or Chemical Agents",1,0,"Moderately effective"
"09-64-46-58",1,"Handpicking and Crushing Egg Masses/ Catterpillars",2,0,"Slightly effective"
"09-64-46-58",3,"Sand and Ash",2,0,"Slightly effective"
"09-64-46-58",3,"Burning",1,0,"Slightly effective"
"09-64-46-58",3,"Uprooting Seedlings and Trees",3,0,"Slightly effective"
"59-85-28-37",2,"Do Nothing",1,0,"Not at all effective"
"59-86-17-42",1,"Sand and Ash",1,0,"Slightly effective"
"59-86-17-42",1,"Uprooting Seedlings and Trees",2,0,"Slightly effective"
"19-38-28-96",3,"Burning",1,0,"Moderately effective"
"15-65-55-76",2,"Weeding",3,0,"Not at all effective"
"15-65-55-76",2,"Cutting the Trees",2,0,"Not at all effective"
"15-65-55-76",2,"Burning",1,0,"Slightly effective"
