interview__key,r_members__id,as01,as02,as03,as04,as05,asst01,asst02,asast01,asast02,asp_livestock,asp_livestock_future,asinc01,asp_occup,ed01asp,ed02asp,asp_achieve_confi,life_satisfaction,aspire_cont_farm,non_agri_ventures__1,non_agri_ventures__2,non_agri_ventures__3,non_agri_ventures__4,non_agri_ventures__5,non_agri_ventures__6,non_agri_ventures__7,non_agri_ventures__8,non_agri_ventures__9,non_agri_ventures__10,non_agri_ventures__11,non_agri_ventures__96,non_agri_ventures_oth,agri_crop_aspir,yield_max,yield_min,yield_aspire,yield_aspir_opt__1,yield_aspir_opt__2,yield_aspir_opt__3,yield_aspir_opt__4,yield_aspir_opt__5,yield_aspir_opt__6,yield_aspir_opt__7,yield_aspir_opt__8,yield_aspir_opt__96,yield_aspir_opt_oth,agri_loan_aspire,agri_loan_prps__1,agri_loan_prps__2,agri_loan_prps__3,agri_loan_prps__4,agri_loan_prps__5,agri_loan_prps__6,agri_loan_prps__7,agri_loan_prps__96,agri_loan_prps__n888,agri_loan_aspire_oth,loan_purpose__1,loan_purpose__2,loan_purpose__3,loan_purpose__4,loan_purpose__5,loan_purpose__6,loan_purpose__7,loan_purpose__8,loan_purpose__9,loan_purpose__10,loan_purpose__11,loan_purpose__12,loan_purpose__13,loan_purpose__14,loan_purpose__15,loan_purpose__96,loan_purpose_oth,loan_amt_educ,loan_amt_agri,loan_amt_nonfarm,loan_amt_oth,agri_loan,agri_loan_lndr__1,agri_loan_lndr__2,agri_loan_lndr__3,agri_loan_lndr__4,agri_loan_lndr__5,agri_loan_lndr__96,agri_loan_lndr__n888,agri_loan_lndr__n999,agri_loan_lndr_oth,agri_loan_amt
"37-56-42-12",1,4,5,10,0,1,2,4,6,8,0,2,3000,"Both crop and livestock/fish farming","No formal education","No formal education","Likely","Satisfied","Both",0,0,0,0,0,0,0,0,0,0,0,1,"Just cultivation of crops and latter selling products",1080,2500,1000,2000,1,0,0,0,0,0,0,0,0,"","Yes",1,0,2,0,0,0,0,0,0,"","No","No","No","No","No","No",,"No","No","No","No","Yes","No","No","No","No",,10000,20000,15000,15000,"No",,,,,,,,,,
"37-56-42-12",2,7,5,8,0,0,3,7,8,2,0,9,2000,"Both crop and livestock/fish farming","I dont know","No formal education","Likely","Satisfied","Both",0,0,0,0,0,0,0,0,0,0,0,1,"Just cultivation of maize and other products for sell.",1080,1500,500,2500,3,0,0,0,0,2,0,1,0,"","Yes",1,0,0,0,0,0,0,0,0,"","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No",,20000,50000,50000,50000,"No",,,,,,,,,,
"16-65-20-98",1,4,5,5,4,2,1,8,2,3,0,9,5000,"Crop farming/cultivation","Grade 4","Grade 2","Very likely","Satisfied","Continue to farming",,,,,,,,,,,,,"",1080,5,84,56,0,1,0,0,2,0,0,0,0,"","Yes",0,0,0,0,1,0,0,0,0,"",,,"No","No","No","No",,"No","Yes","No","No","No","No","No","No","No",,1000,200,200,0,"No",,,,,,,,,,
"09-74-03-14",1,0,0,0,0,20,1,2,2,5,1,1,9,"Crop farming/cultivation","No formal education","No formal education","Maybe, maybe not","Satisfied","Continue to farming",,,,,,,,,,,,,"",1080,0,0,50,1,0,0,0,0,0,0,2,0,"","No",,,,,,,,,,"","Yes","No","No","No","No","No","No","No",,"No","No","No","No","No","No","No",,0,100000,0,0,"No",,,,,,,,,,
"39-03-54-61",2,4,6,4,2,4,5,8,7,8,1,8,1000,"Domestic/household helper","Grade 4","No formal education","Very likely","Satisfied","Not engaged in farming",,,,,,,,,,,,,"",1080,15,20,20,0,0,0,1,0,2,0,0,0,"","No",,,,,,,,,,"","Yes","No","No","No","No","No",,"No","No","No","No","No","No","No","No","No",,6000,5000,10000,1000,"No",,,,,,,,,,
"86-35-86-55",1,3,5,6,2,4,10,10,6,10,4,7,10,"Government officers/employees/ civil servant","Other educational training","Grade 2","Very likely","Satisfied","Not engaged in farming",,,,,,,,,,,,,"",,,,,,,,,,,,,,"",,,,,,,,,,,"","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No",,1000,0,0,0,"No",,,,,,,,,,
"86-35-86-55",2,5,3,5,2,5,10,10,6,10,7,10,10,"Government officers/employees/ civil servant","University level","Grade 12","Likely","Neither","Not engaged in farming",,,,,,,,,,,,,"",,,,,,,,,,,,,,"",,,,,,,,,,,"","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No",,10000,0,0,0,"No",,,,,,,,,,
"88-11-61-94",1,2,4,4,4,6,4,5,5,9,3,9,4500,"Both crop and livestock/fish farming","Grade 4","Grade 4","Very likely","Very satisfied","Both",0,0,0,0,0,0,0,0,0,0,0,1,"Tailoring",1080,105,42,105,3,2,0,0,0,1,0,0,0,"","Yes",2,0,0,3,1,0,0,0,0,"","No","No","No","No","No","No","Yes","No",,"No","No",,"No","No","No","No",,9000,4000,2000,1500,"No",,,,,,,,,,
"88-11-61-94",2,4,4,6,2,4,6,9,5,9,4,9,7000,"Both crop and livestock/fish farming","Grade 7","Grade 4","Very likely","Very satisfied","Both",1,0,0,0,0,0,0,0,0,0,0,1,"Tailoring",1080,133,28,200,1,0,0,3,0,2,0,0,0,"","No",,,,,,,,,,"","No","No","No","No","No","No",,"No",,"No","No","Yes","No","No","No","No",,4500,2000,0,0,"No",,,,,,,,,,
"93-61-35-58",2,4,8,2,3,3,3,7,1,9,1,6,1500,"Domestic/household helper","Grade 5","No formal education","Very likely","Satisfied","Continue to farming",,,,,,,,,,,,,"",1080,12,12,15,0,0,0,0,0,1,0,0,0,"","No",,,,,,,,,,"",,"No","No",,"No","No",,"No",,"No","No","Yes","No","No","No","No",,5000,10000,1000,2000,"No",,,,,,,,,,
"87-48-20-01",1,3,6,5,3,3,1,1,9,6,9,5,1000,"Crop farming/cultivation","Grade 9","Grade 5","Likely","Satisfied","Continue to farming",,,,,,,,,,,,,"",1080,65,7,42,0,0,0,0,0,0,0,0,1,"Extend the field","No",,,,,,,,,,"","No","No","No","No","No","No",,"No",,"No","No","Yes","No","No","No","No",,10,10,10,0,"No",,,,,,,,,,
"87-48-20-01",2,3,6,6,3,2,5,4,8,7,8,5,2000,"Crop farming/cultivation","Grade 7","Grade 4","Likely","Satisfied","Continue to farming",,,,,,,,,,,,,"",1080,65,4,56,0,0,0,0,1,0,0,0,0,"","No",,,,,,,,,,"","Yes","No","No","No","No","No",,"No",,"No","No","No","No","No","No","No",,8000,15000,2000,0,"No",,,,,,,,,,
"66-77-51-72",1,0,10,0,10,0,4,7,3,6,2,5,1000,"Both crop and livestock/fish farming","Grade 6","Grade 5","Very likely","dissatisfied","Continue to farming",,,,,,,,,,,,,"",1080,1800,1200,1200,0,2,0,0,0,0,1,0,0,"","No",,,,,,,,,,"","No","No","No","No","No","No","Yes","No",,"No","No","No","No","No","No","No",,2000,3000,2000,500,"No",,,,,,,,,,
"31-16-66-31",2,0,0,5,5,10,9,7,7,8,10,8,10,"Crop farming/cultivation","I dont know","I dont know","Likely","dissatisfied","Continue to farming",,,,,,,,,,,,,"",1080,42,50,100,0,0,0,0,3,2,0,1,0,"","No",,,,,,,,,,"",,"No","No","No","No","No","No","No","No","No","No","Yes",,"No","No","No",,0,10000,0,0,"No",,,,,,,,,,
"31-16-66-31",3,5,0,5,5,5,5,4,9,10,1,10,10,"Self-employed agribusiness/agrienterprise","Grade 7","Grade 5","Likely","Neither","Both",1,1,0,0,0,0,0,0,0,0,0,0,"",1080,42,50,100,0,0,0,0,0,2,0,1,0,"","No",,,,,,,,,,"","No","No","No","No","No","No","No","No","No","No","No",,"No","No","Yes","No",,0,0,100000,0,"No",,,,,,,,,,
"88-03-82-39",2,2,6,4,5,3,9,9,2,5,1,3,300,"Crop farming/cultivation","Grade 8","No formal education","Maybe, maybe not","Satisfied","Continue to farming",,,,,,,,,,,,,"",1080,32,3,21,0,0,0,0,1,0,0,0,0,"","No",,,,,,,,,,"","No","No","No","Yes","No","No",,"No","No","No","No",,"No","No","No","No",,2000,3000,0,0,"No",,,,,,,,,,
"59-90-45-51",1,0,3,5,6,6,9,10,5,6,3,8,3000,"Charcoal burning, production, and selling","Grade 12","Grade 9","Likely","Satisfied","Other non-agricultural business",0,0,0,0,0,0,0,0,0,0,0,1,"selling of fish",1080,7000,3150,17500,0,3,0,0,1,2,0,0,0,"","Yes",2,0,0,1,0,0,0,0,0,"","Yes","No","No","No","No","No","No","No","No","No","No",,"No","No","No","No",,10000,2000,0,0,"No",,,,,,,,,,
"68-61-83-10",1,0,0,11,0,9,3,9,1,9,1,9,7000,"Both crop and livestock/fish farming","Grade 9","Grade 8","Very likely","Neither","Continue to farming",,,,,,,,,,,,,"",1080,250,150,1000,0,0,0,0,0,0,1,0,0,"","No",,,,,,,,,,"","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No",,5000,10000,0,0,"No",,,,,,,,,,
"96-11-54-44",1,4,5,3,3,5,1,2,3,5,3,5,9000,"Crop farming/cultivation","Grade 12","I dont know","Likely","Satisfied","Continue to farming",,,,,,,,,,,,,"",96,2,.5,10,1,0,2,0,0,0,3,0,0,"","No",,,,,,,,,,"","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No",,20000,5000,50000,1000,"No",,,,,,,,,,
"96-11-54-44",2,2,5,4,4,5,1,9,2,5,3,6,5000,"Crop farming/cultivation","I dont know","I dont know","Maybe, maybe not","Satisfied","Continue to farming",,,,,,,,,,,,,"",96,4,2,20,1,0,2,0,0,3,0,0,0,"","Yes",0,2,0,1,0,0,0,0,0,"","No","No","No","No","No","No","Yes","No",,"No","No","No","No","No","No","No",,20000,6000,5000,4000,"No",,,,,,,,,,
"70-22-33-16",1,0,8,6,6,0,8,10,5,8,5,8,4000,"Crop farming/cultivation","No formal education","No formal education","Likely","dissatisfied","Not engaged in farming",,,,,,,,,,,,,"",,,,,,,,,,,,,,"",,,,,,,,,,,"","No","No","No","No","No","No","No","No",,"No","No","No","No","No","Yes","No",,0,50000,0,0,"No",,,,,,,,,,
"70-22-33-16",2,3,6,5,3,3,8,10,5,8,4,8,1000,"Crop farming/cultivation","No formal education","No formal education","Likely","dissatisfied","Not engaged in farming",,,,,,,,,,,,,"",,,,,,,,,,,,,,"",,,,,,,,,,,"","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No",,0,0,0,0,"No",,,,,,,,,,
"12-54-99-38",1,1,3,8,2,6,9,10,6,10,5,8,15,"Crop farming/cultivation","I dont know","I dont know","Very likely","dissatisfied","Continue to farming",,,,,,,,,,,,,"",1080,700,400,900,3,0,0,0,0,1,0,2,0,"","No",,,,,,,,,,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,0,0,0,0,"No",,,,,,,,,,
"12-54-99-38",2,5,5,3,2,5,5,10,5,10,6,10,1300,"Crop farming/cultivation","I dont know","I dont know","Likely","dissatisfied","Continue to farming",,,,,,,,,,,,,"",1080,600,200,800,1,0,0,0,0,2,0,3,0,"","No",,,,,,,,,,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,0,1000,0,0,"No",,,,,,,,,,
"39-44-22-57",1,8,0,6,2,4,3,10,5,10,0,5,5000,"Crop farming/cultivation","I dont know","I dont know","Likely","dissatisfied","Continue to farming",,,,,,,,,,,,,"",1080,700,200,900,1,0,0,0,0,0,2,3,0,"","No",,,,,,,,,,"","Yes","No","No",,"No","No",,"No","No","No","No","No","No","No","No","No",,0,0,0,0,"No",,,,,,,,,,
"39-44-22-57",2,4,4,4,4,4,3,6,4,9,0,6,1500,"Crop farming/cultivation","Grade 5","Grade 6","Likely","dissatisfied","Continue to farming",,,,,,,,,,,,,"",1080,700,150,950,1,0,0,0,0,2,0,3,0,"","No",,,,,,,,,,"","Yes","No","No","No","No","No",,"No",,"No","No","No","No","No","No","No",,0,0,0,0,"No",,,,,,,,,,
"11-92-45-50",1,0,10,4,1,5,10,10,5,10,4,9,2000,"Both crop and livestock/fish farming","Grade 6","Grade 4","Likely","Neither","Both",1,0,0,0,0,0,0,0,0,0,0,0,"",1080,2000,1000,2000,0,0,0,0,0,0,1,0,0,"","No",,,,,,,,,,"","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No",,4000,500,5000,0,"No",,,,,,,,,,
"11-92-45-50",3,4,6,3,4,3,9,9,2,7,2,8,5000,"Livestock keeping/raising","Grade 11","Grade 8","Likely","Neither","Both",1,0,0,0,0,0,0,0,0,0,0,0,"",1080,1500,1000,2000,0,0,0,0,0,2,1,0,0,"","No",,,,,,,,,,"","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No",,7000,10000,5000,0,"No",,,,,,,,,,
"73-14-88-64",1,0,0,5,0,15,3,4,6,5,6,6,6,"None/No employment","No formal education","No formal education","Maybe, maybe not","Satisfied","Continue to farming",,,,,,,,,,,,,"",1080,100,5,40,0,1,0,0,0,0,0,0,0,"","No",,,,,,,,,,"","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No",,0,5000,0,0,"No",,,,,,,,,,
"59-60-22-11",1,0,0,5,0,15,1,2,1,3,1,2,4,"Crop farming/cultivation","No formal education","No formal education","Very likely","Satisfied","Continue to farming",,,,,,,,,,,,,"",1080,50,2,6,0,0,0,0,1,0,0,0,0,"","No",,,,,,,,,,"","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No",,0,0,1000,0,"No",,,,,,,,,,
"63-18-15-01",1,4,4,5,2,5,4,6,7,9,5,7,500,"Both crop and livestock/fish farming","Grade 7","Grade 7","Very likely","Satisfied","Both",0,0,0,0,0,0,0,0,0,0,0,1,"Still venture in crop and livestock farming",1080,3500,100,5250,0,0,0,0,0,1,0,0,0,"","Yes",1,0,0,2,0,0,0,0,0,"","No","No","No","No","No","No","No","No",,"No","No","Yes","No","No","No","No",,5000,10000,0,0,"No",,,,,,,,,,
"63-18-15-01",2,5,4,5,3,3,5,7,8,10,6,8,5000,"Self-employed agribusiness/agrienterprise","No formal education","No formal education","Very likely","Satisfied","Both",1,0,0,0,0,0,0,0,0,0,0,0,"",1080,3500,200,7000,0,0,0,0,2,1,0,0,0,"","Yes",1,0,3,2,0,0,0,0,0,"","Yes",,"No","No","No","No","No","No","No","No",,,"No","No","No","No",,12000,15000,0,0,"No",,,,,,,,,,
"40-24-89-40",1,4,10,2,2,2,4,10,4,8,0,5,1000,"Crop farming/cultivation","No formal education","No formal education","Likely","dissatisfied","Continue to farming",,,,,,,,,,,,,"",2260,4000,2000,5000,0,1,0,0,0,0,2,0,0,"","No",,,,,,,,,,"","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No",,0,0,0,0,"No",,,,,,,,,,
"40-24-89-40",2,8,4,4,2,2,5,10,5,10,0,5,1200,"Crop farming/cultivation","I dont know","I dont know","Likely","dissatisfied","Continue to farming",,,,,,,,,,,,,"",2260,4500,2000,5000,0,1,3,0,0,0,2,0,0,"","No",,,,,,,,,,"","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No",,0,50000,0,0,"No",,,,,,,,,,
"26-37-34-30",1,0,0,0,0,20,4,6,4,7,5,5,6,"Both crop and livestock/fish farming","No formal education","No formal education","Likely","Satisfied","Both",1,0,0,0,0,0,0,0,0,0,0,0,"",2260,20,10,50,0,1,0,0,0,0,0,0,0,"","Yes",0,0,0,0,0,0,0,1,0,"to buy a fence wire","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes",,0,50000,0,0,"No",,,,,,,,,,
"26-37-34-30",2,0,0,5,0,15,3,4,4,5,6,3,5,"Both crop and livestock/fish farming","College","Grade 7","Likely","Satisfied","Continue to farming",,,,,,,,,,,,,"",2260,30,10,50,0,1,0,0,0,0,0,0,0,"","No",,,,,,,,,,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,0,0,0,0,"No",,,,,,,,,,
"57-72-53-25",1,2,4,5,4,5,5,7,4,6,4,6,6000,"Livestock keeping/raising","Grade 6","Grade 4","Very likely","Very satisfied","Continue to farming",,,,,,,,,,,,,"",1080,40,3,50,2,0,0,3,0,0,1,0,0,"","Yes",0,0,1,2,3,0,0,0,0,"","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No",,10000,45000,10000,5000,"No",,,,,,,,,,
"57-72-53-25",2,4,4,4,4,4,3,6,3,7,3,5,2000,"Crop farming/cultivation","I dont know","I dont know","Likely","Satisfied","Continue to farming",,,,,,,,,,,,,"",1080,100,2,20,1,0,2,0,0,0,0,0,0,"","No",,,,,,,,,,"","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No",,3000,4000,2000,2000,"No",,,,,,,,,,
"15-31-68-47",1,0,0,10,0,10,3,6,3,6,2,6,6,"Both crop and livestock/fish farming","No formal education","No formal education","Likely","Satisfied","Continue to farming",,,,,,,,,,,,,"",1080,70,5,20,0,1,0,0,0,0,0,0,0,"","No",,,,,,,,,,"","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No",,0,7000,0,0,"No",,,,,,,,,,
"15-31-68-47",2,0,0,10,0,10,2,4,3,4,3,4,4,"Crop farming/cultivation","No formal education","No formal education","Likely","Satisfied","Both",0,1,0,0,0,0,0,0,0,0,0,0,"",1080,75,5,25,0,1,0,0,0,0,0,0,0,"","No",,,,,,,,,,"","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No",,0,0,3000,0,"No",,,,,,,,,,
"54-23-26-42",1,3,5,7,2,3,9,10,5,10,4,10,7000,"Both crop and livestock/fish farming","Grade 7","Grade 9","Very likely","Very satisfied","Continue to farming",,,,,,,,,,,,,"",1080,50,15,70,3,2,0,0,0,1,0,0,0,"","Yes",0,1,0,3,0,0,2,0,0,"","No","No","No","No","No","No","Yes","No",,"No","No",,"No","No","No","No",,10000,4000,1000,1000,"No",,,,,,,,,,
"06-33-74-17",1,1,2,3,7,7,7,8,1,2,0,1,1500,"None/No employment","No formal education","No formal education","Likely","dissatisfied","Not engaged in farming",,,,,,,,,,,,,"",,,,,,,,,,,,,,"",,,,,,,,,,,"","Yes","No","No","No","No","No","No","No","No","No","No","No","No",,,"No",,0,0,0,5000,"No",,,,,,,,,,
"09-17-76-18",1,3,6,3,3,5,4,6,3,6,0,4,3000,"Both crop and livestock/fish farming","Grade 1","Grade 1","Likely","Neither","Continue to farming",,,,,,,,,,,,,"",1080,3500,1400,7000,0,0,0,0,0,3,2,1,0,"","Yes",1,0,2,0,0,0,0,0,0,"","No","No","No","No","No","No",,"No","Yes","No","No",,"No","No","No","No",,10000,10000,500,500,"No",,,,,,,,,,
"91-72-91-72",1,4,5,5,4,2,3,6,4,6,3,5,700,"Crop farming/cultivation","Grade 10","Grade 8","Maybe, maybe not","Satisfied","Continue to farming",,,,,,,,,,,,,"",1080,42,7,70,1,0,2,0,0,0,0,0,0,"","Yes",0,0,1,2,4,3,0,0,0,"","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No",,15000,5000,0,0,"No",,,,,,,,,,
"07-58-36-50",1,0,0,5,5,10,2,5,2,2,5,5,5,"Crop farming/cultivation","I dont know","I dont know","Maybe, maybe not","Neither","Continue to farming",,,,,,,,,,,,,"",1080,60,50,250,1,0,0,0,0,0,0,2,0,"","No",,,,,,,,,,"",,"No","No","No","No","No","No","No",,"No","No","Yes",,"No","No","No",,1000000,0,0,0,"No",,,,,,,,,,
