interview__key,conseration_agri,practise_ca,future_like_ca,why_future_ca_1__1,why_future_ca_1__2,why_future_ca_1__3,why_future_ca_1__96,why_future_ca_1_other,why_future_ca_2__1,why_future_ca_2__2,why_future_ca_2__3,why_future_ca_2__4,why_future_ca_2__5,why_future_ca_2__96,why_future_ca_2_other
"57-72-53-25","Yes","Yes",,,,,,"",,,,,,,""
"15-31-68-47","Yes","No",,,,,,"",,,,,,,""
"54-23-26-42","Yes","Yes",,,,,,"",,,,,,,""
"06-33-74-17","Yes","No",,,,,,"",,,,,,,""
"09-17-76-18","No","No",,,,,,"",,,,,,,""
"91-72-91-72","Yes","Yes",,,,,,"",,,,,,,""
"07-58-36-50","No","No",,,,,,"",,,,,,,""
"27-63-39-98","No","No",,,,,,"",,,,,,,""
"31-14-07-01","Yes","Yes",,,,,,"",,,,,,,""
"96-79-76-17","Yes","Yes",,,,,,"",,,,,,,""
"23-90-90-29","Yes","No",,,,,,"",,,,,,,""
"99-47-47-96","No","No",,,,,,"",,,,,,,""
"48-69-67-88","No","No",,,,,,"",,,,,,,""
"93-76-93-98","Yes","No",,,,,,"",,,,,,,""
"02-49-04-36","No","No",,,,,,"",,,,,,,""
"97-96-55-67","Yes","No",,,,,,"",,,,,,,""
"55-00-90-34","Yes","Yes",,,,,,"",,,,,,,""
"74-92-93-10","Yes","Yes",,,,,,"",,,,,,,""
"62-57-54-10","No","Yes",,,,,,"",,,,,,,""
"81-64-58-33","Yes","No",,,,,,"",,,,,,,""
"51-16-15-92","Yes","No",,,,,,"",,,,,,,""
"63-16-06-54","Yes","Yes",,,,,,"",,,,,,,""
"32-07-75-14","Yes","Yes",,,,,,"",,,,,,,""
"23-46-49-04","Yes","No",,,,,,"",,,,,,,""
"81-47-15-41","Yes","No",,,,,,"",,,,,,,""
"74-82-45-40","No","No",,,,,,"",,,,,,,""
"71-03-17-29","Yes","Yes",,,,,,"",,,,,,,""
"22-02-08-34","Yes","Yes",,,,,,"",,,,,,,""
"35-24-65-37","Yes","No",,,,,,"",,,,,,,""
"94-94-59-77","No","No",,,,,,"",,,,,,,""
"62-18-60-04","No","No",,,,,,"",,,,,,,""
"13-57-44-05","Yes","Yes",,,,,,"",,,,,,,""
"53-63-07-20","Yes","No",,,,,,"",,,,,,,""
"67-75-50-83","No","No",,,,,,"",,,,,,,""
"02-25-92-18","Yes","Yes",,,,,,"",,,,,,,""
"49-92-48-01","No","No",,,,,,"",,,,,,,""
"86-85-54-02","Yes","Yes",,,,,,"",,,,,,,""
"25-71-60-55","Yes","Yes",,,,,,"",,,,,,,""
"52-17-01-39","No","No",,,,,,"",,,,,,,""
"85-68-71-94","No","No",,,,,,"",,,,,,,""
"88-33-53-02","Yes","No",,,,,,"",,,,,,,""
"73-16-52-51","No","No",,,,,,"",,,,,,,""
"29-32-71-31","No","No",,,,,,"",,,,,,,""
"08-80-55-70","Yes","No",,,,,,"",,,,,,,""
"58-68-82-05","Yes","No",,,,,,"",,,,,,,""
"40-89-66-86","Yes","No",,,,,,"",,,,,,,""
"88-30-77-96","No","No",,,,,,"",,,,,,,""
"72-26-90-86","Yes","No",,,,,,"",,,,,,,""
"49-59-81-92","No","No",,,,,,"",,,,,,,""
"21-01-20-88","Yes","No",,,,,,"",,,,,,,""
"79-70-14-90","No","No",,,,,,"",,,,,,,""
"80-75-47-72","No","No",,,,,,"",,,,,,,""
"56-08-93-09","No","No",,,,,,"",,,,,,,""
"17-42-48-26","Yes","No",,,,,,"",,,,,,,""
"48-20-15-07","No","No",,,,,,"",,,,,,,""
"14-03-97-85","Yes","Yes",,,,,,"",,,,,,,""
"85-88-72-49","Yes","No",,,,,,"",,,,,,,""
"44-34-38-88","Yes","Yes",,,,,,"",,,,,,,""
"83-00-22-24","Yes","No",,,,,,"",,,,,,,""
"53-00-05-97","Yes","No",,,,,,"",,,,,,,""
"57-74-38-33","No","No",,,,,,"",,,,,,,""
"65-24-72-96","No","No",,,,,,"",,,,,,,""
"67-69-19-83","Yes","Yes",,,,,,"",,,,,,,""
"65-02-79-39","No","No",,,,,,"",,,,,,,""
"36-55-19-74","No","No",,,,,,"",,,,,,,""
"02-47-11-50","Yes","No",,,,,,"",,,,,,,""
"34-55-62-08","Yes","No",,,,,,"",,,,,,,""
"21-53-06-24","Yes","No",,,,,,"",,,,,,,""
"54-20-19-80","Yes","No",,,,,,"",,,,,,,""
"77-37-06-75","Yes","No",,,,,,"",,,,,,,""
"17-29-45-21","Yes","Yes",,,,,,"",,,,,,,""
"14-98-54-79","No","No",,,,,,"",,,,,,,""
"74-43-35-64","No","No",,,,,,"",,,,,,,""
"02-76-65-17","No","No",,,,,,"",,,,,,,""
"91-57-65-34","Yes","Yes",,,,,,"",,,,,,,""
"61-08-28-75","Yes","No",,,,,,"",,,,,,,""
"08-98-76-07","Yes","No",,,,,,"",,,,,,,""
"07-58-78-17","Yes","Yes",,,,,,"",,,,,,,""
"50-08-29-58","Yes","No",,,,,,"",,,,,,,""
"21-97-24-76","Yes","Yes",,,,,,"",,,,,,,""
"47-86-23-98","No","No",,,,,,"",,,,,,,""
"58-41-17-07","Yes","No",,,,,,"",,,,,,,""
"27-41-68-88","Yes","No",,,,,,"",,,,,,,""
"36-57-67-99","No","No",,,,,,"",,,,,,,""
"14-01-18-55","No","No",,,,,,"",,,,,,,""
"25-45-40-50","Yes","No",,,,,,"",,,,,,,""
"28-45-95-92","No","No",,,,,,"",,,,,,,""
"52-38-49-21","Yes","No",,,,,,"",,,,,,,""
"59-05-06-39","No","No",,,,,,"",,,,,,,""
"07-23-34-26","Yes","No",,,,,,"",,,,,,,""
"74-55-33-17","No","No",,,,,,"",,,,,,,""
"63-06-38-69","Yes","No",,,,,,"",,,,,,,""
"05-74-67-92","Yes","Yes",,,,,,"",,,,,,,""
"98-46-70-51","No","No",,,,,,"",,,,,,,""
"36-97-15-03","Yes","No",,,,,,"",,,,,,,""
"31-20-72-58","No","No",,,,,,"",,,,,,,""
"59-12-76-31","No","No",,,,,,"",,,,,,,""
"07-54-13-18","No","No",,,,,,"",,,,,,,""
"84-52-73-65","No","Yes",,,,,,"",,,,,,,""
"85-09-03-91","No","No",,,,,,"",,,,,,,""
"56-01-39-00","Yes","No",,,,,,"",,,,,,,""
"69-33-88-72","No","No",,,,,,"",,,,,,,""
"26-09-67-07","Yes","No",,,,,,"",,,,,,,""
"69-39-81-14","Yes","No",,,,,,"",,,,,,,""
"00-76-43-47","No","No",,,,,,"",,,,,,,""
"29-40-24-48","Yes","No",,,,,,"",,,,,,,""
"79-00-21-46","Yes","No",,,,,,"",,,,,,,""
"46-34-68-84","Yes","No",,,,,,"",,,,,,,""
"45-00-04-40","No","No",,,,,,"",,,,,,,""
"22-15-19-43","Yes","No",,,,,,"",,,,,,,""
"09-01-21-24","No","No",,,,,,"",,,,,,,""
"28-05-99-59","No","No",,,,,,"",,,,,,,""
"78-33-63-09","Yes","No",,,,,,"",,,,,,,""
"21-06-84-39","No","No",,,,,,"",,,,,,,""
"96-45-29-81","No","No",,,,,,"",,,,,,,""
"82-78-33-54","Yes","Yes",,,,,,"",,,,,,,""
"01-53-98-85","Yes","Yes",,,,,,"",,,,,,,""
"15-34-27-17","Yes","No",,,,,,"",,,,,,,""
"84-32-88-02","No","No",,,,,,"",,,,,,,""
"02-43-89-26","Yes","No",,,,,,"",,,,,,,""
"36-62-21-63","No","No",,,,,,"",,,,,,,""
"98-63-71-97","Yes","Yes",,,,,,"",,,,,,,""
"07-88-71-07","Yes","No",,,,,,"",,,,,,,""
"18-07-56-01","No","No",,,,,,"",,,,,,,""
"76-16-53-82","No","No",,,,,,"",,,,,,,""
"36-91-65-20","Yes","Yes",,,,,,"",,,,,,,""
"22-29-07-01","No","No",,,,,,"",,,,,,,""
"53-93-66-67","Yes","No",,,,,,"",,,,,,,""
"37-39-06-63","No","No",,,,,,"",,,,,,,""
"17-95-97-27","Yes","No",,,,,,"",,,,,,,""
"92-61-03-62","Yes","No",,,,,,"",,,,,,,""
"02-86-94-14","Yes","No",,,,,,"",,,,,,,""
"26-53-37-24","Yes","Yes",,,,,,"",,,,,,,""
"73-57-99-74","Yes","Yes",,,,,,"",,,,,,,""
"49-29-23-58","Yes","Yes",,,,,,"",,,,,,,""
"71-13-07-75","No","No",,,,,,"",,,,,,,""
"19-53-43-56","No","No",,,,,,"",,,,,,,""
"57-61-80-20","Yes","No",,,,,,"",,,,,,,""
"66-47-36-80","Yes","No",,,,,,"",,,,,,,""
"55-47-02-66","Yes","No",,,,,,"",,,,,,,""
"69-74-76-81","No","No",,,,,,"",,,,,,,""
"25-51-33-57","Yes","No",,,,,,"",,,,,,,""
"99-83-71-81","Yes","Yes",,,,,,"",,,,,,,""
"30-46-44-49","Yes","Yes",,,,,,"",,,,,,,""
"03-30-12-96","Yes","No",,,,,,"",,,,,,,""
"35-16-22-13","Yes","Yes",,,,,,"",,,,,,,""
"96-28-28-46","Yes","No",,,,,,"",,,,,,,""
"10-32-26-69","Yes","No",,,,,,"",,,,,,,""
"68-75-69-07","Yes","No",,,,,,"",,,,,,,""
"02-58-63-69","Yes","No",,,,,,"",,,,,,,""
"58-12-98-10","Yes","Yes",,,,,,"",,,,,,,""
"22-68-19-10","Yes","Yes",,,,,,"",,,,,,,""
"99-42-05-34","No","No",,,,,,"",,,,,,,""
"21-29-11-98","Yes","No",,,,,,"",,,,,,,""
"06-11-50-44","Yes","Yes",,,,,,"",,,,,,,""
"38-44-09-59","Yes","No",,,,,,"",,,,,,,""
"81-45-35-86","Yes","Yes",,,,,,"",,,,,,,""
"83-11-66-41","Yes","No",,,,,,"",,,,,,,""
"45-34-02-51","No","No",,,,,,"",,,,,,,""
"26-37-15-28","Yes","Yes",,,,,,"",,,,,,,""
"73-50-61-74","Yes","No",,,,,,"",,,,,,,""
"58-09-34-36","No","No",,,,,,"",,,,,,,""
"94-78-30-89","Yes","Yes",,,,,,"",,,,,,,""
"97-62-61-29","Yes","Yes",,,,,,"",,,,,,,""
"16-35-49-05","Yes","No",,,,,,"",,,,,,,""
"18-48-69-27","No","No",,,,,,"",,,,,,,""
"30-61-23-28","Yes","No",,,,,,"",,,,,,,""
"91-09-11-51","Yes","Yes",,,,,,"",,,,,,,""
"03-15-59-01","Yes","Yes",,,,,,"",,,,,,,""
"51-88-98-79","Yes","No",,,,,,"",,,,,,,""
"38-99-58-33","Yes","Yes",,,,,,"",,,,,,,""
"73-78-76-86","Yes","No",,,,,,"",,,,,,,""
"16-76-51-56","No","No",,,,,,"",,,,,,,""
"34-75-99-64","Yes","No",,,,,,"",,,,,,,""
"00-76-59-09","No","No",,,,,,"",,,,,,,""
"03-36-35-32","Yes","No",,,,,,"",,,,,,,""
"66-74-25-56","Yes","No",,,,,,"",,,,,,,""
"80-48-62-68","No","No",,,,,,"",,,,,,,""
"67-59-61-49","Yes","No",,,,,,"",,,,,,,""
"23-88-68-38","Yes","Yes",,,,,,"",,,,,,,""
"24-58-49-24","Yes","No",,,,,,"",,,,,,,""
"27-73-91-69","No","No",,,,,,"",,,,,,,""
"88-41-94-49","Yes","Yes",,,,,,"",,,,,,,""
"83-47-45-70","Yes","No",,,,,,"",,,,,,,""
"06-72-44-70","Yes","No",,,,,,"",,,,,,,""
"85-25-38-04","Yes","No",,,,,,"",,,,,,,""
"99-72-02-18","Yes","No",,,,,,"",,,,,,,""
"76-93-76-77","Yes","No",,,,,,"",,,,,,,""
"25-81-57-24","Yes","No",,,,,,"",,,,,,,""
"18-66-56-26","Yes","No",,,,,,"",,,,,,,""
"38-35-03-16","Yes","No",,,,,,"",,,,,,,""
"87-43-13-02","No","No",,,,,,"",,,,,,,""
"06-72-27-90","Yes","Yes",,,,,,"",,,,,,,""
"10-09-48-91","Yes","Yes",,,,,,"",,,,,,,""
"89-20-17-64","Yes","No",,,,,,"",,,,,,,""
"61-30-29-22","Yes","Yes",,,,,,"",,,,,,,""
"32-64-82-60","Yes","No",,,,,,"",,,,,,,""
"05-69-71-03","Yes","Yes",,,,,,"",,,,,,,""
"62-54-48-69","No","No",,,,,,"",,,,,,,""
"40-71-41-17","Yes","No",,,,,,"",,,,,,,""
"59-04-18-69","Yes","Yes",,,,,,"",,,,,,,""
"99-19-59-36","Yes","Yes",,,,,,"",,,,,,,""
"66-80-07-88","Yes","Yes",,,,,,"",,,,,,,""
"33-91-72-59","Yes","No",,,,,,"",,,,,,,""
"79-95-75-64","Yes","Yes",,,,,,"",,,,,,,""
"36-27-38-94","Yes","Yes",,,,,,"",,,,,,,""
"20-85-41-55","Yes","Yes",,,,,,"",,,,,,,""
"99-41-30-80","Yes","No",,,,,,"",,,,,,,""
"71-06-23-24","No","No",,,,,,"",,,,,,,""
"89-01-00-04","Yes","No",,,,,,"",,,,,,,""
"00-37-37-14","Yes","Yes",,,,,,"",,,,,,,""
"74-41-47-70","No","No",,,,,,"",,,,,,,""
"52-43-66-41","Yes","No",,,,,,"",,,,,,,""
"83-13-77-99","No","No",,,,,,"",,,,,,,""
"61-91-44-04","Yes","No",,,,,,"",,,,,,,""
"61-31-17-62","No","No",,,,,,"",,,,,,,""
"01-73-77-56","Yes","Yes",,,,,,"",,,,,,,""
"47-87-04-23","No","No",,,,,,"",,,,,,,""
"46-77-22-22","Yes","Yes",,,,,,"",,,,,,,""
"54-46-59-23","Yes","Yes",,,,,,"",,,,,,,""
"47-72-11-03","Yes","No",,,,,,"",,,,,,,""
"75-19-56-83","Yes","No",,,,,,"",,,,,,,""
"17-63-18-37","Yes","No",,,,,,"",,,,,,,""
"36-67-78-55","No","No",,,,,,"",,,,,,,""
"57-94-56-04","Yes","Yes",,,,,,"",,,,,,,""
"50-78-72-42","No","No",,,,,,"",,,,,,,""
"39-32-15-43","No","Yes",,,,,,"",,,,,,,""
"83-43-24-20","No","No",,,,,,"",,,,,,,""
"86-15-33-66","Yes","Yes",,,,,,"",,,,,,,""
"44-68-45-91","Yes","Yes",,,,,,"",,,,,,,""
"92-79-83-19","Yes","No",,,,,,"",,,,,,,""
"84-11-52-01","No","No",,,,,,"",,,,,,,""
"04-80-79-59","No","No",,,,,,"",,,,,,,""
"86-90-94-39","No","No",,,,,,"",,,,,,,""
"60-18-28-01","Yes","No",,,,,,"",,,,,,,""
"95-75-71-60","Yes","Yes",,,,,,"",,,,,,,""
"92-06-91-29","No","No",,,,,,"",,,,,,,""
"54-44-90-07","Yes","Yes",,,,,,"",,,,,,,""
"03-23-51-60","No","Yes",,,,,,"",,,,,,,""
"00-90-52-98","Yes","No",,,,,,"",,,,,,,""
"94-81-42-69","No","No",,,,,,"",,,,,,,""
"93-63-81-71","Yes","No",,,,,,"",,,,,,,""
"98-80-95-52","Yes","No",,,,,,"",,,,,,,""
"43-02-26-99","No","No",,,,,,"",,,,,,,""
"53-75-34-84","No","No",,,,,,"",,,,,,,""
"27-49-80-27","Yes","No",,,,,,"",,,,,,,""
"33-72-39-68","Yes","Yes",,,,,,"",,,,,,,""
"17-79-25-12","Yes","No",,,,,,"",,,,,,,""
"74-51-58-80","Yes","No",,,,,,"",,,,,,,""
"22-03-45-06","No","No",,,,,,"",,,,,,,""
"29-14-83-70","Yes","Yes",,,,,,"",,,,,,,""
"54-67-39-05","Yes","Yes",,,,,,"",,,,,,,""
"72-58-55-05","Yes","Yes",,,,,,"",,,,,,,""
"04-15-15-88","Yes","Yes",,,,,,"",,,,,,,""
"27-95-56-36","Yes","Yes",,,,,,"",,,,,,,""
"53-49-41-59","Yes","No",,,,,,"",,,,,,,""
"39-17-22-92","No","No",,,,,,"",,,,,,,""
"74-39-55-58","Yes","Yes",,,,,,"",,,,,,,""
"26-22-03-23","Yes","No",,,,,,"",,,,,,,""
"09-03-01-05","No","No",,,,,,"",,,,,,,""
"15-07-16-66","No","No",,,,,,"",,,,,,,""
"06-67-11-07","Yes","Yes",,,,,,"",,,,,,,""
"66-85-51-19","Yes","Yes",,,,,,"",,,,,,,""
"62-23-34-43","Yes","No",,,,,,"",,,,,,,""
"40-89-37-32","Yes","No",,,,,,"",,,,,,,""
"47-88-11-20","Yes","No",,,,,,"",,,,,,,""
"92-32-27-35","No","No",,,,,,"",,,,,,,""
"67-30-34-31","Yes","Yes",,,,,,"",,,,,,,""
"41-24-19-16","No","No",,,,,,"",,,,,,,""
"45-68-78-48","No","No",,,,,,"",,,,,,,""
"02-28-32-41","Yes","No",,,,,,"",,,,,,,""
"42-76-32-22","No","No",,,,,,"",,,,,,,""
"79-53-86-42","Yes","Yes",,,,,,"",,,,,,,""
"27-88-22-86","Yes","Yes",,,,,,"",,,,,,,""
"92-15-50-98","Yes","No",,,,,,"",,,,,,,""
"59-62-31-80","No","No",,,,,,"",,,,,,,""
"36-99-50-88","Yes","Yes",,,,,,"",,,,,,,""
"44-25-16-47","Yes","No",,,,,,"",,,,,,,""
"59-82-52-95","No","No",,,,,,"",,,,,,,""
"74-78-76-52","Yes","No",,,,,,"",,,,,,,""
"83-63-78-61","Yes","No",,,,,,"",,,,,,,""
"38-59-12-03","Yes","No",,,,,,"",,,,,,,""
"52-04-43-36","Yes","Yes",,,,,,"",,,,,,,""
"13-43-00-98","No","No",,,,,,"",,,,,,,""
"52-45-15-44","Yes","No",,,,,,"",,,,,,,""
"84-06-43-96","No","No",,,,,,"",,,,,,,""
"85-25-67-57","Yes","No",,,,,,"",,,,,,,""
"99-71-69-71","Yes","Yes",,,,,,"",,,,,,,""
"90-84-04-84","Yes","Yes",,,,,,"",,,,,,,""
"75-65-72-44","Yes","No",,,,,,"",,,,,,,""
"56-76-80-56","Yes","No",,,,,,"",,,,,,,""
"95-24-62-42","No","No",,,,,,"",,,,,,,""
"42-51-00-37","Yes","No",,,,,,"",,,,,,,""
"36-23-13-87","No","No",,,,,,"",,,,,,,""
"70-84-37-07","No","No",,,,,,"",,,,,,,""
"99-94-97-40","No","No",,,,,,"",,,,,,,""
"40-68-37-93","Yes","Yes",,,,,,"",,,,,,,""
"08-64-31-45","No","No",,,,,,"",,,,,,,""
"24-71-47-80","No","No",,,,,,"",,,,,,,""
"53-67-73-98","No","No",,,,,,"",,,,,,,""
"89-30-04-89","No","No",,,,,,"",,,,,,,""
"85-35-76-75","Yes","No",,,,,,"",,,,,,,""
"34-78-22-26","No","No",,,,,,"",,,,,,,""
"59-51-95-60","No","No",,,,,,"",,,,,,,""
"22-44-88-72","No","No",,,,,,"",,,,,,,""
"35-56-47-30","Yes","Yes",,,,,,"",,,,,,,""
"43-44-87-36","Yes","No",,,,,,"",,,,,,,""
"25-90-73-61","No","No",,,,,,"",,,,,,,""
"00-81-85-48","Yes","No",,,,,,"",,,,,,,""
"82-05-74-76","Yes","No",,,,,,"",,,,,,,""
"69-02-12-40","Yes","No",,,,,,"",,,,,,,""
"68-49-12-16","Yes","No",,,,,,"",,,,,,,""
"47-72-15-93","Yes","Yes",,,,,,"",,,,,,,""
"46-77-79-60","Yes","No",,,,,,"",,,,,,,""
"54-41-53-68","Yes","Yes",,,,,,"",,,,,,,""
"35-84-29-80","Yes","No",,,,,,"",,,,,,,""
"82-89-49-08","Yes","No",,,,,,"",,,,,,,""
"13-17-77-46","Yes","No",,,,,,"",,,,,,,""
"87-42-29-56","Yes","Yes",,,,,,"",,,,,,,""
"24-84-60-85","Yes","No",,,,,,"",,,,,,,""
"78-85-83-52","No","No",,,,,,"",,,,,,,""
"78-33-54-01","Yes","No",,,,,,"",,,,,,,""
"54-69-71-08","Yes","No",,,,,,"",,,,,,,""
"30-10-42-29","Yes","No",,,,,,"",,,,,,,""
"52-71-69-48","No","No",,,,,,"",,,,,,,""
"88-38-32-86","Yes","No",,,,,,"",,,,,,,""
"78-51-51-91","No","No",,,,,,"",,,,,,,""
"98-42-68-21","Yes","No",,,,,,"",,,,,,,""
"23-92-64-64","No","No",,,,,,"",,,,,,,""
"33-60-76-52","Yes","No",,,,,,"",,,,,,,""
"99-53-97-21","No","No",,,,,,"",,,,,,,""
"35-30-07-09","Yes","Yes",,,,,,"",,,,,,,""
"84-39-86-14","Yes","No",,,,,,"",,,,,,,""
"33-93-88-48","No","No",,,,,,"",,,,,,,""
"93-94-24-13","Yes","No",,,,,,"",,,,,,,""
"02-86-42-10","No","No",,,,,,"",,,,,,,""
"18-90-95-90","Yes","No",,,,,,"",,,,,,,""
"71-80-40-68","Yes","No",,,,,,"",,,,,,,""
"03-80-12-55","No","No",,,,,,"",,,,,,,""
"03-05-82-85","Yes","Yes",,,,,,"",,,,,,,""
"96-34-34-83","Yes","No",,,,,,"",,,,,,,""
"84-86-67-50","No","No",,,,,,"",,,,,,,""
"65-50-61-63","Yes","No",,,,,,"",,,,,,,""
"14-25-07-27","Yes","Yes",,,,,,"",,,,,,,""
"95-81-39-58","Yes","No",,,,,,"",,,,,,,""
"63-48-87-87","Yes","No",,,,,,"",,,,,,,""
"49-38-87-08","No","No",,,,,,"",,,,,,,""
"56-09-22-69","Yes","No",,,,,,"",,,,,,,""
"52-67-58-90","No","No",,,,,,"",,,,,,,""
"61-51-30-74","No","No",,,,,,"",,,,,,,""
"90-75-70-65","No","No",,,,,,"",,,,,,,""
"70-34-30-04","Yes","No",,,,,,"",,,,,,,""
"00-18-21-78","Yes","No",,,,,,"",,,,,,,""
"80-41-37-09","No","No",,,,,,"",,,,,,,""
"62-10-09-84","No","No",,,,,,"",,,,,,,""
"16-01-99-93","No","No",,,,,,"",,,,,,,""
"91-31-71-31","No","No",,,,,,"",,,,,,,""
"14-78-47-78","Yes","No",,,,,,"",,,,,,,""
"07-03-43-18","Yes","No",,,,,,"",,,,,,,""
"87-80-74-34","No","No",,,,,,"",,,,,,,""
"39-19-95-41","No","No",,,,,,"",,,,,,,""
"13-94-38-36","Yes","No",,,,,,"",,,,,,,""
"64-10-30-77","Yes","No",,,,,,"",,,,,,,""
"98-88-46-23","No","No",,,,,,"",,,,,,,""
"35-26-63-26","No","No",,,,,,"",,,,,,,""
"77-44-63-61","Yes","No",,,,,,"",,,,,,,""
"26-64-90-32","Yes","No",,,,,,"",,,,,,,""
"15-44-39-66","No","No",,,,,,"",,,,,,,""
"97-96-32-80","No","Yes",,,,,,"",,,,,,,""
"65-28-62-87","No","No",,,,,,"",,,,,,,""
"91-95-41-16","No","No",,,,,,"",,,,,,,""
"65-02-00-05","Yes","No",,,,,,"",,,,,,,""
"48-22-83-32","Yes","No",,,,,,"",,,,,,,""
"53-04-96-58","Yes","No",,,,,,"",,,,,,,""
"93-77-89-30","Yes","Yes",,,,,,"",,,,,,,""
"03-06-71-34","Yes","No",,,,,,"",,,,,,,""
"38-24-53-68","Yes","No",,,,,,"",,,,,,,""
"76-44-39-80","No","No",,,,,,"",,,,,,,""
"17-98-15-90","Yes","Yes",,,,,,"",,,,,,,""
"43-89-48-48","No","No",,,,,,"",,,,,,,""
"46-95-44-44","Yes","No",,,,,,"",,,,,,,""
"79-36-03-31","Yes","No",,,,,,"",,,,,,,""
"37-08-68-08","Yes","Yes",,,,,,"",,,,,,,""
"76-66-08-56","Yes","No",,,,,,"",,,,,,,""
"84-78-41-82","No","No",,,,,,"",,,,,,,""
"33-73-65-41","Yes","No",,,,,,"",,,,,,,""
"15-05-96-27","No","No",,,,,,"",,,,,,,""
"04-08-02-81","Yes","No",,,,,,"",,,,,,,""
"48-12-37-19","No","No",,,,,,"",,,,,,,""
"99-22-87-46","Yes","No",,,,,,"",,,,,,,""
"05-46-14-17","No","No",,,,,,"",,,,,,,""
"21-68-94-15","Yes","No",,,,,,"",,,,,,,""
"40-56-04-29","No","No",,,,,,"",,,,,,,""
"58-04-84-61","No","No",,,,,,"",,,,,,,""
"92-36-21-21","No","No",,,,,,"",,,,,,,""
"14-57-41-87","Yes","Yes",,,,,,"",,,,,,,""
"96-30-76-58","Yes","Yes",,,,,,"",,,,,,,""
"94-10-09-72","Yes","No",,,,,,"",,,,,,,""
"63-44-25-02","No","No",,,,,,"",,,,,,,""
"66-67-56-06","Yes","No",,,,,,"",,,,,,,""
"61-94-69-82","Yes","Yes",,,,,,"",,,,,,,""
"72-52-17-18","No","No",,,,,,"",,,,,,,""
"90-79-08-36","Yes","Yes",,,,,,"",,,,,,,""
