interview__key,any_livestock,liv_pdtsal,which_liv_pdts__1,which_liv_pdts__2,which_liv_pdts__3,which_liv_pdts__4,which_liv_pdts__5,which_liv_pdts__6,which_liv_pdts__7,which_liv_pdts__96,which_liv_pdts_oth,liv_buyer,liv_buyer_oth,liv_buyer_where,livmkt_dist,liv_pdt_inc,liv_contract
"11-89-65-58","No",,,,,,,,,,,,"",,,,
"86-01-74-97","Yes","No",,,,,,,,,,,"",,50,,"No"
"18-63-27-64","No",,,,,,,,,,,,"",,,,
"00-01-02-02","Yes","No",,,,,,,,,,,"",,10,,"No"
"69-53-29-77","No",,,,,,,,,,,,"",,,,
"38-36-87-54","Yes","No",,,,,,,,,,,"",,30,,"No"
"96-39-11-89","Yes","Yes","No","No","No","No","No","No","Yes","No",,"Direct buyers, open-air market","","Market in this village",5,3600,"No"
"62-05-75-13","No",,,,,,,,,,,,"",,,,
"36-43-41-97","No",,,,,,,,,,,,"",,,,
"12-03-37-86","No",,,,,,,,,,,,"",,,,
"33-44-32-83","No",,,,,,,,,,,,"",,,,
"39-65-48-99","No",,,,,,,,,,,,"",,,,
"85-43-95-57","No",,,,,,,,,,,,"",,,,
"07-73-56-26","No",,,,,,,,,,,,"",,,,
"00-16-25-60","No",,,,,,,,,,,,"",,,,
"05-35-63-46","Yes","Yes","No","No","No","No","No","No","Yes","No",,"Government","","Market in this village",2,10000,"No"
"00-34-52-14","Yes","No",,,,,,,,,,,"",,100,,"No"
"81-06-64-01","No",,,,,,,,,,,,"",,,,
"84-33-06-87","No",,,,,,,,,,,,"",,,,
"85-48-53-30","Yes","No",,,,,,,,,,,"",,.5,,"No"
"61-17-81-33","No",,,,,,,,,,,,"",,,,
"70-67-46-48","Yes","No",,,,,,,,,,,"",,20,,"No"
"08-84-58-33","No",,,,,,,,,,,,"",,,,
"17-96-77-43","No",,,,,,,,,,,,"",,,,
"05-74-99-19","Yes","No",,,,,,,,,,,"",,3,,"No"
"58-76-16-53","No",,,,,,,,,,,,"",,,,
"14-93-43-30","No",,,,,,,,,,,,"",,,,
"11-82-86-61","No",,,,,,,,,,,,"",,,,
"03-50-12-90","No",,,,,,,,,,,,"",,,,
"81-28-91-79","Yes","No",,,,,,,,,,,"",,2,,"No"
"87-17-87-24","No",,,,,,,,,,,,"",,,,
"98-37-88-19","No",,,,,,,,,,,,"",,,,
"19-43-58-99","No",,,,,,,,,,,,"",,,,
"85-30-41-56","No",,,,,,,,,,,,"",,,,
"78-32-31-52","No",,,,,,,,,,,,"",,,,
"37-97-45-71","No",,,,,,,,,,,,"",,,,
"07-52-39-57","Yes","Yes","No","No","No","No","No","No","Yes","No",,"Other➡️ Please specify","Respondent mostly sells to their community","Market in this village",3,3,"No"
"80-35-75-14","No",,,,,,,,,,,,"",,,,
"94-41-84-42","No",,,,,,,,,,,,"",,,,
"96-46-53-15","Yes","No",,,,,,,,,,,"",,70,,"No"
"53-23-37-57","No",,,,,,,,,,,,"",,,,
"34-02-59-21","No",,,,,,,,,,,,"",,,,
"19-67-63-11","No",,,,,,,,,,,,"",,,,
"57-12-45-97","No",,,,,,,,,,,,"",,,,
"96-34-22-21","No",,,,,,,,,,,,"",,,,
"03-38-35-14","Yes","No",,,,,,,,,,,"",,2,,"No"
"09-06-20-19","No",,,,,,,,,,,,"",,,,
"51-25-36-09","Yes","No",,,,,,,,,,,"",,7,,"No"
"04-05-30-01","No",,,,,,,,,,,,"",,,,
"50-01-20-35","No",,,,,,,,,,,,"",,,,
"67-87-75-21","No",,,,,,,,,,,,"",,,,
"53-81-28-44","No",,,,,,,,,,,,"",,,,
"69-29-47-18","No",,,,,,,,,,,,"",,,,
"22-59-76-95","Yes","No",,,,,,,,,,,"",,20,,"No"
"87-80-21-51","No",,,,,,,,,,,,"",,,,
"21-25-86-78","Yes","No",,,,,,,,,,,"",,1,,"No"
"28-99-62-67","No",,,,,,,,,,,,"",,,,
"14-08-31-40","No",,,,,,,,,,,,"",,,,
"43-12-71-52","No",,,,,,,,,,,,"",,,,
"64-05-81-04","Yes","No",,,,,,,,,,,"",,2,,"No"
"52-46-02-95","No",,,,,,,,,,,,"",,,,
"45-07-09-59","No",,,,,,,,,,,,"",,,,
"52-28-82-48","No",,,,,,,,,,,,"",,,,
"72-80-69-88","No",,,,,,,,,,,,"",,,,
"17-89-78-78","No",,,,,,,,,,,,"",,,,
"07-52-31-91","Yes","No",,,,,,,,,,,"",,2,,"No"
"99-68-20-94","Yes","No",,,,,,,,,,,"",,.2,,"No"
"84-66-38-33","Yes","Yes","Yes","No","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",1,2325,"Yes"
"39-36-01-20","No",,,,,,,,,,,,"",,,,
"05-30-74-26","No",,,,,,,,,,,,"",,,,
"22-19-53-02","No",,,,,,,,,,,,"",,,,
"20-37-92-05","No",,,,,,,,,,,,"",,,,
"67-95-64-84","No",,,,,,,,,,,,"",,,,
"67-07-39-08","No",,,,,,,,,,,,"",,,,
"72-66-07-18","No",,,,,,,,,,,,"",,,,
"72-69-50-37","No",,,,,,,,,,,,"",,,,
"53-41-55-25","No",,,,,,,,,,,,"",,,,
"99-40-82-80","No",,,,,,,,,,,,"",,,,
"23-54-03-81","No",,,,,,,,,,,,"",,,,
"27-20-78-36","No",,,,,,,,,,,,"",,,,
"84-90-94-70","No",,,,,,,,,,,,"",,,,
"03-79-50-93","Yes","No",,,,,,,,,,,"",,300,,"No"
"83-85-13-86","No",,,,,,,,,,,,"",,,,
"91-24-08-83","Yes","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",70,1000,"No"
"25-32-96-44","No",,,,,,,,,,,,"",,,,
"97-99-83-33","No",,,,,,,,,,,,"",,,,
"55-35-77-06","Yes","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",1,1000,"No"
"05-01-06-84","Yes","No",,,,,,,,,,,"",,1,,"No"
"49-78-46-84","No",,,,,,,,,,,,"",,,,
"96-34-51-79","No",,,,,,,,,,,,"",,,,
"05-90-60-44","No",,,,,,,,,,,,"",,,,
"32-72-73-42","Yes","No",,,,,,,,,,,"",,5,,"No"
"94-88-32-78","No",,,,,,,,,,,,"",,,,
"18-56-14-23","No",,,,,,,,,,,,"",,,,
"84-22-47-37","No",,,,,,,,,,,,"",,,,
"44-69-61-71","Yes","No",,,,,,,,,,,"",,1,,"No"
"05-76-24-30","No",,,,,,,,,,,,"",,,,
"72-65-35-75","Yes","No",,,,,,,,,,,"",,.5,,"No"
"92-30-60-06","Yes","No",,,,,,,,,,,"",,90,,"No"
"94-77-43-36","No",,,,,,,,,,,,"",,,,
"72-37-57-39","Yes","No",,,,,,,,,,,"",,10,,"No"
"76-02-50-71","No",,,,,,,,,,,,"",,,,
"75-53-97-04","Yes","Yes","Yes","No","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",1,3000,"No"
"61-20-94-35","No",,,,,,,,,,,,"",,,,
"33-94-27-06","Yes","No",,,,,,,,,,,"",,1,,"No"
"02-07-42-94","No",,,,,,,,,,,,"",,,,
"48-79-63-92","No",,,,,,,,,,,,"",,,,
"87-31-98-00","No",,,,,,,,,,,,"",,,,
"68-12-26-88","No",,,,,,,,,,,,"",,,,
"21-07-91-22","No",,,,,,,,,,,,"",,,,
"59-08-91-97","No",,,,,,,,,,,,"",,,,
"15-39-44-44","No",,,,,,,,,,,,"",,,,
"70-81-99-80","Yes","No",,,,,,,,,,,"",,1,,"No"
"57-32-99-06","Yes","No",,,,,,,,,,,"",,1,,"No"
"60-00-51-13","Yes","No",,,,,,,,,,,"",,133,,"No"
"03-72-03-14","No",,,,,,,,,,,,"",,,,
"32-51-19-72","No",,,,,,,,,,,,"",,,,
"95-19-87-73","No",,,,,,,,,,,,"",,,,
"09-07-28-33","No",,,,,,,,,,,,"",,,,
"82-76-66-89","No",,,,,,,,,,,,"",,,,
"32-84-70-99","No",,,,,,,,,,,,"",,,,
"97-60-60-10","No",,,,,,,,,,,,"",,,,
"77-34-61-84","No",,,,,,,,,,,,"",,,,
"51-45-20-69","No",,,,,,,,,,,,"",,,,
"56-62-79-46","Yes","No",,,,,,,,,,,"",,2,,"No"
"11-13-66-94","No",,,,,,,,,,,,"",,,,
"15-09-86-52","No",,,,,,,,,,,,"",,,,
"91-02-01-07","No",,,,,,,,,,,,"",,,,
"38-98-52-39","Yes","No",,,,,,,,,,,"",,1,,"No"
"91-79-46-21","Yes","No",,,,,,,,,,,"",,20,,"No"
"09-72-08-00","No",,,,,,,,,,,,"",,,,
"25-52-14-98","Yes","No",,,,,,,,,,,"",,117,,"No"
"54-44-91-10","No",,,,,,,,,,,,"",,,,
"76-65-29-85","No",,,,,,,,,,,,"",,,,
"02-98-88-27","No",,,,,,,,,,,,"",,,,
"94-29-79-85","Yes","No",,,,,,,,,,,"",,1,,"No"
"73-36-17-40","No",,,,,,,,,,,,"",,,,
"42-46-38-01","No",,,,,,,,,,,,"",,,,
"73-70-95-80","No",,,,,,,,,,,,"",,,,
"72-84-79-72","No",,,,,,,,,,,,"",,,,
"65-38-87-54","No",,,,,,,,,,,,"",,,,
"94-91-03-07","Yes","No",,,,,,,,,,,"",,1,,"No"
"43-00-27-37","Yes","No",,,,,,,,,,,"",,2,,"No"
"97-63-44-51","Yes","No",,,,,,,,,,,"",,10,,"No"
"13-97-69-06","Yes","No",,,,,,,,,,,"",,1,,"No"
"64-91-38-41","No",,,,,,,,,,,,"",,,,
"81-33-83-30","Yes","No",,,,,,,,,,,"",,.5,,"No"
"19-42-84-15","No",,,,,,,,,,,,"",,,,
"13-49-27-25","No",,,,,,,,,,,,"",,,,
"08-12-43-59","No",,,,,,,,,,,,"",,,,
"82-85-64-69","No",,,,,,,,,,,,"",,,,
"22-02-04-35","No",,,,,,,,,,,,"",,,,
"00-91-45-36","Yes","No",,,,,,,,,,,"",,50,,"No"
"11-05-72-97","Yes","No",,,,,,,,,,,"",,1,,"No"
"16-99-02-10","No",,,,,,,,,,,,"",,,,
"31-99-53-07","No",,,,,,,,,,,,"",,,,
"48-93-31-20","Yes","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",2,2000,"No"
"87-13-21-98","No",,,,,,,,,,,,"",,,,
"55-27-15-85","Yes","No",,,,,,,,,,,"",,40,,"No"
"59-41-96-68","No",,,,,,,,,,,,"",,,,
"22-18-88-41","No",,,,,,,,,,,,"",,,,
"24-64-78-21","Yes","No",,,,,,,,,,,"",,2.5,,"No"
"86-04-16-80","No",,,,,,,,,,,,"",,,,
"92-49-74-52","Yes","No",,,,,,,,,,,"",,6,,"No"
"24-72-61-31","No",,,,,,,,,,,,"",,,,
"04-92-41-49","No",,,,,,,,,,,,"",,,,
"10-43-22-87","No",,,,,,,,,,,,"",,,,
"32-83-01-09","No",,,,,,,,,,,,"",,,,
"79-05-50-27","No",,,,,,,,,,,,"",,,,
"27-16-23-86","Yes","No",,,,,,,,,,,"",,3,,"No"
"12-61-67-91","No",,,,,,,,,,,,"",,,,
"58-55-75-07","No",,,,,,,,,,,,"",,,,
"00-06-72-58","No",,,,,,,,,,,,"",,,,
"45-71-57-97","No",,,,,,,,,,,,"",,,,
"18-81-00-96","Yes","No",,,,,,,,,,,"",,1,,"No"
"09-79-14-71","Yes","No",,,,,,,,,,,"",,400,,"No"
"71-80-89-34","Yes","No",,,,,,,,,,,"",,3,,"No"
"05-16-40-57","No",,,,,,,,,,,,"",,,,
"11-65-24-94","Yes","No",,,,,,,,,,,"",,15,,"No"
"55-44-38-36","Yes","No",,,,,,,,,,,"",,.5,,"No"
"84-73-72-31","No",,,,,,,,,,,,"",,,,
"37-03-14-78","No",,,,,,,,,,,,"",,,,
"77-78-34-26","No",,,,,,,,,,,,"",,,,
"92-09-46-86","Yes","No",,,,,,,,,,,"",,72,,"No"
"27-55-59-32","No",,,,,,,,,,,,"",,,,
"65-23-07-01","No",,,,,,,,,,,,"",,,,
"79-30-25-19","No",,,,,,,,,,,,"",,,,
"75-18-13-88","Yes","No",,,,,,,,,,,"",,2,,"No"
"40-16-04-38","Yes","No",,,,,,,,,,,"",,6,,"No"
"49-34-25-75","No",,,,,,,,,,,,"",,,,
"02-31-03-32","No",,,,,,,,,,,,"",,,,
"88-23-45-95","No",,,,,,,,,,,,"",,,,
"92-15-40-92","No",,,,,,,,,,,,"",,,,
"06-55-62-53","No",,,,,,,,,,,,"",,,,
"57-74-77-03","No",,,,,,,,,,,,"",,,,
"28-44-25-15","No",,,,,,,,,,,,"",,,,
"90-03-82-22","No",,,,,,,,,,,,"",,,,
"24-47-59-03","No",,,,,,,,,,,,"",,,,
"23-30-88-30","No",,,,,,,,,,,,"",,,,
"72-38-90-85","Yes","No",,,,,,,,,,,"",,5,,"No"
"76-02-43-67","Yes","No",,,,,,,,,,,"",,2,,"No"
"58-63-03-99","Yes","No",,,,,,,,,,,"",,57,,"No"
"53-04-65-79","Yes","No",,,,,,,,,,,"",,80,,"No"
"48-16-15-04","No",,,,,,,,,,,,"",,,,
"85-34-28-65","Yes","No",,,,,,,,,,,"",,5,,"No"
"08-72-41-04","Yes","No",,,,,,,,,,,"",,3,,"No"
"48-20-18-94","No",,,,,,,,,,,,"",,,,
"56-53-54-49","No",,,,,,,,,,,,"",,,,
"01-08-40-07","Yes","No",,,,,,,,,,,"",,2,,"No"
"74-08-40-24","No",,,,,,,,,,,,"",,,,
"14-31-43-40","No",,,,,,,,,,,,"",,,,
"24-80-99-00","No",,,,,,,,,,,,"",,,,
"40-28-46-68","No",,,,,,,,,,,,"",,,,
"31-20-26-05","No",,,,,,,,,,,,"",,,,
"37-39-15-65","Yes","No",,,,,,,,,,,"",,1,,"No"
"45-44-88-31","No",,,,,,,,,,,,"",,,,
"91-91-62-09","Yes","No",,,,,,,,,,,"",,1,,"No"
"88-82-89-39","No",,,,,,,,,,,,"",,,,
"79-34-34-89","No",,,,,,,,,,,,"",,,,
"07-03-46-78","No",,,,,,,,,,,,"",,,,
"52-55-71-22","No",,,,,,,,,,,,"",,,,
"42-79-46-81","Yes","No",,,,,,,,,,,"",,2,,"No"
"39-12-44-07","No",,,,,,,,,,,,"",,,,
"21-92-10-43","Yes","No",,,,,,,,,,,"",,1,,"No"
"29-41-63-44","Yes","No",,,,,,,,,,,"",,5,,"No"
"19-83-50-72","Yes","No",,,,,,,,,,,"",,1,,"No"
"58-42-18-32","No",,,,,,,,,,,,"",,,,
"48-22-87-49","Yes","No",,,,,,,,,,,"",,1,,"No"
"85-54-41-38","No",,,,,,,,,,,,"",,,,
"91-10-07-30","Yes","No",,,,,,,,,,,"",,2,,"No"
"12-91-55-52","Yes","No",,,,,,,,,,,"",,1,,"No"
"74-40-02-20","Yes","No",,,,,,,,,,,"",,3,,"No"
"09-31-11-33","Yes","No",,,,,,,,,,,"",,2,,"No"
"87-08-33-34","No",,,,,,,,,,,,"",,,,
"61-84-77-75","No",,,,,,,,,,,,"",,,,
"75-58-44-85","No",,,,,,,,,,,,"",,,,
"11-16-18-86","No",,,,,,,,,,,,"",,,,
"04-26-72-23","No",,,,,,,,,,,,"",,,,
"54-13-05-65","No",,,,,,,,,,,,"",,,,
"23-66-97-33","No",,,,,,,,,,,,"",,,,
"06-64-69-84","No",,,,,,,,,,,,"",,,,
"56-62-10-52","No",,,,,,,,,,,,"",,,,
"05-04-82-73","No",,,,,,,,,,,,"",,,,
"03-81-35-88","No",,,,,,,,,,,,"",,,,
"87-65-62-49","No",,,,,,,,,,,,"",,,,
"95-74-95-07","No",,,,,,,,,,,,"",,,,
"51-31-85-01","No",,,,,,,,,,,,"",,,,
"51-50-93-70","Yes","No",,,,,,,,,,,"",,1,,"No"
"43-24-35-84","Yes","No",,,,,,,,,,,"",,5,,"Yes"
"89-88-34-15","No",,,,,,,,,,,,"",,,,
"14-85-25-58","Yes","No",,,,,,,,,,,"",,.5,,"No"
"46-82-10-07","No",,,,,,,,,,,,"",,,,
"80-79-44-48","Yes","No",,,,,,,,,,,"",,.1,,"No"
"86-55-30-87","Yes","No",,,,,,,,,,,"",,1,,"No"
"95-51-95-92","Yes","Yes","Yes","No","No","No","No","No","No","No",,"Government","","Market in this village",78,7800,"Yes"
"89-51-80-40","Yes","Yes","Yes","No","No","No","No","No","No","No",,"Cooperatives, farmers associations, groups","","Market in this village",1,3000,"No"
"80-53-41-39","No",,,,,,,,,,,,"",,,,
"59-60-43-57","No",,,,,,,,,,,,"",,,,
"87-22-49-94","No",,,,,,,,,,,,"",,,,
"98-98-98-22","No",,,,,,,,,,,,"",,,,
"19-11-80-87","No",,,,,,,,,,,,"",,,,
"02-55-85-64","Yes","No",,,,,,,,,,,"",,12,,"No"
"61-35-56-51","No",,,,,,,,,,,,"",,,,
"57-52-43-19","Yes","No",,,,,,,,,,,"",,12,,"No"
"39-14-69-76","No",,,,,,,,,,,,"",,,,
"72-36-49-36","No",,,,,,,,,,,,"",,,,
"80-82-49-42","Yes","No",,,,,,,,,,,"",,.5,,"No"
"47-81-87-67","Yes","No",,,,,,,,,,,"",,1,,"No"
"55-33-21-42","No",,,,,,,,,,,,"",,,,
"42-50-27-40","No",,,,,,,,,,,,"",,,,
"74-79-87-37","No",,,,,,,,,,,,"",,,,
"32-64-27-45","Yes","No",,,,,,,,,,,"",,5,,"No"
"43-28-98-57","No",,,,,,,,,,,,"",,,,
"28-12-52-92","No",,,,,,,,,,,,"",,,,
"98-31-37-04","No",,,,,,,,,,,,"",,,,
"50-46-09-53","No",,,,,,,,,,,,"",,,,
"48-80-48-31","No",,,,,,,,,,,,"",,,,
"59-69-31-11","No",,,,,,,,,,,,"",,,,
"68-17-57-15","No",,,,,,,,,,,,"",,,,
"65-67-13-71","Yes","No",,,,,,,,,,,"",,50,,"No"
"14-98-70-62","No",,,,,,,,,,,,"",,,,
"25-90-19-11","Yes","No",,,,,,,,,,,"",,110,,"No"
"45-83-41-38","No",,,,,,,,,,,,"",,,,
"95-39-93-93","No",,,,,,,,,,,,"",,,,
"61-12-40-36","No",,,,,,,,,,,,"",,,,
"11-71-40-81","No",,,,,,,,,,,,"",,,,
"36-42-18-14","No",,,,,,,,,,,,"",,,,
"19-03-38-46","No",,,,,,,,,,,,"",,,,
"92-48-70-16","Yes","No",,,,,,,,,,,"",,37,,"No"
"34-14-49-72","No",,,,,,,,,,,,"",,,,
"22-89-40-33","Yes","No",,,,,,,,,,,"",,2,,"No"
"37-39-45-84","Yes","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Rural market in neighbouring other village",10,1800,"No"
"98-85-46-77","No",,,,,,,,,,,,"",,,,
"80-21-91-02","No",,,,,,,,,,,,"",,,,
"22-74-67-59","No",,,,,,,,,,,,"",,,,
"88-01-88-32","Yes","No",,,,,,,,,,,"",,1,,"No"
"98-88-56-41","No",,,,,,,,,,,,"",,,,
"84-73-38-30","No",,,,,,,,,,,,"",,,,
"93-79-44-00","Yes","No",,,,,,,,,,,"",,100,,"No"
"26-07-22-36","No",,,,,,,,,,,,"",,,,
"55-76-99-68","No",,,,,,,,,,,,"",,,,
"38-33-66-67","No",,,,,,,,,,,,"",,,,
"16-65-54-37","Yes","No",,,,,,,,,,,"",,6,,"No"
"20-77-43-56","No",,,,,,,,,,,,"",,,,
"08-12-15-69","No",,,,,,,,,,,,"",,,,
"43-73-48-25","No",,,,,,,,,,,,"",,,,
"86-00-77-05","Yes","No",,,,,,,,,,,"",,6,,"No"
"04-04-14-28","Yes","No",,,,,,,,,,,"",,10,,"No"
"06-32-06-25","Yes","No",,,,,,,,,,,"",,1,,"No"
"91-35-74-95","No",,,,,,,,,,,,"",,,,
"87-84-09-54","Yes","No",,,,,,,,,,,"",,10,,"No"
"62-23-61-37","No",,,,,,,,,,,,"",,,,
"51-67-29-73","No",,,,,,,,,,,,"",,,,
"93-42-86-13","No",,,,,,,,,,,,"",,,,
"31-42-54-99","No",,,,,,,,,,,,"",,,,
"40-00-25-74","Yes","No",,,,,,,,,,,"",,10,,"No"
"32-73-63-74","Yes","No",,,,,,,,,,,"",,72,,"No"
"16-86-88-22","No",,,,,,,,,,,,"",,,,
"64-46-66-46","Yes","Yes","Yes","No","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",1,3000,"No"
"50-30-92-60","No",,,,,,,,,,,,"",,,,
"24-09-68-36","No",,,,,,,,,,,,"",,,,
"42-32-41-18","Yes","No",,,,,,,,,,,"",,5,,"No"
"29-79-40-11","Yes","No",,,,,,,,,,,"",,5,,"No"
"60-57-49-31","No",,,,,,,,,,,,"",,,,
"60-10-68-48","Yes","Yes","No","No","No","No","No","No","Yes","No",,"Government","","Market in this village",10,26400,"No"
"35-24-82-24","No",,,,,,,,,,,,"",,,,
"94-16-94-83","Yes","Yes","Yes","No","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",1,5000,"No"
"93-01-93-75","No",,,,,,,,,,,,"",,,,
"25-76-97-37","No",,,,,,,,,,,,"",,,,
"37-86-89-16","Yes","No",,,,,,,,,,,"",,100,,"No"
"59-63-12-34","No",,,,,,,,,,,,"",,,,
"67-12-10-28","Yes","No",,,,,,,,,,,"",,90,,"No"
"25-90-81-61","Yes","No",,,,,,,,,,,"",,5,,"No"
"27-19-89-21","Yes","No",,,,,,,,,,,"",,80,,"No"
"03-62-40-58","No",,,,,,,,,,,,"",,,,
"60-29-48-02","No",,,,,,,,,,,,"",,,,
"93-40-82-23","No",,,,,,,,,,,,"",,,,
"90-39-81-40","No",,,,,,,,,,,,"",,,,
"26-16-19-49","No",,,,,,,,,,,,"",,,,
"29-68-82-61","Yes","Yes","No","No","No","No","No","No","Yes","No",,"Government","","Rural market in neighbouring other village",75,45000,"No"
"29-03-78-72","Yes","No",,,,,,,,,,,"",,50,,"No"
"54-48-29-54","Yes","No",,,,,,,,,,,"",,1,,"No"
"29-79-23-67","Yes","No",,,,,,,,,,,"",,20,,"No"
"36-91-85-86","Yes","No",,,,,,,,,,,"",,10,,"No"
"33-77-00-47","No",,,,,,,,,,,,"",,,,
"71-23-95-90","No",,,,,,,,,,,,"",,,,
"77-62-89-56","No",,,,,,,,,,,,"",,,,
"93-71-48-41","Yes","No",,,,,,,,,,,"",,6,,"No"
"08-18-22-01","No",,,,,,,,,,,,"",,,,
"98-07-17-87","No",,,,,,,,,,,,"",,,,
"23-98-05-49","No",,,,,,,,,,,,"",,,,
"79-97-29-10","Yes","Yes","Yes","No","No","No","No","No","No","No",,"Government","","Market in this village",1,2000,"No"
"41-50-66-96","Yes","No",,,,,,,,,,,"",,5,,"No"
"06-31-05-26","Yes","No",,,,,,,,,,,"",,1,,"No"
"25-90-09-86","No",,,,,,,,,,,,"",,,,
"03-91-71-73","No",,,,,,,,,,,,"",,,,
"36-45-13-48","Yes","No",,,,,,,,,,,"",,11,,"No"
"63-11-78-96","Yes","No",,,,,,,,,,,"",,1,,"No"
"79-48-70-94","Yes","No",,,,,,,,,,,"",,10,,"No"
"01-11-02-57","No",,,,,,,,,,,,"",,,,
"41-82-62-49","Yes","Yes","No","Yes","No","No","No","No","No","No",,"Direct buyers, open-air market","","Market in this village",1,500,"No"
"57-39-86-38","Yes","No",,,,,,,,,,,"",,20,,"No"
"47-31-29-24","Yes","No",,,,,,,,,,,"",,1,,"No"
"87-48-42-67","No",,,,,,,,,,,,"",,,,
"88-51-36-66","Yes","No",,,,,,,,,,,"",,1,,"No"
"88-12-77-50","No",,,,,,,,,,,,"",,,,
"17-63-55-71","No",,,,,,,,,,,,"",,,,
"08-89-64-68","No",,,,,,,,,,,,"",,,,
"40-29-00-57","No",,,,,,,,,,,,"",,,,
"86-10-11-11","Yes","No",,,,,,,,,,,"",,10,,"No"
"80-48-57-31","No",,,,,,,,,,,,"",,,,
"03-33-65-79","No",,,,,,,,,,,,"",,,,
"86-28-43-28","No",,,,,,,,,,,,"",,,,
"95-58-64-05","Yes","No",,,,,,,,,,,"",,120,,"No"
"51-45-88-78","No",,,,,,,,,,,,"",,,,
"90-62-42-39","No",,,,,,,,,,,,"",,,,
"71-64-26-40","Yes","No",,,,,,,,,,,"",,10,,"No"
"81-24-00-67","Yes","Yes","No","No","No","No","No","No","Yes","No",,"Government","","Market in this village",1,36000,"Yes"
"12-70-32-30","No",,,,,,,,,,,,"",,,,
"82-97-70-37","Yes","No",,,,,,,,,,,"",,1,,"No"
"62-46-14-70","No",,,,,,,,,,,,"",,,,
"71-10-70-44","No",,,,,,,,,,,,"",,,,
"72-64-30-28","Yes","No",,,,,,,,,,,"",,1,,"No"
"13-26-76-47","No",,,,,,,,,,,,"",,,,
"49-80-23-99","No",,,,,,,,,,,,"",,,,
