interview__key,any_livestock,grazing_area__1,grazing_area__2,grazing_area__3,grazing_area__4,grazing_area__5,grazing_area__96,grazing_area_oth,grazing_dist,grazing_days,grazing_hour,grazing_ownership,grazing_sharing,grazing_permit,grazing_permit_price,grazing_years,grazing_area_before__1,grazing_area_before__2,grazing_area_before__3,grazing_area_before__4,grazing_area_before__5,grazing_area_before__96,grazing_dist_before,grazing_cng_reason__1,grazing_cng_reason__2,grazing_cng_reason__3,grazing_cng_reason__4,grazing_cng_reason__5,grazing_cng_reason__6,grazing_cng_reason__7,grazing_cng_reason__8,grazing_cng_reason__9,grazing_cng_reason__10,grazing_cng_reason__11,grazing_cng_reason__96,grazing_change_reason_oth,grazing_challenges__1,grazing_challenges__2,grazing_challenges__3,grazing_challenges__4,grazing_challenges__5,grazing_challenges__6,grazing_challenges__7,grazing_challenges__8,grazing_challenges__9,grazing_challenges__10,grazing_challenges__11,grazing_challenges__96,grazing_challenge_oth
"12-68-96-23","Yes","No","Yes","No","No","No","No",,30,8,7,"Don’t know",4,"No",,5,"No","Yes","No","No","No","No",40,"No","No","No","No","No","No","No","No","No","No","Yes","No","","No","No","No","No","No","Yes","No","No","No","No","No","No",""
"46-89-61-94","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"36-57-98-87","Yes","No","Yes","No","No","No","No",,7,7,5,"Communally owned",10,"No",,2,"No","Yes","No","No","No","No",0,"No","No","No","No","No","No","No","No","No","No","Yes","No","","No","No","No","No","No","No","No","No","No","No","Yes","No",""
"93-61-95-87","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"72-10-49-63","Yes","No","Yes","No","No","No","No",,30,320,7,"State owned",30,"No",,19,,,,,,,,,,,,,,,,,,,,"","Yes","No",,"No","No","No","No","No","No","No","No","No",""
"65-98-70-74","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"71-09-05-63","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"81-05-32-56","Yes","No","Yes","No","No","No","No",,5,480,8,"Co-share/ co-farming",10,"No",,3,"No","Yes","No","No","No","No",0,"No","No","No","No","No","No","No","No","No","No","Yes","No","","No","No","No","No","No","No","No","No","No","No","Yes","No",""
"30-09-94-93","Yes","No","No","No","Yes","No","No",,30,390,6,"Communally owned",7,"No",,10,,,,,,,,,,,,,,,,,,,,"","Yes","No","No","No","No",,"No","No",,"No","No","No",""
"85-23-91-16","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"53-06-23-41","Yes","No","Yes","No","No","No","No",,60,480,6,"Communally owned",10,"No",,.5,"No","Yes","No","No","No","No",60,"No","No","No","No","No","No","No","Yes","No","No","No","No","","No","No","Yes","No","No","No","No","No","No","No","No","No",""
"93-66-25-28","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"43-14-97-16","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"49-90-63-33","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"68-84-82-12","Yes","No","Yes","No","No","No","No",,40,30,8,"Communally owned",15,"No",,20,,,,,,,,,,,,,,,,,,,,"","No","No","No","No","No","No","No","Yes","No","No","No","No",""
"25-99-22-65","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"86-16-04-54","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"42-95-35-09","Yes","No","No","Yes","No","No","No",,30,30,8,"Communally owned",20,"No",,5,"No","No","No","No","No","Yes",0,"No","No","No","No","No","No","No","No","No","No","Yes","No","","No","No",,"No","No","No","No","No","No","No","No","Yes","ANIMALS DISEASES"
"54-69-26-46","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"92-23-96-13","Yes","No","Yes","No","No","No","No",,20,420,7,"Communally owned",50,"No",,40,,,,,,,,,,,,,,,,,,,,"","Yes","No","No","No","No","No",,"No","No","No","No","No",""
"22-90-51-93","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"15-81-26-28","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"20-52-90-88","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"35-31-07-84","Yes","No","No","Yes","No","No","No",,300,20,6,"Communally owned",3,"No",,1,"No","Yes","No","No","No","No",180,"Yes","No","No","No","No","No","No","No","No","No","No","No","","No","Yes","No","No","No","No","No","No",,"No","No","No",""
"09-47-23-08","Yes","No","Yes","No","No","No","No",,2,30,7,"Communally owned",10,"No",,7,"No","No","No","No","No","Yes",2,"No","No","No","No","No","No","No","No","No","No","Yes","No","",,"No","Yes","No","No","No","No","No","No","No","No","No",""
"03-49-16-10","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"65-48-87-48","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"54-94-74-75","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"70-40-01-04","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"33-37-06-20","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"11-89-65-58","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"86-01-74-97","Yes","No","No","No","Yes","No","No",,45,600,6,"Communally owned",10,"No",,15,,,,,,,,,,,,,,,,,,,,"","No","No","No","No","No","Yes","No","No","No","No","No","No",""
"18-63-27-64","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"00-01-02-02","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"69-53-29-77","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"38-36-87-54","Yes","No","Yes","No","No","No","No",,120,600,8,"Communally owned",4,"No",,11,,,,,,,,,,,,,,,,,,,,"",,"No","Yes","No","No","No","No","No",,"No","No","No",""
"96-39-11-89","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"62-05-75-13","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"36-43-41-97","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"12-03-37-86","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"33-44-32-83","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"39-65-48-99","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"85-43-95-57","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"07-73-56-26","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"00-16-25-60","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"05-35-63-46","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"00-34-52-14","Yes","No","Yes","No","No","No","No",,30,480,6,"Communally owned",10,"No",,5,"No","Yes","No","No","No","No",30,"Yes","No","No","No","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","No","No","No","Yes","No",""
"81-06-64-01","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"84-33-06-87","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"85-48-53-30","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"61-17-81-33","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"70-67-46-48","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"08-84-58-33","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"17-96-77-43","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"05-74-99-19","Yes","No","No","No","Yes","No","No",,120,560,5,"State owned",30,"No",,10,,,,,,,,,,,,,,,,,,,,"","Yes","No","No","No","No","No","No","No",,"No","No","No",""
"58-76-16-53","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"14-93-43-30","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"11-82-86-61","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"03-50-12-90","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"81-28-91-79","Yes","No","Yes","No","No","No","No",,1,15,5,"Communally owned",20,"No",,3,"No","No","No","No","No","Yes",5,"Yes","No","No","No",,,"No","No","No","No","No","No","","No","No","No","No",,"Yes","No","No","No","No","No","No",""
"87-17-87-24","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"98-37-88-19","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"19-43-58-99","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"85-30-41-56","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"78-32-31-52","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"37-97-45-71","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"07-52-39-57","Yes","Yes","No","No","No","No","No",,,,5,,,,,,,,,,,,,,,,,,,,,,,,,"","No","No","No","No","Yes","No","No","No","No","No","No",,"Wild animals attack livestock"
"80-35-75-14","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"94-41-84-42","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"96-46-53-15","Yes","No","Yes","No","No","No","No",,20,5,7,"Don’t know",5,"No",,8,"No","Yes","No","No","No","No",20,"No","No","Yes","No","No","No","No","No","No","No","No","No","","Yes","No",,"No",,"No","No","No","No","No","No","No",""
"53-23-37-57","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"34-02-59-21","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"19-67-63-11","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"57-12-45-97","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"96-34-22-21","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"03-38-35-14","Yes","No","Yes","No","No","No","No",,5,20,7,"Communally owned",8,"No",,30,,,,,,,,,,,,,,,,,,,,"","No","No","No","No","No","No","No","No","No","No","No","Yes","Goats gets attacked by predators"
"09-06-20-19","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"51-25-36-09","Yes","No","Yes","No","No","No","No",,120,540,5,"Communally owned",10,"No",,5,"No","Yes","No","No","No","No",300,"Yes","No","No","No","No","No","No","No","No","No","No","No","","Yes","No","No","No","No","No","No","No",,"No","No","No",""
"04-05-30-01","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"50-01-20-35","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"67-87-75-21","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"53-81-28-44","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"69-29-47-18","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"22-59-76-95","Yes","No","No","Yes","No","No","No",,3,450,8,"Private owned with land title",20,"No",,10,,,,,,,,,,,,,,,,,,,,"","Yes","No","No","No","No","No","No","No","No","No","No","No",""
"87-80-21-51","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"21-25-86-78","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"28-99-62-67","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"14-08-31-40","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"43-12-71-52","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"64-05-81-04","Yes","No","No","Yes","No","No","No",,60,660,10,"Communally owned",7,"No",,2,"No","No","Yes","No","No","No",80,"No","No","No","No",,,"No","No","No","No","No","Yes","wildlife attacks","Yes","No","No","No","No","No",,"No",,"No","No","No",""
"52-46-02-95","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"45-07-09-59","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"52-28-82-48","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"72-80-69-88","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"17-89-78-78","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"07-52-31-91","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"99-68-20-94","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"84-66-38-33","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"39-36-01-20","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"05-30-74-26","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"22-19-53-02","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"20-37-92-05","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"67-95-64-84","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"67-07-39-08","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"72-66-07-18","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"72-69-50-37","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"53-41-55-25","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"99-40-82-80","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"23-54-03-81","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"27-20-78-36","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"84-90-94-70","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"03-79-50-93","Yes","Yes","No","No","No","No","No",,,,3,,,,,,,,,,,,,,,,,,,,,,,,,"","No","No","No","No","No","Yes","No","No","No","No","No",,"wild animals killing some goats"
"83-85-13-86","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"91-24-08-83","Yes","No","Yes","No","No","No","No",,1,12,10,"Don’t know",3,"No",,4,"No","Yes","No","No","No","No",600,"No","No","No","No","No","No","No","No","No","No","Yes","No","","No","No","No","No","No","No","No","No","No","No","No","Yes","conflicts with neighbors who have crop lad in same are as cows Feed on their farm lands"
"25-32-96-44","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"97-99-83-33","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"55-35-77-06","Yes","No","Yes","No","No","No","No",,180,1,9,"Communally owned",5,"No",,28,,,,,,,,,,,,,,,,,,,,"","No",,"No",,"No","Yes","No","No","No","No","No","No",""
"05-01-06-84","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"49-78-46-84","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"96-34-51-79","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"05-90-60-44","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"32-72-73-42","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"94-88-32-78","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"18-56-14-23","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"84-22-47-37","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"44-69-61-71","Yes","No","Yes","No","No","No","No",,10,360,6,"State owned",10,"No",,1,"No","Yes","No","No","No","No",0,"No","No","No","No","No","No","No","No","No","No","Yes","No","","No","No","No","No","No","Yes","No",,"No","No","No","No",""
"05-76-24-30","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"72-65-35-75","Yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"92-30-60-06","Yes","No","No","Yes","No","No","No",,40,520,8,"State owned",0,"No",,21,,,,,,,,,,,,,,,,,,,,"",,"No","No","No","No","No","No","No","Yes","No","No","No",""
"94-77-43-36","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"72-37-57-39","Yes","Yes","No","No","No","No","No",,,,9,,,,,,,,,,,,,,,,,,,,,,,,,"","No","No","No","No","Yes","No","No","No","No","No","No","No",""
"76-02-50-71","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"75-53-97-04","Yes","No","Yes","No","No","No","No",,20,460,7,"Communally owned",14,"No",,30,,,,,,,,,,,,,,,,,,,,"","Yes","No","No","No","No","No","No","No","No","No","No","No",""
"61-20-94-35","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"33-94-27-06","Yes","No","Yes","No","No","No","No",,10,360,6,"Communally owned",4,"No",,5,"No","Yes","No","No","No","No",5,"No","No","No","No","No","No","No","No","No","No","Yes","No","","No","No","No","No","Yes","No","No","No","No","No","No","No",""
"02-07-42-94","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"48-79-63-92","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"87-31-98-00","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"68-12-26-88","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"21-07-91-22","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"59-08-91-97","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"15-39-44-44","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"70-81-99-80","Yes","Yes","No","No","No","No","No",,,,2,,,,,,,,,,,,,,,,,,,,,,,,,"","Yes","No",,"No",,"No","No","No","No","No","No","No",""
"57-32-99-06","Yes","No","Yes","No","No","No","No",,4,1,7,"Communally owned",20,"No",,8,"No","No","No","No","No","Yes",0,"No","No","No","No","No","No","No","No","No","No","Yes","No","","No","No","No","Yes","No","No","No","No","No","No","No","No",""
"60-00-51-13","Yes","No","Yes","No","No","No","No",,10,600,9,"Communally owned",4,"No",,7,"No","Yes","No","No","No","No",10,"Yes","No",,"No","No",,"No","No","No","No","No","No","","Yes","No",,"No","No",,"No","No","No","No","No","No",""
"03-72-03-14","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"32-51-19-72","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"95-19-87-73","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"09-07-28-33","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"82-76-66-89","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"32-84-70-99","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"97-60-60-10","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"77-34-61-84","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"51-45-20-69","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"56-62-79-46","Yes","No","No","No","Yes","No","No",,10,440,7,"State owned",15,"No",,10,,,,,,,,,,,,,,,,,,,,"",,"No","No","No","No","No","No","Yes","No","No","No","No",""
"11-13-66-94","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"15-09-86-52","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"91-02-01-07","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"38-98-52-39","Yes","No","No","Yes","No","No","No",,20,380,6,"State owned",15,"No",,10,,,,,,,,,,,,,,,,,,,,"","Yes","No","No","No","No",,"No",,"No","No","No","No",""
"91-79-46-21","Yes","No","No","Yes","No","No","No",,120,60,5,"Co-share/ co-farming",5,"No",,2,"No","No","Yes","No","No","No",0,"No","No","No","No","No","No","No","No","No","No","Yes","No","","No","No","No","No","No","Yes","No","No","No","No","No","No",""
"09-72-08-00","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"25-52-14-98","Yes","No","No","No","Yes","No","No",,120,720,10,"Communally owned",20,"No",,17,,,,,,,,,,,,,,,,,,,,"","Yes","No",,"No","No","No","No","No","No","No","No",,"predators"
"54-44-91-10","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"76-65-29-85","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
"02-98-88-27","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
