interview__key,r_members__id,food_special,food_groups__1,food_groups__2,food_groups__3,food_groups__4,food_groups__5,food_groups__6,food_groups__7,food_groups__8,food_groups__9,food_groups__10,food_groups__11,food_groups__12,food_groups__13,food_groups__14,food_groups__15,food_groups__16
"63-25-21-02",1,"Yes","Yes","No","Yes","No","No","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"63-25-21-02",2,"Yes","Yes","No","Yes","No","No","No","No","Yes","Yes","No",,"Yes","Yes","Yes","Yes","Yes"
"08-07-30-74",1,"Yes","Yes",,,,,,,,,,,,,,"Yes",
"08-07-30-74",3,"Yes","Yes",,,,,,,,,,,,,,"Yes",
"18-39-69-08",2,"Yes","No","No","Yes","No","Yes","No","No","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes"
"97-46-11-48",1,"Yes","Yes","No","No","No","Yes","No","Yes","No","Yes","No","No","Yes","Yes","Yes","No","Yes"
"12-85-99-43",1,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No"
"12-85-99-43",3,"Yes","Yes","No","No","No","Yes","No","No","No","No","No","Yes","No","Yes","Yes","No","No"
"55-14-49-61",1,"Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No"
"55-14-49-61",2,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"94-26-98-86",1,"Yes","Yes","No","Yes","No","Yes","No","No","Yes","No","No","Yes","No","No","No","Yes","Yes"
"94-26-98-86",2,"Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","Yes","No","Yes","No","No"
"32-96-01-37",2,"Yes","Yes",,,,,,,,,,,"Yes",,"Yes",,
"32-96-01-37",3,"No","Yes",,,,,,,,"Yes",,,,,"Yes",,
"41-92-38-71",1,"No","No","No","No","No","No","No","No",,"No","No","No","No","Yes","Yes","Yes","Yes"
"41-92-38-71",2,"No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes"
"43-40-50-14",1,"No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No","Yes"
"33-52-73-44",1,"Yes","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No","Yes"
"33-52-73-44",2,"No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes","No","Yes"
"17-65-44-15",1,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes","No"
"17-65-44-15",2,,,,,,,,,,,,,,,,,
"77-00-14-73",1,"No","Yes","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","No"
"77-00-14-73",2,"No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No"
"78-98-94-60",1,"No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No"
"78-98-94-60",2,"No","Yes","No","No","No","No","No","No",,"Yes","No","No","No","No","No","No","No"
"50-51-12-24",1,"Yes","Yes",,,,,,,,,,,"Yes",,,,
"50-51-12-24",2,"Yes","Yes",,,,,,,,,,"Yes",,,,,
"45-72-98-81",1,"Yes","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No"
"98-20-22-18",2,"Yes","No","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No"
"12-87-62-64",1,"Yes","Yes",,,,,,,,,,,,"Yes",,,
"12-87-62-64",2,"No","Yes",,"Yes",,,,,,,,,"Yes",,"Yes",,
"02-24-60-64",1,"Yes","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No"
"35-93-85-84",1,"No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes"
"35-93-85-84",2,"No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes"
"25-08-98-52",1,"No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No"
"25-08-98-52",2,"No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No"
"46-54-30-66",1,"Yes","Yes","No","No","No","Yes","No","No","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes"
"19-66-62-79",1,"Yes","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","Yes","No","No"
"38-52-59-99",1,"No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No"
"38-52-59-99",2,"Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No"
"18-01-52-21",1,"No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No"
"18-01-52-21",2,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"52-91-87-71",1,"No","Yes","No","Yes","No","Yes","No","No","No","No","Yes","No","No","No","No","No","Yes"
"52-91-87-71",2,"No","Yes","No","Yes","No","Yes","No","No","No","No","Yes","No","No","No","No","No","Yes"
"86-58-98-12",1,"Yes","Yes","No","Yes","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No"
"86-58-98-12",2,"Yes","Yes","No","Yes","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No"
"18-53-78-30",1,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"18-53-78-30",2,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"21-70-10-93",1,"Yes","Yes","Yes","No","No","Yes","No","No","No","Yes","No","Yes","No","No","Yes","Yes","Yes"
"21-70-10-93",2,"Yes","Yes","Yes","No","No","Yes","No","No","No","Yes","No","Yes","No","No","Yes","Yes","Yes"
"51-51-64-02",1,"Yes","Yes",,"Yes",,,,,,"Yes",,,,"Yes",,,
"51-51-64-02",2,"Yes","Yes",,,,,,,,,,,,"Yes",,,
"65-04-27-87",1,"Yes","Yes","No","Yes","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No"
"65-04-27-87",2,"Yes","Yes","No","Yes","No","No","No","No","No","No","No","Yes","Yes","No","Yes","No","Yes"
"26-67-17-34",1,"Yes","Yes",,"Yes",,,,,,,,,,,,,
"12-55-61-25",1,"No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","Yes","Yes","No","No"
"12-55-61-25",5,,,,,,,,,,,,,,,,,
"70-21-00-12",1,"No","Yes","No","No","No","Yes","No","No","No","Yes","Yes","No","No","Yes","No","No","No"
"70-21-00-12",2,"No","Yes","No","Yes","No","Yes","No","No","No","Yes","Yes","No","No","Yes","No","No","No"
"09-96-00-56",1,"No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes","No","Yes"
"09-96-00-56",4,"No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes","No","Yes"
"93-46-32-90",1,"No","Yes",,"Yes","No","Yes","No","Yes","No","Yes","No","No","No","Yes","Yes","Yes","No"
"93-46-32-90",2,"No","Yes","No","Yes","No","Yes","No","No","No","Yes","No","No","No","Yes","Yes","Yes","Yes"
"39-76-52-63",1,"Yes",,,,,,,,,,,,"No","No","No","No","No"
"39-76-52-63",2,"Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","No","No"
"44-39-76-83",2,"No","Yes","No","No","No","No","No","No","No","Yes","No","No","Yes","No","Yes","No","Yes"
"57-92-68-31",1,"Yes","Yes",,,,,,,,,,,"Yes",,,,
"70-75-80-97",1,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"37-91-43-52",1,"No","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","Yes","No","Yes"
"37-91-43-52",2,"No","Yes","No","No","No","No","No","No","No","No","No","Yes","No",,"No","No","No"
"93-94-95-33",1,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes"
"93-94-95-33",2,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"50-37-72-10",1,"Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","No","No"
"29-63-76-51",2,"No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"71-36-35-44",1,"No","Yes","No","Yes","No","No","No","No","No","No","No","Yes","No","No","Yes","Yes","No"
"71-36-35-44",2,"No","Yes","No","No","No","Yes","No","No","No","Yes","No","No","Yes","No","Yes","Yes","No"
"20-65-14-78",1,"Yes","Yes","No","Yes","No","No","No","No","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes"
"60-95-57-22",1,"Yes","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
"60-95-57-22",2,"Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"17-61-49-75",1,"Yes","Yes","No","Yes","No","No","No","No",,"No","No","No","No","No","Yes","No","No"
"02-95-98-52",1,"No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","Yes","No","Yes"
"02-95-98-52",2,"No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","Yes","No","Yes"
"77-54-37-57",3,"No","Yes",,"Yes","Yes",,,,,,,,,,,,
"49-81-42-49",1,"No","No","No","Yes","No","No","No","No","No","Yes","No","No","Yes","No","No","No","No"
"07-97-99-00",1,"Yes","Yes",,,,,,,,,,,"Yes",,"Yes",,
"07-97-99-00",4,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"61-38-38-57",1,"No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes"
"61-38-38-57",2,"No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","Yes","Yes"
"80-45-81-35",1,"No","Yes","Yes","No","No","Yes","No","No","Yes","No","No","No","Yes","Yes","Yes","Yes","No"
"80-45-81-35",2,"Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","No","Yes"
"47-70-03-35",1,"No","Yes","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
"73-01-72-24",2,"No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"73-01-72-24",3,"No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No"
"70-18-85-80",1,"Yes","Yes",,,,,,,"Yes",,,,,,"Yes",,
"70-18-85-80",2,"Yes","Yes",,,,,,,"Yes",,,,,,"Yes",,
"59-96-51-48",3,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No"
"59-96-51-48",4,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"47-24-68-80",1,"Yes","Yes",,"Yes",,,,,,,,,,,,,
"47-24-68-80",2,"Yes","Yes",,"Yes",,,,,,,,,,,,,
"98-95-69-34",1,"Yes","No","No","No","No","No","No","No","No","Yes","No","Yes","No","No","No","No","No"
"94-61-58-26",2,"Yes","Yes","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No"
"94-61-58-26",3,"Yes","Yes","No","No","Yes","Yes","No","No","No","Yes","Yes","Yes","No","No","No","No","No"
"84-70-48-38",1,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Yes","Yes","No"
"46-07-52-30",1,"No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes"
"65-50-88-07",1,"No","Yes","No",,"No","No",,"No","No","No","No","No","No","Yes","No","No","No"
"05-43-02-62",1,"Yes","Yes","No","No","No","Yes",,"No","No","Yes","No","No","No","No","Yes","No","No"
"05-43-02-62",2,"Yes","Yes","No","Yes","No","No","No","No","No","No","No","Yes","No","Yes",,"No","No"
"83-84-84-67",1,"No","No","No","Yes","No","No","No","No","No","No",,"No","No","No","No","No","No"
"83-84-84-67",2,"No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
"16-35-19-29",1,"No","No","No","Yes","No","Yes","No","No","No","No","No","Yes","No","No","Yes","No","Yes"
"83-90-14-37",2,"No","Yes","No","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","Yes","No"
"83-90-14-37",3,"No","Yes",,"Yes","No","No","No","Yes",,"No","No","No","No",,"No","No","No"
"56-16-94-47",1,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No"
"56-16-94-47",2,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"16-24-71-47",4,"No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No"
"22-33-09-47",1,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No"
"22-33-09-47",2,"Yes","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes","No","No"
"89-17-95-50",1,"Yes","Yes","No","Yes","No","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"89-17-95-50",3,"No","Yes","No","Yes","No","No","No","No",,"Yes","No","No","Yes","Yes","Yes","Yes","Yes"
"71-12-87-82",2,"Yes","No","No","No","No","Yes","No","No","No","Yes","No","No","No","Yes","Yes","Yes","Yes"
"93-78-86-25",1,"No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No"
"93-78-86-25",3,"No","Yes","No","Yes","No","Yes","No","No","No","Yes","No","No","Yes","Yes","No","No","No"
"34-03-26-96",1,"Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","No","Yes","No",,"No"
"34-03-26-96",3,"Yes","Yes","No",,"No","No","No","No",,"Yes","No","No","No","Yes","No","No","No"
