interview__key,r_crop__id,crop_area,cp06,crop_harvest,crop_output,crop_unit,crop_unit_1,crop_sale,crop_saleamt,crop_slunits,crop_slunits_1,crop_price,crop_buyer__1,crop_buyer__2,crop_buyer__3,crop_buyer__4,crop_buyer__5,crop_buyer__6,crop_buyer__96,crop_buyer_oth,crop_buyer_where,crop_homecons,crop_clunits,crop_cunits_1,cp_stor,cpamt,cpunits2,cpunits2_oth,crop_inkind_pay,payment_unit,payment_unit_oth,crop_gifts,gift_unit,gift_unit_oth,crop_oth_uses,crop_ouse_oth,ouses_unit,ouses_unit_oth,crp_irrig,irrig__1,irrig__2,irrig__3,irrig__4,irrig__5,irrig__6,irrig__96,irrig__n888,irrig__n999,irrig_others,irrig_method__1,irrig_method__2,irrig_method__3,irrig_method__4,irrig_method__96,irrig_method__n888,irrig_method__n999,seed,var_trait_1__1,var_trait_1__2,var_trait_1__3,var_trait_1__4,var_trait_1__5,var_trait_1__6,var_trait_1__7,var_trait_1__8,var_trait_1__9,var_trait_1__10,var_trait_1__11,var_trait_1__12,var_trait_1__13,var_trait_1__14,var_trait_1__15,var_trait_1__16,var_trait_1__17,var_trait_1__18,var_trait_1__19,var_trait_1__20,var_trait_1__96,var_trait_1_other,seed_source_1,seed_source_oth_1,seed_amt_1,seed_amtunits,seed_amtunits_oth,seed_price_1,cp07,cp08,cp09,cp11
"16-72-17-16","BEANS/COWPEA","0.1","Yes","No",,,"",,,,"",,,,,,,,,,,,,"","No",,,"",,,"",,,"",,"",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No",,"No","No","No","No","No",,,,,,,,"No","No","No","No"
"16-72-17-16","MAIZE","0.2","No","No",,,"",,,,"",,,,,,,,,,,,,"","No",,,"",,,"",,,"",,"",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No",,,,,,,,"No","No","No","No"
"19-23-31-06","CABBAGE","0.1","No","No",,,"",,,,"",,,,,,,,,,,,,"","No",,,"",,,"",,,"",,"",,"","Yes",0,0,1,0,0,0,0,0,0,"","No","No","Yes","No","No","No","No",,"No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No",,"No","No","No","No","No",,,,,,,,"Yes","No","Yes","No"
"98-23-98-25","MAIZE","2","No","Yes",20,"50 kg bag","","Yes",20,"50 kg bag","",350,"Yes","No","No","No","No","No","No",,,0,,"","No",,,"","0",,"",0,,"","0","",,"","No",,,,,,,,,,"",,,,,,,,,,"No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,"No","No","No","No"
"98-23-98-25","MILLET/MAIWA","4","No","Yes",49,"50 kg bag","","Yes",49,"50 kg bag","",370,"Yes","No","No","No","No","No","No",,,0,,"","Yes","6","50 kg bag","","0",,"",0,,"","0","",,"","No",,,,,,,,,,"",,,,,,,,,,"No","Yes",,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,"No","No","No","No"
"98-23-98-25","SORGHUM","2","No","Yes",12,"50 kg bag","","No",,,"",,,,,,,,,,,0,,"","Yes","12","50 kg bag","","0",,"",0,,"","0","",,"","No",,,,,,,,,,"",,,,,,,,,"Yes",,"No",,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,"No","No","No","No"
"05-21-83-90","MAIZE","5","No","No",,,"",,,,"",,,,,,,,,,,,,"","Yes","10","50 kg bag","",,,"",,,"",,"",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,"No","No","No","Yes"
"46-68-27-34","MAIZE","0.7","No","No",,,"",,,,"",,,,,,,,,,,,,"","No",,,"",,,"",,,"",,"",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","No","No","Yes","No","No",,"No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,"No","No","No","No"
"78-16-14-09","MAIZE","1.5","Yes","Yes",11,"50 kg bag","","No",,,"",,,,,,,,,,,1,"50 kg bag","","Yes","10","50 kg bag","","0",,"",0,,"","0","",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","Yes","No","No","No",,,"No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,"No","No","No","No"
"78-16-14-09","MILLET/MAIWA","1.5","Yes","Yes",8,"50 kg bag","","No",,,"",,,,,,,,,,,8,"50 kg bag","","Yes","8","50 kg bag","","0",,"",0,,"","1","seeds for next ploughing season","50 kg bag","","No",,,,,,,,,,"",,,,,,,,,"No","No","No","No","No",,,"No","No","No","Yes","No","No","No","No","No","No","No","No","No","No",,,,,,,"No","No","No","No","No"
"01-32-09-43","MAIZE","1","No","Yes",3,"50 kg bag","","No",,,"",,,,,,,,,,,3,"50 kg bag","","No",,,"","0",,"",0,,"","0","",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","No","No","Yes","No","No",,"No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,"No","No","No","Yes"
"01-17-72-49","MAIZE","2","No","Yes",7,"50 kg bag","","No",,,"",,,,,,,,,,,0,,"","Yes","7","50 kg bag","","0",,"",0,,"","0","",,"","No",,,,,,,,,,"",,,,,,,,,"No","No",,,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,"No","No","No","No"
"01-17-72-49","MILLET/MAIWA","1","No","No",,,"",,,,"",,,,,,,,,,,,,"","No",,,"",,,"",,,"",,"",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","No","Yes",,"No","No","No","No","No",,"No","No","No","No","No","No","No","No","No","No",,,,,,,,"No","No","No","No"
"40-86-48-02","MAIZE","1","No","Yes",9,"50 kg bag","","No",,,"",,,,,,,,,,,9,"50 kg bag","","No",,,"","0",,"",0,,"","0","",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","Yes","No",,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,"No","No","No","No"
"67-11-34-32","MAIZE","0.5","Yes","No",,,"",,,,"",,,,,,,,,,,,,"","No",,,"",,,"",,,"",,"",,"","No",,,,,,,,,,"",,,,,,,,,"No","No",,"No",,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes",,,,"Yes",,,,"No","No","No","No"
"67-11-34-32","MILLET/MAIWA","0.5","Yes","No",,,"",,,,"",,,,,,,,,,,,,"","No",,,"",,,"",,,"",,"",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","No","No","No",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No",,"No",,,,"Yes",,,,"No","No","No","No"
"14-68-63-82","MAIZE","0.5","No","Yes",5,"50 kg bag","","No",,,"",,,,,,,,,,,5,"50 kg bag","","No",,,"","0",,"",0,,"","0","",,"","No",,,,,,,,,,"",,,,,,,,,"No","No",,"No","Yes","No",,"No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,"Yes",,,,"No","No","No","No"
"80-91-19-12","MAIZE","1.5","No","Yes",10,"50 kg bag","","No",,,"",,,,,,,,,,,0,,"","Yes","10","50 kg bag","","0",,"",0,,"","0","",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","Yes","No",,"No",,"No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,"No","No","No","No"
"25-98-38-14","MAIZE","2","No","No",,,"",,,,"",,,,,,,,,,,,,"","Yes","15","50 kg bag","",,,"",,,"",,"",,"","No",,,,,,,,,,"",,,,,,,,,"No",,"Yes","No",,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,"No","No","No","No"
"25-98-38-14","MILLET/MAIWA","1","No","No",,,"",,,,"",,,,,,,,,,,,,"","Yes","3","50 kg bag","",,,"",,,"",,"",,"","No",,,,,,,,,,"",,,,,,,,,"No","Yes","No","No",,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,"No","No","No","No"
"88-90-25-85","BEANS/COWPEA","0.3","Yes","Yes",25,"Kilograms","","No",,,"",,,,,,,,,,,25,"Kilograms","","Yes","25","Kilograms","","0",,"",0,,"","0","",,"","No",,,,,,,,,,"",,,,,,,,,"No",,"No","No","Yes","No","No","No","No","No",,"No","No","No","No","No","No","No","No","No","No",,,,,,,,"No","No","No","No"
"88-90-25-85","MAIZE","3","No","Yes",6,"50 kg bag","","No",,,"",,,,,,,,,,,6,"50 kg bag","","Yes","6","50 kg bag","","0",,"",0,,"","0","",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","No","No","No","Yes",,"No","No","No",,"No","No","No","No","No","No","No","No","No","No",,,,,,,,"No","No","No","No"
"35-03-03-59","MAIZE","2","Yes","Yes",5,"50 kg bag","","No",,,"",,,,,,,,,,,5,"50 kg bag","","Yes","5","50 kg bag","","0",,"",0,,"","0","",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","No","No","No",,"No",,"No","No","Yes","No","No","No","No","No","No","No","No","No","No",,,,,,,,"No","No","No","No"
"35-03-03-59","MILLET/MAIWA","2","Yes","Yes",6,"50 kg bag","","No",,,"",,,,,,,,,,,6,"50 kg bag","","Yes","6","50 kg bag","","0",,"",0,,"","0","",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","No","No","No","No","No","Yes","No","No",,"No","No",,"No","No","No","No","No","No","No",,,,,,,,"No","No","No","No"
"63-25-21-02","MAIZE","1","No","Yes",0,,"",,,,"",,,,,,,,,,,,,"","No",,,"",,,"",,,"",,"",,"","No",,,,,,,,,,"",,,,,,,,,"No","No",,"No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,"Yes",,,,"No","No","No","No"
"08-07-30-74","MAIZE","0.1","Yes","Yes",4,"50 kg bag","","No",,,"",,,,,,,,,,,0,,"","Yes","4","50 kg bag","","0",,"",0,,"","0","",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","Yes","No",,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,"No","No","No","No"
"08-07-30-74","MILLET/MAIWA","2","No","No",,,"",,,,"",,,,,,,,,,,,,"","Yes","7","50 kg bag","",,,"",,,"",,"",,"","No",,,,,,,,,,"",,,,,,,,,,"No","No",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,"No","No","No","No"
"97-46-11-48","MAIZE","4","No","No",,,"",,,,"",,,,,,,,,,,,,"","Yes","30","50 kg bag","",,,"",,,"",,"",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","Yes","No","No","No","No",,"No","No",,"No","No","No","No","No","No","No","No","No","No",,,,,,,,"No","No","No","Yes"
"55-14-49-61","GREEN VEGETABLE","0.01","No","Yes",-88,,"",,,,"",,,,,,,,,,,,,"","No",,,"",,,"",,,"",,"",,"","Yes",0,1,0,0,0,0,0,0,0,"","No","No","Yes","No","No","No","No",,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No",,,,,,,,"No","No","No","No"
"32-96-01-37","MAIZE","2","No","Yes",300,"Kilograms","","No",,,"",,,,,,,,,,,1,"50 kg bag","","Yes","250","Kilograms","","0",,"",0,,"","0","",,"","No",,,,,,,,,,"",,,,,,,,,"No","No",,"No",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,"No","No","No","No"
"32-96-01-37","MILLET/MAIWA","2","Yes","Yes",300,"Kilograms","","No",,,"",,,,,,,,,,,0,,"","Yes","300","Kilograms","","0",,"",0,,"","0","",,"","No",,,,,,,,,,"",,,,,,,,,"No","Yes",,"No",,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,"No","No","No","No"
"41-92-38-71","MAIZE","5.2","No","Yes",28,"50 kg bag","","Yes",28,"50 kg bag","",440,"No","Yes","No","No","No","No","No",,,0,,"","No",,,"","0",,"",0,,"","0","",,"","No",,,,,,,,,,"",,,,,,,,,"No","No",,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,"No","No","No","No"
"43-40-50-14","MAIZE","2","No","Yes",16,"50 kg bag","","Yes",16,"50 kg bag","",300,"No","No","Yes","No","No","No","No",,,0,,"","No",,,"","0",,"",0,,"","0","",,"","No",,,,,,,,,,"",,,,,,,,,"No","No",,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,"No","No","No","No"
"33-52-73-44","BEANS/COWPEA","I don't Know","Yes","Yes",3,"50 kg bag","","No",,,"",,,,,,,,,,,3,"50 kg bag","","Yes","0",,"","0",,"",0,,"","0","",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","No","No",,"No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,,,,
"33-52-73-44","GROUND NUT/PEANUTS","I don't Know","Yes","Yes",1,"50 kg bag","","No",,,"",,,,,,,,,,,1,"50 kg bag","","No",,,"","0",,"",0,,"","0","",,"","No",,,,,,,,,,"",,,,,,,,,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,,,,
"33-52-73-44","MAIZE","8","Yes","Yes",15,"50 kg bag","","Yes",9,"50 kg bag","",500,"Yes","No",,"No","No","No","No",,,6,"50 kg bag","","No",,,"","0",,"",0,,"","0","",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,"No","No","No","No"
"33-52-73-44","MILLET/MAIWA","4","Yes","Yes",6,"50 kg bag","","Yes",3,"50 kg bag","",600,,"No","Yes","No","No","No","No",,,3,"50 kg bag","","No",,,"","0",,"",0,,"","0","",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","No","No",,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,"No","No","No","No"
"17-65-44-15","MAIZE","2","No","Yes",10,"50 kg bag","","No",,,"",,,,,,,,,,,3,"50 kg bag","","No",,,"","0",,"",0,,"","0","",,"","No",,,,,,,,,,"",,,,,,,,,,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,"Yes","No","No","No"
"17-65-44-15","MILLET/MAIWA","2","No","No",,,"",,,,"",,,,,,,,,,,,,"","No",,,"",,,"",,,"",,"",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,"Yes",,,"No","No","No","No","No"
"77-00-14-73","MAIZE","3","No","Yes",8,"50 kg bag","","No",,,"",,,,,,,,,,,4,"50 kg bag","","Yes","4","50 kg bag","","0",,"",0,,"","0","",,"","No",,,,,,,,,,"",,,,,,,,,,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,"No","No","No","No"
"77-00-14-73","MILLET/MAIWA","6","No","Yes",9,"50 kg bag","","No",,,"",,,,,,,,,,,0,,"","Yes","9","50 kg bag","","0",,"",0,,"","0","",,"","No",,,,,,,,,,"",,,,,,,,,,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,"Yes",,,,"No","No","No","No"
"78-98-94-60","PUMPKIN","0.1","No","Yes",3,"Other (please specify)","full canoe","No",,,"",,,,,,,,,,,3,"Other (please specify)","canoe","No",,,"","I don't know",,"",0,,"","I don't know","",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No",,,,,,,,"No","No","No","No"
"45-72-98-81","MAIZE","0.4","No","No",,,"",,,,"",,,,,,,,,,,,,"","No",,,"",,,"",,,"",,"",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,"No","No","No","No"
"02-24-60-64","MAIZE","1","No","No",,,"",,,,"",,,,,,,,,,,,,"","No",,,"",,,"",,,"",,"",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No",,"No","No","No","No","No",,,,"Yes",,,,"No","No","No","No"
"02-24-60-64","MILLET/MAIWA","1","No","No",,,"",,,,"",,,,,,,,,,,,,"","Yes","1","50 kg bag","",,,"",,,"",,"",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","Yes","No","No","No","No","No","No","No",,"No","No","No","No","No","No","No","No","No","No",,,,"Yes",,,"No","No","No","No","No"
"25-08-98-52","MAIZE","0.1","No","No",,,"",,,,"",,,,,,,,,,,,,"","No",,,"",,,"",,,"",,"",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No",,,,,,,,"No","No","No","No"
"46-54-30-66","MAIZE","2","No","Yes",30,"50 kg bag","","Yes",28,"50 kg bag","",200,"Yes","No","No","No","No","No","No",,,2,"50 kg bag","","No",,,"","0",,"",0,,"","0","",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,"No","Yes","No","Yes"
"46-54-30-66","MILLET/MAIWA","2","No","Yes",20,"50 kg bag","","Yes",15,"50 kg bag","",400,"No","No","Yes","No","No","No","No",,,5,"50 kg bag","","No",,,"","0",,"",0,,"","0","",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,"No","Yes","No","Yes"
"46-54-30-66","SORGHUM","2","No","Yes",25,"50 kg bag","","Yes",20,"50 kg bag","",300,"Yes","No","No","No","No","No","No",,,5,"50 kg bag","","No",,,"","0",,"",0,,"","0","",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,"No","Yes","No","Yes"
"19-66-62-79","BEANS/COWPEA","1.5","Yes","Yes",1,"10kg bag","","No",,,"",,,,,,,,,,,1,"10kg bag","","No",,,"","0",,"",0,,"","0","",,"","No",,,,,,,,,,"",,,,,,,,,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,"No","No","No","No"
"19-66-62-79","MAIZE","1.5","Yes","Yes",1,"50 kg bag","","No",,,"",,,,,,,,,,,1,"50 kg bag","","No",,,"","0",,"",0,,"","0","",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,,,,,"No","No","No","No"
"38-52-59-99","MAIZE","4","No","No",,,"",,,,"",,,,,,,,,,,,,"","No",,,"",,,"",,,"",,"",,"","No",,,,,,,,,,"",,,,,,,,,"Yes","No",,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,"Yes",,,,"No","No","No","No"
"18-01-52-21","MAIZE","2","No","No",,,"",,,,"",,,,,,,,,,,,,"","No",,,"",,,"",,,"",,"",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes",,,,,,,"No","No","No","No","No"
"18-01-52-21","MILLET/MAIWA","1","No","No",,,"",,,,"",,,,,,,,,,,,,"","No",,,"",,,"",,,"",,"",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes",,,,,,,"No","No","No","No","No"
"52-91-87-71","MAIZE","1","Yes","No",,,"",,,,"",,,,,,,,,,,,,"","No",,,"",,,"",,,"",,"",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No",,,,"Yes",,,,"No","No","No","No"
"52-91-87-71","PUMPKIN","1","Yes","No",,,"",,,,"",,,,,,,,,,,,,"","No",,,"",,,"",,,"",,"",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No",,,,,,,,"No","No","No","No"
"18-53-78-30","MAIZE","2","Yes","Yes",0,,"",,,,"",,,,,,,,,,,,,"","No",,,"",,,"",,,"",,"",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","Yes","No","No",,,"No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,"Yes",,,,"No","No","No","No"
"18-53-78-30","MILLET/MAIWA","1","Yes","No",,,"",,,,"",,,,,,,,,,,,,"","No",,,"",,,"",,,"",,"",,"","No",,,,,,,,,,"",,,,,,,,,"No","No","Yes",,,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,,,"Yes",,,"No","No","No","No","No"
