interview__key,s9_respondent,food_security__1,food_security__2,food_security__3,food_security__4,food_security__5,food_security__6,food_security__7,food_security__8,food_sufficent,food_sufficent2,food_sufficent3,food_sufficent4__1,food_sufficent4__2,food_sufficent4__3,food_sufficent4__4,food_sufficent4__5,food_sufficent4__6,food_sufficent4__7,food_sufficent4__8,food_sufficent4__9,food_sufficent4__10,food_sufficent4__11,food_sufficent4__12
"01-40-66-32",1,"Yes","No","No","Yes","No","Yes","Yes","Yes",0,5,3,0,0,0,0,1,2,3,0,0,0,0,0
"13-26-58-11",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,0,6,1,6,0,2,0,0,3,0,4,5,0,0
"53-48-83-71",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,6,6,1,2,3,4,5,0,0,0,0,0,0,0
"27-13-62-90",2,"Yes","Yes","No","Yes","No","Yes","Yes","Yes",0,0,0,,,,,,,,,,,,
"85-22-01-46",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",0,6,6,1,3,2,4,5,6,0,0,0,0,0,0
"69-98-12-23",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",5,6,5,1,2,3,0,0,0,0,0,0,0,0,0
"13-16-89-71",1,"Yes","No","No","No","No","Yes","No","No",0,12,1,1,0,0,0,0,0,0,0,0,0,0,0
"56-66-41-20",2,"Yes","Yes","Yes","Yes","No","Yes","Yes","No",4,2,2,0,0,0,0,0,2,0,0,0,1,0,0
"81-47-86-65",1,"Yes","No","Yes","Yes","No","Yes","No","Yes",0,2,1,0,0,0,0,0,0,0,0,0,1,0,0
"93-67-97-18",1,"Yes","No","Yes","Yes","No","Yes","Yes","Yes",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"38-26-42-37",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",7,6,3,1,2,3,0,0,0,0,0,0,0,0,0
"05-99-34-61",2,"No","No","No","No","No","No","No","No",2,12,0,,,,,,,,,,,,
"82-77-34-88",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,1,11,1,2,3,4,5,6,7,8,9,10,0,11
"58-42-23-81",1,"No","No","Yes","Yes","Yes","No","No","Yes",1,11,1,1,0,0,0,0,0,0,0,0,0,0,0
"41-08-83-81",1,"Yes","No","Yes","Yes","Yes","No","No","No",0,6,1,0,0,0,1,0,0,0,0,0,0,0,0
"37-72-45-16",1,"Yes","No","No","No","No","No","No","No",0,1,2,1,0,0,2,0,0,0,0,0,0,0,0
"86-82-46-77",3,"Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",5,4,3,1,2,0,0,0,0,0,3,0,0,0,0
"35-59-75-62",2,"Yes","No","No","No","No","Yes","No","No",12,12,1,0,0,0,1,0,0,0,0,0,0,0,0
"31-89-28-30",3,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",4,2,6,1,2,3,0,0,0,0,0,0,0,0,0
"61-82-08-02",2,"Yes","No","No","Yes","No","Yes","Yes","No",0,10,2,1,2,0,0,0,0,0,0,0,0,0,0
"67-96-75-77",2,"Yes","No","No","No","No","Yes","No","No",2,6,8,1,2,3,4,5,6,7,8,0,0,0,0
"19-03-14-53",2,"No","No","No","No","No","No","No","No",0,0,0,,,,,,,,,,,,
"12-01-31-29",3,"No","No","No","No","No","No","No","No",12,12,1,1,0,0,0,0,0,0,0,0,0,0,0
"16-72-17-16",2,"Yes","No","No","No","No","Yes","No","No",4,5,4,0,0,0,1,0,0,0,2,0,3,4,0
"38-21-18-12",2,"Yes","No","No","No","No","No","No","Yes",0,1,11,9,8,10,7,6,5,11,4,0,1,2,3
"75-80-02-90",12,"Yes","No","No","Yes","No","Yes","No","Yes",12,12,1,1,0,0,0,0,0,0,0,0,0,0,0
"43-41-21-85",1,"Yes","Yes","Yes","No","Yes","Yes","Yes","No",0,1,4,0,0,1,2,0,0,0,3,0,0,0,4
"66-22-88-29",1,"Yes","Yes","No","Yes","No","Yes","No","No",1,1,2,0,0,0,0,0,0,0,1,2,0,0,0
"42-66-53-78",2,"Yes","No","No","Yes","No","No","No","No",0,0,6,1,0,2,3,4,5,0,0,0,0,0,0
"19-23-31-06",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,3,2,1,2,0,0,0,0,0,0,0,0,0,0
"62-33-60-14",2,"Yes","No","No","No","No","Yes","No","Yes",12,12,0,,,,,,,,,,,,
"89-36-04-43",2,"Yes","No","No","No","No","No","No","No",0,3,3,1,2,0,0,0,0,0,0,0,0,3,0
"87-86-68-37",2,"No","No","No","No","No","No","No","No",0,8,2,1,2,0,0,0,0,0,0,0,0,0,0
"12-94-76-31",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,2,10,0,1,2,3,4,5,6,7,8,9,10,0
"25-74-03-84",2,"No","No","No","No","No","No","No","No",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"98-23-98-25",2,"Yes","No","Yes","Yes","Yes","No","No","No",12,12,2,1,0,0,0,0,0,0,0,0,0,0,2
"01-01-07-49",1,"No","No","Yes","Yes","Yes","No","No","No",0,5,3,1,2,3,0,0,0,0,0,0,0,0,0
"05-21-83-90",1,"Yes","Yes","Yes","Yes","Yes","No","No","No",3,4,0,,,,,,,,,,,,
"77-16-48-10",1,"No","Yes","Yes","Yes","Yes","Yes","Yes","No",0,2,7,1,2,0,4,3,0,0,5,0,6,7,0
"75-23-18-05",1,"No","No","No","No","No","No","No","No",10,10,0,,,,,,,,,,,,
"83-84-60-99",1,"No","No","No","No","No","No","No","No",3,3,5,1,2,3,4,0,0,0,0,0,0,0,5
"56-18-51-85",1,"No","No","No","No","No","No","No","No",0,0,0,,,,,,,,,,,,
"26-38-66-11",1,"Yes","No","No","No","Yes","No","Yes","No",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"46-68-27-34",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,2,2,1,2,0,0,0,0,0,0,0,0,0,0
"78-16-14-09",4,"Yes","Yes","Yes","Yes","Yes","No","Yes","No",2,2,2,1,2,0,0,0,0,0,0,0,0,0,0
"01-32-09-43",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",3,3,3,0,0,0,0,0,0,0,1,2,3,0,0
"11-29-18-58",2,"Yes","No","Yes","Yes","Yes","No","No","Yes",3,3,3,1,2,0,0,0,0,0,0,0,0,0,3
"53-42-47-52",2,"Yes","Yes","Yes","Yes","Yes","No","No","No",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"01-17-72-49",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",4,5,2,1,0,0,0,0,0,0,0,0,0,0,2
"40-86-48-02",1,"No","No","No","No","No","No","Yes","No",11,12,2,1,2,0,0,0,0,0,0,0,0,0,0
"67-11-34-32",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,3,8,1,2,3,0,0,0,0,4,5,6,7,8
"47-85-49-06",2,"No","No","No","No","No","No","No","No",10,12,0,,,,,,,,,,,,
"68-03-09-51",2,"Yes","No","No","Yes","No","No","No","No",0,0,2,1,0,0,0,2,0,0,0,0,0,0,0
"14-68-63-82",1,"No","No","No","No","No","No","Yes","No",11,12,2,0,0,0,1,2,0,0,0,0,0,0,0
"80-91-19-12",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",7,2,3,1,2,0,0,0,0,0,0,0,0,0,0
"25-98-38-14",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",5,5,2,1,0,0,0,0,0,0,0,0,0,0,2
"50-33-61-65",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,6,4,1,0,0,0,0,0,0,0,4,2,3,0
"88-90-25-85",2,"Yes","No","Yes","No","Yes","No",,"No",3,3,3,0,0,0,0,0,0,0,1,2,3,0,0
"04-83-20-68",2,"Yes","No","No","No","No","No","No","No",2,2,3,1,2,3,0,0,0,0,0,0,0,0,0
"09-59-67-21",4,"No","No","No","No","No","No","Yes","No",11,11,6,1,2,0,0,0,0,0,0,5,4,3,0
"35-03-03-59",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",3,3,3,1,0,0,0,0,0,0,0,0,0,2,3
"10-50-64-24",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,4,2,1,2,0,0,0,0,0,0,0,0,0,0
"13-56-95-25",6,"No","No","No","No","No","No","Yes","No",10,12,2,1,2,0,0,0,0,0,0,0,0,0,0
"36-88-00-01",2,"No","No","No","No","No","No","No","No",0,0,2,1,0,0,0,0,0,0,0,0,0,0,2
"63-25-21-02",2,"No","No","No","No","No","No","No","No",3,3,1,1,0,0,0,0,0,0,0,0,0,0,0
"08-07-30-74",3,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",6,6,3,1,2,0,0,0,0,0,0,0,0,0,3
"18-39-69-08",2,"Yes","Yes","Yes","No","Yes","No","No","No",0,10,2,1,0,0,0,0,0,0,0,0,0,2,0
"97-46-11-48",1,"Yes","No","No","No","No","No","Yes","No",8,6,2,1,0,0,0,0,0,0,0,0,0,0,2
"12-85-99-43",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,4,5,3,4,5,0,0,0,0,0,0,0,1,2
"55-14-49-61",1,"Yes","Yes","No","Yes","No","Yes","No","Yes",12,12,0,,,,,,,,,,,,
"94-26-98-86",1,"Yes","No","No","No","No","No","No","No",0,8,3,1,2,3,0,0,0,0,0,0,0,0,0
"32-96-01-37",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",3,7,2,1,2,0,0,0,0,0,0,0,0,0,0
"41-92-38-71",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,0,12,1,2,3,4,5,6,7,8,9,10,11,12
"43-40-50-14",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",8,8,4,3,4,0,0,0,0,0,0,0,0,1,2
"33-52-73-44",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",12,12,0,,,,,,,,,,,,
"17-65-44-15",1,"Yes","No","No","Yes","Yes","Yes","Yes","Yes",8,7,5,0,0,0,0,1,0,2,0,5,4,3,0
"77-00-14-73",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,4,2,0,0,0,0,0,0,0,0,0,0,1,2
"78-98-94-60",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,11,1,0,0,0,0,1,0,0,0,0,0,0,0
"50-51-12-24",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",6,6,3,1,2,3,0,0,0,0,0,0,0,0,0
"45-72-98-81",1,"No","Yes","No","Yes","No","No","No","No",4,8,0,,,,,,,,,,,,
"98-20-22-18",2,"Yes","No","No","Yes","Yes","Yes","No","Yes",3,12,1,0,0,0,1,0,0,0,0,0,0,0,0
"12-87-62-64",1,"Yes","No","No","Yes","Yes","Yes","Yes","No",0,5,6,4,0,0,0,0,0,0,0,0,1,2,3
"02-24-60-64",1,"Yes","No","Yes","Yes","Yes","Yes","Yes","Yes",2,8,3,0,0,1,2,3,0,0,0,0,0,0,0
"35-93-85-84",1,"Yes","No","No","Yes","No","Yes","No","Yes",4,12,2,0,0,0,1,2,0,0,0,0,0,0,0
"25-08-98-52",2,"Yes","No","No","Yes","No","Yes","Yes","Yes",0,12,0,,,,,,,,,,,,
"46-54-30-66",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",5,5,1,0,0,0,0,0,0,0,0,0,0,0,1
"19-66-62-79",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",1,1,11,7,8,9,10,11,0,1,2,3,4,5,6
"38-52-59-99",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",6,6,3,0,0,0,0,0,0,0,0,0,1,2,3
"18-01-52-21",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",1,1,10,1,0,0,2,3,4,5,6,7,8,9,10
"52-91-87-71",1,"Yes","Yes","No","Yes","No","Yes","No","Yes",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"86-58-98-12",1,"No","Yes","Yes","No","No","No","No","No",1,2,0,,,,,,,,,,,,
"18-53-78-30",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",3,6,3,1,2,0,0,0,0,0,0,0,3,0,0
"21-70-10-93",2,"No","No","No","Yes","No","No","No","No",1,12,0,,,,,,,,,,,,
"51-51-64-02",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",6,8,4,1,2,3,0,0,0,0,0,0,0,0,4
"65-04-27-87",2,"No","No","No","Yes","Yes","No","No","No",8,8,4,2,3,4,0,0,0,0,0,0,0,0,1
"26-67-17-34",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,1,3,4,0,0,0,0,0,0,1,2,3,0,0
"12-55-61-25",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",1,1,2,0,0,0,0,0,0,1,2,0,0,0,0
"70-21-00-12",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,6,4,0,1,2,3,4,0,0,0,0,0,0,0
"09-96-00-56",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",3,3,9,8,9,0,0,0,1,2,3,4,5,6,7
"93-46-32-90",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",3,3,3,1,0,0,0,0,0,0,2,3,0,0,0
"39-76-52-63",2,"Yes","Yes","Yes","Yes","Yes","Yes","No","No",3,6,3,1,2,0,0,0,0,0,0,0,0,0,3
"44-39-76-83",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",5,5,5,1,0,0,0,0,0,0,0,2,3,4,5
"57-92-68-31",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",9,10,1,1,2,0,0,0,0,0,0,0,0,0,0
"70-75-80-97",2,"No","No","No","No","No","No","Yes","No",10,10,5,1,3,0,0,2,0,0,0,0,0,0,0
"37-91-43-52",2,"No","No","No","No","No","No","Yes","No",10,10,2,1,2,0,0,0,0,0,0,0,0,0,0
"93-94-95-33",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,3,1,0,0,0,0,1,0,0,0,0,0,0,0
"50-37-72-10",1,"Yes","Yes","Yes","No","No","Yes","Yes","Yes",3,4,2,1,2,0,0,0,0,0,0,0,0,0,0
"29-63-76-51",2,"Yes","No","Yes","Yes","No","Yes","Yes","Yes",0,0,10,0,1,2,0,0,0,0,0,0,0,0,0
"71-36-35-44",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,2,2,1,0,0,0,0,0,0,0,0,0,0,2
"20-65-14-78",1,"No","No","No","No","No","No","No","No",0,0,2,1,2,0,0,0,0,0,0,0,0,0,0
"60-95-57-22",2,"No","No","Yes","No","No","No","No","No",10,6,2,1,2,0,0,0,0,0,0,0,0,0,0
"17-61-49-75",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",5,9,3,3,0,0,0,0,0,0,0,0,1,2,0
"02-95-98-52",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,6,4,0,0,1,2,3,0,0,0,0,0,0,4
"77-54-37-57",3,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",4,5,3,1,0,0,0,0,0,0,0,0,0,3,2
"49-81-42-49",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",6,11,2,1,0,0,0,0,0,0,0,0,0,0,2
"07-97-99-00",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,6,6,5,6,0,0,0,0,0,0,1,2,3,4
"61-38-38-57",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,5,9,8,9,0,0,0,1,2,3,4,5,6,7
"80-45-81-35",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,0,12,1,2,3,4,5,6,7,8,9,10,11,12
"47-70-03-35",1,"Yes","No","Yes","Yes","No","Yes","Yes","Yes",4,12,1,0,0,0,0,0,1,0,0,0,0,0,0
"73-01-72-24",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",5,5,3,1,2,4,5,0,0,0,0,0,0,0,3
"70-18-85-80",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",6,7,4,1,0,0,0,0,0,0,0,2,3,4,0
"59-96-51-48",3,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",4,6,2,1,2,0,0,0,0,0,0,0,0,0,0
"47-24-68-80",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",6,6,3,1,2,3,0,0,0,0,0,0,0,0,0
"98-95-69-34",1,"No","No","No","Yes","No","Yes","No","No",10,7,2,1,2,0,0,0,0,0,0,0,0,0,0
"94-61-58-26",3,"Yes","No","No","Yes","Yes","No","No","Yes",10,8,4,1,2,0,0,0,0,0,0,0,0,3,4
"84-70-48-38",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,1,10,0,0,1,2,8,4,5,6,3,7,0,0
"46-07-52-30",2,"No","No","No","No","No","No","No","No",12,6,0,,,,,,,,,,,,
"65-50-88-07",1,"Yes","Yes","Yes","No","Yes","Yes","No","No",6,7,2,0,0,0,0,0,0,0,0,0,0,1,2
"05-43-02-62",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",5,11,1,1,0,0,0,0,0,0,0,0,0,0,0
"83-84-84-67",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,1,3,1,2,0,0,0,0,0,0,0,0,0,0
"16-35-19-29",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,0,12,1,2,3,4,5,6,7,8,9,10,11,12
"83-90-14-37",1,"Yes","No","Yes","Yes","Yes","Yes","Yes","Yes",3,3,9,1,2,3,7,0,0,0,9,6,5,4,8
"56-16-94-47",1,"Yes","No","Yes","No","No","No","No","Yes",5,5,5,3,4,5,0,0,0,0,0,0,0,1,2
"16-24-71-47",1,"Yes","No","No","Yes","No","Yes","No","No",1,12,1,1,0,0,0,0,0,0,0,0,0,0,0
"22-33-09-47",1,"Yes","No","No","Yes","Yes","Yes","Yes","Yes",0,3,2,0,0,1,2,0,0,0,0,0,0,0,0
"89-17-95-50",1,"Yes","Yes","Yes","No","No","No","No","No",4,3,1,1,0,0,0,0,0,0,0,0,0,0,0
"71-12-87-82",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,6,5,1,0,0,0,0,0,0,0,2,3,4,5
"93-78-86-25",1,"Yes","No","Yes","Yes","Yes","Yes","Yes","Yes",0,8,4,1,0,3,2,0,0,0,0,0,0,0,4
"34-03-26-96",3,"Yes","Yes","Yes","Yes","No","Yes","Yes","Yes",6,3,4,1,2,3,4,0,0,0,0,0,0,0,0
"83-62-75-30",1,"No","No","No","No","No","No","No","No",12,8,0,,,,,,,,,,,,
"39-30-68-16",1,"No","No","No","No","No","No","No","No",0,3,1,0,0,0,0,1,0,0,0,0,0,0,0
"25-67-10-82",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",12,12,12,1,2,5,3,4,6,7,8,9,10,11,12
"87-90-13-56",2,"Yes","No","Yes","Yes","Yes","Yes","Yes","Yes",2,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"38-81-07-74",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,5,6,1,2,0,0,0,0,0,0,0,4,3,5
"29-17-63-12",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",3,5,3,1,2,3,0,0,0,0,0,0,0,0,0
"09-87-36-18",3,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",3,3,3,1,0,0,0,0,0,0,0,0,0,2,3
"37-47-43-04",3,"Yes","Yes","Yes","Yes","Yes","No","Yes","Yes",3,5,2,0,0,0,0,0,0,0,0,1,2,0,0
"19-94-92-45",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",6,8,4,3,0,0,0,0,0,0,0,0,1,4,2
"01-51-77-20",3,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",3,3,3,0,0,0,0,0,1,2,3,0,0,0,0
"14-21-66-73",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",3,3,9,6,7,8,9,0,0,0,1,2,3,4,5
"10-12-38-23",1,"No","No","No","No","No","No","Yes","Yes",8,11,5,1,2,3,5,4,0,0,0,0,0,0,0
"06-71-23-79",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,2,12,1,2,3,4,5,6,7,8,9,10,11,12
"09-86-92-43",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",5,6,12,1,2,3,4,5,6,12,7,11,8,9,10
"65-52-71-81",2,"Yes","Yes","Yes","Yes","Yes","Yes","No","Yes",7,10,2,1,2,0,0,0,0,0,0,0,0,0,0
"88-09-14-40",1,"No","No","No","No","No","No","Yes","Yes",11,11,4,3,0,0,0,0,0,0,2,1,0,0,0
"51-32-55-02",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,0,12,1,2,3,0,4,5,7,6,8,9,10,11
"25-85-18-57",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,3,2,1,2,0,0,0,4,5,6,7,8,9,3
"08-01-73-79",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,4,2,0,0,0,0,0,1,2,0,0,0,0,0
"30-31-42-54",1,"No","No","No",,"Yes","Yes","Yes","Yes",5,6,5,1,2,0,0,0,0,0,0,3,4,5,6
"59-41-41-82",2,"Yes","No","No","Yes","No","No","No","No",5,6,2,1,2,0,0,0,0,0,0,0,0,0,0
"86-80-66-75",3,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",5,6,2,0,0,0,0,0,0,0,0,0,1,2,0
"36-82-19-46",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,6,12,1,2,4,3,12,11,10,9,8,7,6,5
"87-16-84-48",3,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",5,6,3,1,0,0,0,0,0,0,0,0,3,2,0
"85-15-56-74",2,"Yes","No","No","Yes","No","Yes","Yes","Yes",10,12,1,1,0,0,0,0,0,0,0,0,0,0,0
"99-52-45-97",1,"No","No","Yes","Yes","No","No","No","No",12,10,1,1,0,0,0,0,0,0,0,0,0,0,0
"22-42-05-31",2,"Yes","No","Yes","No","No","No","Yes","No",0,0,0,,,,,,,,,,,,
"17-88-76-49",1,"Yes","Yes","No","Yes","No","Yes",,"Yes",0,3,7,1,2,0,0,0,0,0,3,4,5,6,7
"95-93-26-61",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",3,3,2,0,0,0,0,0,0,0,0,0,1,2,0
"66-25-20-13",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",3,3,4,1,2,0,0,0,0,0,3,0,0,0,4
"56-49-46-49",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",9,10,0,,,,,,,,,,,,
"00-63-35-41",1,"No","No","No","No","No","No","No","No",12,12,0,,,,,,,,,,,,
"35-73-88-21",1,"No","No","No","No","No","No","No","No",11,0,0,,,,,,,,,,,,
"90-22-40-74",1,"Yes","No","No","Yes","No","Yes","Yes","Yes",0,2,7,1,3,2,4,5,6,0,0,7,0,0,0
"71-58-33-81",2,"Yes","No","No","Yes","No","No","No","No",0,0,3,1,0,0,0,2,3,0,0,0,0,0,0
"85-67-71-58",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",3,1,3,0,0,0,0,0,0,0,0,0,2,3,1
"01-61-71-69",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",4,4,4,0,0,0,0,0,0,1,2,3,4,0,0
"75-50-19-75",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",6,7,12,0,0,0,0,0,0,0,0,1,2,0,0
"89-26-96-48",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,2,2,1,0,0,0,0,0,0,0,0,0,2,0
"73-20-13-57",1,"Yes","Yes","Yes","Yes","Yes","No","No","No",0,5,7,0,0,0,0,6,1,2,3,4,5,7,0
"55-53-09-17",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",0,2,2,2,0,0,0,1,0,0,0,0,0,0,0
"16-20-70-88",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",3,8,4,0,0,0,0,3,0,2,0,0,1,4,0
"14-74-46-71",1,"Yes","Yes","No","Yes","No","Yes","No","Yes",1,12,1,1,0,0,0,0,0,0,0,0,0,0,0
"15-43-32-03",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",4,6,4,1,2,3,0,0,0,0,0,0,0,0,4
"62-79-94-11",1,"Yes","No","No","No","No","Yes","No","Yes",6,12,0,,,,,,,,,,,,
"74-11-35-62",1,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",7,7,5,3,4,5,6,0,0,0,0,0,0,1,2
"07-05-49-00",1,"No","No","No","No","No","No","No","No",3,3,1,1,0,0,0,0,0,0,0,0,0,0,0
"12-21-07-33",2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",1,1,6,6,0,0,0,0,0,0,1,2,3,4,5
"23-59-76-04",2,"Yes","Yes","Yes","Yes","Yes","No","Yes","Yes",6,9,1,1,0,0,0,0,0,0,0,0,0,0,0
