interview__key,conseration_agri,conserve_know,practise_ca,future_like_ca,why_future_ca_1__1,why_future_ca_1__2,why_future_ca_1__3,why_future_ca_1__96,why_future_ca_1_other,why_future_ca_2__1,why_future_ca_2__2,why_future_ca_2__3,why_future_ca_2__4,why_future_ca_2__5,why_future_ca_2__96,why_future_ca_2_other
"35-59-75-62","No","No","No",,,,,,"",,,,,,,""
"31-89-28-30","Yes","No","No",,,,,,"",,,,,,,""
"61-82-08-02","No","No","No",,,,,,"",,,,,,,""
"67-96-75-77","No","No","No",,,,,,"",,,,,,,""
"19-03-14-53","No","No","No",,,,,,"",,,,,,,""
"12-01-31-29","Yes","No","No",,,,,,"",,,,,,,""
"16-72-17-16","Yes","No","No",,,,,,"",,,,,,,""
"38-21-18-12","No","No","No",,,,,,"",,,,,,,""
"75-80-02-90","No","No","No",,,,,,"",,,,,,,""
"43-41-21-85","No","No","No",,,,,,"",,,,,,,""
"66-22-88-29","No","No","No",,,,,,"",,,,,,,""
"42-66-53-78","No","No","No",,,,,,"",,,,,,,""
"19-23-31-06","No","No","No",,,,,,"",,,,,,,""
"62-33-60-14","No","No","No",,,,,,"",,,,,,,""
"89-36-04-43","Yes","No","No",,,,,,"",,,,,,,""
"87-86-68-37","No","No","No",,,,,,"",,,,,,,""
"12-94-76-31","Yes","No","No",,,,,,"",,,,,,,""
"25-74-03-84","Yes","No","No",,,,,,"",,,,,,,""
"98-23-98-25","Yes","Yes","No",,,,,,"",,,,,,,""
"01-01-07-49","No","No","No",,,,,,"",,,,,,,""
"05-21-83-90","Yes","Yes","Yes",,,,,,"",,,,,,,""
"77-16-48-10","Yes","Yes","No",,,,,,"",,,,,,,""
"75-23-18-05","No","No","No",,,,,,"",,,,,,,""
"83-84-60-99","No","No","No",,,,,,"",,,,,,,""
"56-18-51-85","Yes","Yes","No",,,,,,"",,,,,,,""
"26-38-66-11","Yes","Yes","No",,,,,,"",,,,,,,""
"46-68-27-34","No","No","No",,,,,,"",,,,,,,""
"78-16-14-09","No","No","No",,,,,,"",,,,,,,""
"01-32-09-43","No","No","No",,,,,,"",,,,,,,""
"11-29-18-58","No","No","No",,,,,,"",,,,,,,""
"53-42-47-52","No","No","No",,,,,,"",,,,,,,""
"01-17-72-49","No","No","No",,,,,,"",,,,,,,""
"40-86-48-02","No","No","No",,,,,,"",,,,,,,""
"67-11-34-32","No","No","No",,,,,,"",,,,,,,""
"47-85-49-06","No","No","No",,,,,,"",,,,,,,""
"68-03-09-51","No","No","No",,,,,,"",,,,,,,""
"14-68-63-82","No","No","No",,,,,,"",,,,,,,""
"80-91-19-12","Yes","No","Yes",,,,,,"",,,,,,,""
"25-98-38-14","Yes","Yes","Yes",,,,,,"",,,,,,,""
"50-33-61-65","Yes","No","No",,,,,,"",,,,,,,""
"88-90-25-85","No","No","No",,,,,,"",,,,,,,""
"04-83-20-68","Yes","No","No",,,,,,"",,,,,,,""
"09-59-67-21","No","No","No",,,,,,"",,,,,,,""
"35-03-03-59","No","No","No",,,,,,"",,,,,,,""
"10-50-64-24","No","No","No",,,,,,"",,,,,,,""
"13-56-95-25","Yes","No","No",,,,,,"",,,,,,,""
"36-88-00-01","No","No","No",,,,,,"",,,,,,,""
"63-25-21-02","Yes","Yes","Yes",,,,,,"",,,,,,,""
"08-07-30-74","Yes","Yes","No",,,,,,"",,,,,,,""
"18-39-69-08","Yes","No","No",,,,,,"",,,,,,,""
"97-46-11-48","No","No","No",,,,,,"",,,,,,,""
"12-85-99-43","No","No","No",,,,,,"",,,,,,,""
"55-14-49-61","No","No","No",,,,,,"",,,,,,,""
"94-26-98-86","Yes","No","No",,,,,,"",,,,,,,""
"32-96-01-37","Yes","No","No",,,,,,"",,,,,,,""
"41-92-38-71","No","No","No",,,,,,"",,,,,,,""
"43-40-50-14","Yes","No","No",,,,,,"",,,,,,,""
"33-52-73-44","No","No","No",,,,,,"",,,,,,,""
"17-65-44-15","No","No","No",,,,,,"",,,,,,,""
"77-00-14-73","No","No","No",,,,,,"",,,,,,,""
"78-98-94-60","No","No","No",,,,,,"",,,,,,,""
"50-51-12-24","No","No","No",,,,,,"",,,,,,,""
"45-72-98-81","No","No","No",,,,,,"",,,,,,,""
"98-20-22-18","Yes","No","No",,,,,,"",,,,,,,""
"12-87-62-64","Yes","Yes","Yes",,,,,,"",,,,,,,""
"02-24-60-64","Yes","No","No",,,,,,"",,,,,,,""
"35-93-85-84","No","No","No",,,,,,"",,,,,,,""
"25-08-98-52","No","No","No",,,,,,"",,,,,,,""
"46-54-30-66","Yes","Yes","Yes",,,,,,"",,,,,,,""
"19-66-62-79","No","No","No",,,,,,"",,,,,,,""
"38-52-59-99","No","No","No",,,,,,"",,,,,,,""
"18-01-52-21","No","No","No",,,,,,"",,,,,,,""
"52-91-87-71","No","No","No",,,,,,"",,,,,,,""
"86-58-98-12","Yes","No","No",,,,,,"",,,,,,,""
"18-53-78-30","No","No","No",,,,,,"",,,,,,,""
"21-70-10-93","No","No","No",,,,,,"",,,,,,,""
"51-51-64-02","Yes","Yes","Yes",,,,,,"",,,,,,,""
"65-04-27-87","Yes","No","No",,,,,,"",,,,,,,""
"26-67-17-34","No","No","No",,,,,,"",,,,,,,""
"12-55-61-25","Yes","No","No",,,,,,"",,,,,,,""
"70-21-00-12","No","No","No",,,,,,"",,,,,,,""
"09-96-00-56","No","No","No",,,,,,"",,,,,,,""
"93-46-32-90","No","No","No",,,,,,"",,,,,,,""
"39-76-52-63","No","No","No",,,,,,"",,,,,,,""
"44-39-76-83","Yes","No","No",,,,,,"",,,,,,,""
"57-92-68-31","No","No","No",,,,,,"",,,,,,,""
"70-75-80-97","No","No","No",,,,,,"",,,,,,,""
"37-91-43-52","No","No","No",,,,,,"",,,,,,,""
"93-94-95-33","Yes","Yes","Yes",,,,,,"",,,,,,,""
"50-37-72-10","Yes","No","No",,,,,,"",,,,,,,""
"29-63-76-51","Yes","No","No",,,,,,"",,,,,,,""
"71-36-35-44","No","No","No",,,,,,"",,,,,,,""
"20-65-14-78","No","No","No",,,,,,"",,,,,,,""
"60-95-57-22","Yes","No","No",,,,,,"",,,,,,,""
"17-61-49-75","Yes","Yes","Yes",,,,,,"",,,,,,,""
"02-95-98-52","No","No","No",,,,,,"",,,,,,,""
"77-54-37-57","No","No","No",,,,,,"",,,,,,,""
"49-81-42-49","No","No","No",,,,,,"",,,,,,,""
"07-97-99-00","Yes","No","No",,,,,,"",,,,,,,""
"61-38-38-57","No","No","No",,,,,,"",,,,,,,""
"80-45-81-35","No","No","No",,,,,,"",,,,,,,""
"47-70-03-35","No","No","No",,,,,,"",,,,,,,""
"73-01-72-24","Yes","Yes","Yes",,,,,,"",,,,,,,""
"70-18-85-80","No","No","No",,,,,,"",,,,,,,""
"59-96-51-48","No","No","No",,,,,,"",,,,,,,""
"47-24-68-80","No","No","No",,,,,,"",,,,,,,""
"98-95-69-34","No","No","No",,,,,,"",,,,,,,""
"94-61-58-26","No","No","No",,,,,,"",,,,,,,""
"84-70-48-38","No","No","No",,,,,,"",,,,,,,""
"46-07-52-30","Yes","No","No",,,,,,"",,,,,,,""
"65-50-88-07","Yes","No","No",,,,,,"",,,,,,,""
"05-43-02-62","Yes","Yes","Yes",,,,,,"",,,,,,,""
"83-84-84-67","Yes","Yes","No",,,,,,"",,,,,,,""
"16-35-19-29","Yes","No","No",,,,,,"",,,,,,,""
"83-90-14-37","No","No","No",,,,,,"",,,,,,,""
"56-16-94-47","No","No","No",,,,,,"",,,,,,,""
"16-24-71-47","No","No","No",,,,,,"",,,,,,,""
"22-33-09-47","Yes","Yes","Yes",,,,,,"",,,,,,,""
"89-17-95-50","Yes","Yes","Yes",,,,,,"",,,,,,,""
"71-12-87-82","No","No","No",,,,,,"",,,,,,,""
"93-78-86-25","No","No","No",,,,,,"",,,,,,,""
"34-03-26-96","No","No","No",,,,,,"",,,,,,,""
"83-62-75-30","No","No","No",,,,,,"",,,,,,,""
"39-30-68-16","Yes","No","No",,,,,,"",,,,,,,""
"25-67-10-82","Yes","No","No",,,,,,"",,,,,,,""
"87-90-13-56","No","No","No",,,,,,"",,,,,,,""
"38-81-07-74","Yes","Yes","No",,,,,,"",,,,,,,""
"29-17-63-12","Yes","No","No",,,,,,"",,,,,,,""
"09-87-36-18","No","No","No",,,,,,"",,,,,,,""
"37-47-43-04","No","No","No",,,,,,"",,,,,,,""
"19-94-92-45","No","No","Yes",,,,,,"",,,,,,,""
"01-51-77-20","No","No","No",,,,,,"",,,,,,,""
"14-21-66-73","No","No","No",,,,,,"",,,,,,,""
"10-12-38-23","No","No","No",,,,,,"",,,,,,,""
"06-71-23-79","No","No","No",,,,,,"",,,,,,,""
"09-86-92-43","No","No","No",,,,,,"",,,,,,,""
"65-52-71-81","Yes","Yes","Yes",,,,,,"",,,,,,,""
"88-09-14-40","No","No","No",,,,,,"",,,,,,,""
"51-32-55-02","No","No","No",,,,,,"",,,,,,,""
"25-85-18-57","Yes","Yes","No",,,,,,"",,,,,,,""
"08-01-73-79","No","No","No",,,,,,"",,,,,,,""
"30-31-42-54","No","No","No",,,,,,"",,,,,,,""
"59-41-41-82","Yes","Yes","Yes",,,,,,"",,,,,,,""
"86-80-66-75","Yes","No","No",,,,,,"",,,,,,,""
"36-82-19-46","No","No","No",,,,,,"",,,,,,,""
"87-16-84-48","No","No","No",,,,,,"",,,,,,,""
"85-15-56-74","No","No","No",,,,,,"",,,,,,,""
"99-52-45-97","No","No","No",,,,,,"",,,,,,,""
"22-42-05-31","No","No","No",,,,,,"",,,,,,,""
"17-88-76-49","Yes","No","No",,,,,,"",,,,,,,""
"95-93-26-61","No","No","No",,,,,,"",,,,,,,""
"66-25-20-13","Yes","No","No",,,,,,"",,,,,,,""
"56-49-46-49","No","No","No",,,,,,"",,,,,,,""
"00-63-35-41","Yes","No","No",,,,,,"",,,,,,,""
"35-73-88-21","No","No","No",,,,,,"",,,,,,,""
"90-22-40-74","No","No","No",,,,,,"",,,,,,,""
"71-58-33-81","No","No","No",,,,,,"",,,,,,,""
"85-67-71-58","Yes","No","No",,,,,,"",,,,,,,""
"01-61-71-69","No","No","No",,,,,,"",,,,,,,""
"75-50-19-75","No","No","No",,,,,,"",,,,,,,""
"89-26-96-48","No","No","No",,,,,,"",,,,,,,""
"73-20-13-57","Yes","No","Yes",,,,,,"",,,,,,,""
"55-53-09-17","Yes","Yes","No",,,,,,"",,,,,,,""
"16-20-70-88","No","No","No",,,,,,"",,,,,,,""
"14-74-46-71","No","No","No",,,,,,"",,,,,,,""
"15-43-32-03","No","No","No",,,,,,"",,,,,,,""
"62-79-94-11","No","No","No",,,,,,"",,,,,,,""
"74-11-35-62","No","No","No",,,,,,"",,,,,,,""
"07-05-49-00","No","No","No",,,,,,"",,,,,,,""
"12-21-07-33","No","No","No",,,,,,"",,,,,,,""
"23-59-76-04","No","No","No",,,,,,"",,,,,,,""
"93-87-90-66","Yes","No","No",,,,,,"",,,,,,,""
"16-34-09-13","Yes","Yes","Yes",,,,,,"",,,,,,,""
"85-82-50-77","No","No","No",,,,,,"",,,,,,,""
"89-27-41-66","Yes","No","No",,,,,,"",,,,,,,""
"22-81-16-32","No","No","No",,,,,,"",,,,,,,""
"54-44-06-88","No","No","No",,,,,,"",,,,,,,""
"47-49-80-52","No","No","No",,,,,,"",,,,,,,""
"93-73-35-44","Yes","Yes","Yes",,,,,,"",,,,,,,""
"08-77-46-38","No","No","No",,,,,,"",,,,,,,""
"85-57-73-17","No","No","No",,,,,,"",,,,,,,""
"48-05-99-35","No","No","No",,,,,,"",,,,,,,""
"67-13-56-73","No","No","No",,,,,,"",,,,,,,""
"97-33-85-90","No","No","No",,,,,,"",,,,,,,""
"10-54-97-94","No","No","No",,,,,,"",,,,,,,""
"50-35-50-04","No","No","No",,,,,,"",,,,,,,""
"62-96-39-45","No","No","No",,,,,,"",,,,,,,""
"44-55-26-98","No","No","No",,,,,,"",,,,,,,""
"93-47-96-78","No","No","No",,,,,,"",,,,,,,""
"18-43-28-32","Yes","Yes","No",,,,,,"",,,,,,,""
"37-21-15-22","Yes","No","No",,,,,,"",,,,,,,""
"87-15-89-67","No","No","No",,,,,,"",,,,,,,""
"79-26-09-22","No","No","No",,,,,,"",,,,,,,""
"75-05-90-14","No","No","No",,,,,,"",,,,,,,""
"24-85-21-24","No","No","No",,,,,,"",,,,,,,""
"91-48-78-65","No","No","No",,,,,,"",,,,,,,""
"32-52-77-66","No","No","No",,,,,,"",,,,,,,""
"26-89-84-58","No","No","No",,,,,,"",,,,,,,""
"59-38-71-66","Yes","No","No",,,,,,"",,,,,,,""
"02-07-52-84","No","No","No",,,,,,"",,,,,,,""
"77-80-39-86","Yes","Yes","No",,,,,,"",,,,,,,""
"72-51-39-42","No","No","No",,,,,,"",,,,,,,""
"87-64-80-93","No","No","No",,,,,,"",,,,,,,""
"36-99-07-56","No","No","No",,,,,,"",,,,,,,""
"75-89-92-79","No","No","No",,,,,,"",,,,,,,""
"44-34-32-32","No","No","No",,,,,,"",,,,,,,""
"53-52-93-15","No","No","No",,,,,,"",,,,,,,""
"58-35-74-86","No","No","No",,,,,,"",,,,,,,""
"23-82-30-50","No","No","No",,,,,,"",,,,,,,""
"76-76-95-07","No","No","No",,,,,,"",,,,,,,""
"69-18-54-45","No","No","No",,,,,,"",,,,,,,""
"99-14-10-16","Yes","No","Yes",,,,,,"",,,,,,,""
"55-02-31-58","Yes","No","No",,,,,,"",,,,,,,""
"55-65-32-92","No","No","No",,,,,,"",,,,,,,""
"66-00-67-40","Yes","No","No",,,,,,"",,,,,,,""
"41-51-06-54","No","No","No",,,,,,"",,,,,,,""
"07-18-54-62","No","No","No",,,,,,"",,,,,,,""
"73-70-79-76","Yes","No","No",,,,,,"",,,,,,,""
"40-83-72-17","No","No","No",,,,,,"",,,,,,,""
"23-74-18-51","No","No","No",,,,,,"",,,,,,,""
"18-88-43-52","Yes","No","No",,,,,,"",,,,,,,""
"72-37-85-07","No","No","No",,,,,,"",,,,,,,""
"84-90-52-18","No","No","No",,,,,,"",,,,,,,""
"94-23-16-05","No","No","No",,,,,,"",,,,,,,""
"52-32-19-59","Yes","Yes","Yes",,,,,,"",,,,,,,""
"99-83-95-63","No","No","No",,,,,,"",,,,,,,""
"46-29-66-50","Yes","No","No",,,,,,"",,,,,,,""
"82-09-67-93","No","No","No",,,,,,"",,,,,,,""
"53-00-44-01","No","No","No",,,,,,"",,,,,,,""
"34-98-47-22","No","No","No",,,,,,"",,,,,,,""
"78-72-01-35","Yes","No","No",,,,,,"",,,,,,,""
"04-97-48-20","No","No","No",,,,,,"",,,,,,,""
"99-10-52-87","No","No","No",,,,,,"",,,,,,,""
"92-62-56-72","No","No","No",,,,,,"",,,,,,,""
"39-32-10-47","No","No","No",,,,,,"",,,,,,,""
"25-20-66-75","No","Yes","Yes",,,,,,"",,,,,,,""
"98-95-69-84","No","No","No",,,,,,"",,,,,,,""
"18-35-44-26","No","No","No",,,,,,"",,,,,,,""
"59-94-58-22","No","No","No",,,,,,"",,,,,,,""
"40-32-33-96","No","No","No",,,,,,"",,,,,,,""
"18-30-46-42","No","No","No",,,,,,"",,,,,,,""
"42-15-88-64","Yes","Yes","No",,,,,,"",,,,,,,""
"19-83-07-46","No","No","No",,,,,,"",,,,,,,""
"16-76-24-92","No","No","No",,,,,,"",,,,,,,""
"16-98-25-56","No","No","No",,,,,,"",,,,,,,""
"08-81-97-68","Yes","Yes","Yes",,,,,,"",,,,,,,""
"90-75-59-18","Yes","No","No",,,,,,"",,,,,,,""
"01-70-02-35","Yes","No","No",,,,,,"",,,,,,,""
"23-94-09-23","Yes","No","No",,,,,,"",,,,,,,""
"08-72-61-50","No","No","No",,,,,,"",,,,,,,""
"83-59-21-47","No","No","No",,,,,,"",,,,,,,""
"78-07-95-11","No","No","No",,,,,,"",,,,,,,""
"70-58-67-82","Yes","No","No",,,,,,"",,,,,,,""
"47-04-86-67","Yes","No","No",,,,,,"",,,,,,,""
"92-02-45-21","Yes","No","No",,,,,,"",,,,,,,""
"88-75-68-17","No","No","No",,,,,,"",,,,,,,""
"24-82-46-82","No","No","No",,,,,,"",,,,,,,""
"21-42-97-88","Yes","No","Yes",,,,,,"",,,,,,,""
"87-09-20-52","No","No","No",,,,,,"",,,,,,,""
"68-10-75-89","Yes","Yes","Yes",,,,,,"",,,,,,,""
"43-52-85-97","No","No","No",,,,,,"",,,,,,,""
"00-31-45-58","No","No","No",,,,,,"",,,,,,,""
"89-47-55-13","No","No","No",,,,,,"",,,,,,,""
"86-75-09-05","No","No","No",,,,,,"",,,,,,,""
"70-15-38-18","Yes","No","No",,,,,,"",,,,,,,""
"13-43-56-11","No","No","No",,,,,,"",,,,,,,""
"41-78-59-34","No","No","No",,,,,,"",,,,,,,""
"76-42-64-83","No","No","No",,,,,,"",,,,,,,""
"60-08-55-10","Yes","Yes","Yes",,,,,,"",,,,,,,""
"09-76-96-87","No","No","No",,,,,,"",,,,,,,""
"24-13-90-91","No","No","No",,,,,,"",,,,,,,""
"79-64-90-22","No","No","No",,,,,,"",,,,,,,""
"88-15-47-53","Yes","No","No",,,,,,"",,,,,,,""
"74-17-56-50","Yes","Yes","Yes",,,,,,"",,,,,,,""
"65-73-74-13","No","No","No",,,,,,"",,,,,,,""
"78-26-64-75","No","No","No",,,,,,"",,,,,,,""
"57-56-64-78","No","No","No",,,,,,"",,,,,,,""
"79-27-11-92","No","No","No",,,,,,"",,,,,,,""
"01-06-16-47","Yes","Yes","Yes",,,,,,"",,,,,,,""
"80-39-36-38","Yes","No","No",,,,,,"",,,,,,,""
"96-17-52-94","Yes","Yes","No",,,,,,"",,,,,,,""
"67-51-54-29","Yes","No","No",,,,,,"",,,,,,,""
"94-25-30-28","No","No","No",,,,,,"",,,,,,,""
"99-05-99-45","No","No","No",,,,,,"",,,,,,,""
"55-49-77-29","No","No","No",,,,,,"",,,,,,,""
"59-94-70-54","No","No","No",,,,,,"",,,,,,,""
"18-48-78-90","No","No","No",,,,,,"",,,,,,,""
"91-78-23-71","No","No","No",,,,,,"",,,,,,,""
"79-02-43-99","No","No","No",,,,,,"",,,,,,,""
"05-99-22-70","No","No","No",,,,,,"",,,,,,,""
"19-70-78-40","No","No","No",,,,,,"",,,,,,,""
"24-76-11-61","No","No","No",,,,,,"",,,,,,,""
"01-56-68-49","Yes","No","No",,,,,,"",,,,,,,""
"48-81-58-75","No","No","No",,,,,,"",,,,,,,""
"88-17-46-63","No","No","No",,,,,,"",,,,,,,""
"64-24-89-62","No","No","No",,,,,,"",,,,,,,""
"79-97-16-20","No","No","No",,,,,,"",,,,,,,""
"22-78-59-76","No","No","No",,,,,,"",,,,,,,""
"68-66-94-81","No","No","No",,,,,,"",,,,,,,""
"55-05-77-24","Yes","No","No",,,,,,"",,,,,,,""
"96-11-62-92","No","Yes","Yes",,,,,,"",,,,,,,""
"78-34-55-08","Yes","No","No",,,,,,"",,,,,,,""
"62-52-92-33","No","No","No",,,,,,"",,,,,,,""
"11-84-22-34","No","No","No",,,,,,"",,,,,,,""
"75-25-19-33","No","No","No",,,,,,"",,,,,,,""
"25-28-42-89","Yes","Yes","Yes",,,,,,"",,,,,,,""
"17-22-63-49","Yes","No","No",,,,,,"",,,,,,,""
"75-11-04-39","Yes","No","No",,,,,,"",,,,,,,""
"42-13-72-77","No","No","No",,,,,,"",,,,,,,""
"22-71-31-86","Yes","Yes","Yes",,,,,,"",,,,,,,""
"72-79-67-76","No","No","No",,,,,,"",,,,,,,""
"55-61-00-58","Yes","No","No",,,,,,"",,,,,,,""
"83-84-11-33","Yes","No","No",,,,,,"",,,,,,,""
"57-06-39-78","Yes","Yes","Yes",,,,,,"",,,,,,,""
"28-44-47-60","No","No","No",,,,,,"",,,,,,,""
"99-83-86-30","Yes","No","No",,,,,,"",,,,,,,""
"95-87-87-82","Yes","No","No",,,,,,"",,,,,,,""
"51-10-14-61","No","No","No",,,,,,"",,,,,,,""
"38-80-77-22","No","No","No",,,,,,"",,,,,,,""
"32-85-49-35","No","No","No",,,,,,"",,,,,,,""
"67-57-93-16","No","No","No",,,,,,"",,,,,,,""
"66-09-29-33","No","No","No",,,,,,"",,,,,,,""
"88-76-61-78","No","No","No",,,,,,"",,,,,,,""
"45-30-93-43","Yes","No","No",,,,,,"",,,,,,,""
"39-72-47-05","Yes","No","No",,,,,,"",,,,,,,""
"91-78-19-91","Yes","Yes","Yes",,,,,,"",,,,,,,""
"80-88-34-81","Yes","Yes","No",,,,,,"",,,,,,,""
"00-93-28-41","No","No","No",,,,,,"",,,,,,,""
"15-34-12-49","No","No","No",,,,,,"",,,,,,,""
"57-48-46-10","Yes","Yes","Yes",,,,,,"",,,,,,,""
"17-87-43-63","Yes","No","No",,,,,,"",,,,,,,""
"11-23-87-11","No","No","No",,,,,,"",,,,,,,""
"33-90-70-88","No","No","No",,,,,,"",,,,,,,""
"42-88-20-46","Yes","Yes","No",,,,,,"",,,,,,,""
"56-60-42-49","Yes","Yes","No",,,,,,"",,,,,,,""
"06-49-16-95","No","No","No",,,,,,"",,,,,,,""
"14-59-43-81","No","No","No",,,,,,"",,,,,,,""
"43-19-04-75","No","No","No",,,,,,"",,,,,,,""
"25-55-58-39","No","No","No",,,,,,"",,,,,,,""
"56-55-71-21","No","No","No",,,,,,"",,,,,,,""
"26-16-97-29","No","No","No",,,,,,"",,,,,,,""
"94-40-34-45","No","No","No",,,,,,"",,,,,,,""
"57-09-13-31","Yes","No","No",,,,,,"",,,,,,,""
"06-81-92-15","No","No","No",,,,,,"",,,,,,,""
"71-51-46-91","No","No","No",,,,,,"",,,,,,,""
"99-70-86-40","No","No","No",,,,,,"",,,,,,,""
"54-72-28-02","No","No","No",,,,,,"",,,,,,,""
"93-06-95-85","Yes","No","No",,,,,,"",,,,,,,""
"44-70-83-36","No","No","No",,,,,,"",,,,,,,""
"76-32-33-95","No","No","No",,,,,,"",,,,,,,""
"01-38-25-96","No","No","No",,,,,,"",,,,,,,""
"89-39-79-72","No","No","No",,,,,,"",,,,,,,""
"00-49-63-51","No","No","No",,,,,,"",,,,,,,""
"76-58-89-37","No","No","No",,,,,,"",,,,,,,""
"20-56-52-98","No","No","No",,,,,,"",,,,,,,""
"64-47-42-17","No","No","No",,,,,,"",,,,,,,""
"13-81-47-95","No","No","No",,,,,,"",,,,,,,""
"29-99-72-08","Yes","Yes","Yes",,,,,,"",,,,,,,""
"24-83-83-50","No","No","No",,,,,,"",,,,,,,""
"47-22-90-00","Yes","No","Yes",,,,,,"",,,,,,,""
"98-86-29-38","No","No","No",,,,,,"",,,,,,,""
"38-47-12-60","No","No","No",,,,,,"",,,,,,,""
"28-88-27-77","No","No","No",,,,,,"",,,,,,,""
"29-11-74-01","No","No","No",,,,,,"",,,,,,,""
"23-17-08-61","No","No","No",,,,,,"",,,,,,,""
"09-04-42-43","No","No","No",,,,,,"",,,,,,,""
"60-44-87-63","Yes","No","No",,,,,,"",,,,,,,""
"37-91-11-53","No","No","No",,,,,,"",,,,,,,""
"24-83-18-16","Yes","No","No",,,,,,"",,,,,,,""
"43-94-30-73","No","No","No",,,,,,"",,,,,,,""
"98-89-20-76","No","No","No",,,,,,"",,,,,,,""
"18-82-94-56","No","No","Yes",,,,,,"",,,,,,,""
"15-08-96-97","No","No","No",,,,,,"",,,,,,,""
"59-27-01-58","Yes","Yes","Yes",,,,,,"",,,,,,,""
"06-40-81-20","No","No","No",,,,,,"",,,,,,,""
"63-00-59-35","No","No","No",,,,,,"",,,,,,,""
"20-12-20-33","No","No","No",,,,,,"",,,,,,,""
"13-16-46-47","No","No","No",,,,,,"",,,,,,,""
"12-47-95-08","Yes","No","No",,,,,,"",,,,,,,""
"49-36-47-00","Yes","Yes","Yes",,,,,,"",,,,,,,""
"69-98-34-60","No","No","No",,,,,,"",,,,,,,""
"11-55-67-72","Yes","Yes","Yes",,,,,,"",,,,,,,""
"86-18-52-98","Yes","No","No",,,,,,"",,,,,,,""
"59-98-46-38","No","No","No",,,,,,"",,,,,,,""
"87-83-58-77","No","No","No",,,,,,"",,,,,,,""
"15-59-01-11","Yes","Yes","Yes",,,,,,"",,,,,,,""
"74-82-76-84","No","No","No",,,,,,"",,,,,,,""
"08-93-57-76","Yes","No","No",,,,,,"",,,,,,,""
"70-90-57-92","Yes","No","No",,,,,,"",,,,,,,""
"50-31-04-37","No","No","No",,,,,,"",,,,,,,""
"67-02-08-74","No","No","No",,,,,,"",,,,,,,""
"53-15-78-38","No","No","No",,,,,,"",,,,,,,""
"32-33-43-26","No","No","No",,,,,,"",,,,,,,""
"46-04-74-49","Yes","Yes","Yes",,,,,,"",,,,,,,""
"35-13-76-39","No","No","No",,,,,,"",,,,,,,""
"16-06-75-38","No","No","No",,,,,,"",,,,,,,""
"27-27-07-57","No","No","No",,,,,,"",,,,,,,""
"02-68-96-18","No","No","No",,,,,,"",,,,,,,""
"43-77-79-21","No","No","No",,,,,,"",,,,,,,""
"11-26-50-63","No","No","No",,,,,,"",,,,,,,""
"28-01-01-55","No","No","No",,,,,,"",,,,,,,""
"32-20-61-73","Yes","No","No",,,,,,"",,,,,,,""
"20-30-02-96","Yes","No","Yes",,,,,,"",,,,,,,""
"91-05-38-43","Yes","Yes","Yes",,,,,,"",,,,,,,""
"44-19-28-63","Yes","Yes","No",,,,,,"",,,,,,,""
"72-93-96-93","No","No","No",,,,,,"",,,,,,,""
"97-14-34-77","No","No","No",,,,,,"",,,,,,,""
"23-83-04-10","Yes","Yes","Yes",,,,,,"",,,,,,,""
"66-67-12-43","No","No","No",,,,,,"",,,,,,,""
"10-88-25-17","Yes","No","No",,,,,,"",,,,,,,""
